광역시도,지자체명,년도,월,일,요일,배출량(kg),배출량비율(일),배출회수,배출회수비율(일)
서울특별시,종로구,2017,03,05,1,"2,596,700",0.028848966,"1,491",0.033302004
서울특별시,종로구,2017,03,06,2,"2,270,300",0.025222709,"1,382",0.030867451
서울특별시,종로구,2017,03,07,3,"1,892,500",0.021025405,"1,272",0.028410563
서울특별시,종로구,2017,03,08,4,"1,971,800",0.021906417,"1,239",0.027673497
서울특별시,종로구,2017,03,09,5,"1,986,850",0.02207362,"1,295",0.028924276
서울특별시,종로구,2017,03,10,6,"1,826,650",0.020293821,"1,214",0.027115113
서울특별시,종로구,2017,03,11,7,"1,792,500",0.019914419,"1,171",0.026154693
서울특별시,종로구,2017,03,12,1,"2,392,100",0.02657589,"1,376",0.030733439
서울특별시,종로구,2017,03,13,2,"2,414,650",0.026826417,"1,525",0.034061406
서울특별시,종로구,2017,03,14,3,"2,030,900",0.022563009,"1,304",0.029125294
서울특별시,종로구,2017,03,15,4,"1,881,050",0.020898197,"1,272",0.028410563
서울특별시,종로구,2017,03,16,5,"1,921,400",0.02134648,"1,281",0.028611581
서울특별시,종로구,2017,03,17,6,"1,947,050",0.021631448,"1,259",0.028120203
서울특별시,종로구,2017,03,18,7,"1,839,650",0.020438249,"1,130",0.025238944
서울특별시,종로구,2017,03,19,1,"2,395,500",0.026613663,"1,477",0.032989309
서울특별시,종로구,2017,03,20,2,"2,381,550",0.026458681,"1,516",0.033860388
서울특별시,종로구,2017,03,21,3,"2,040,250",0.022666886,"1,316",0.029393318
서울특별시,종로구,2017,03,22,4,"2,117,800",0.023528456,"1,393",0.03111314
서울특별시,종로구,2017,03,23,5,"1,933,450",0.021480354,"1,275",0.028477569
서울특별시,종로구,2017,03,24,6,"1,946,250",0.02162256,"1,302",0.029080623
서울특별시,종로구,2017,03,25,7,"1,890,750",0.021005963,"1,195",0.026690741
서울특별시,종로구,2017,03,26,1,"2,345,800",0.026061503,"1,427",0.031872542
서울특별시,종로구,2017,03,27,2,"2,300,400",0.025557116,"1,458",0.032564938
서울특별시,종로구,2017,03,28,3,"2,051,550",0.022792428,"1,268",0.028321222
서울특별시,종로구,2017,03,29,4,"1,894,300",0.021045403,"1,313",0.029326312
서울특별시,종로구,2017,03,30,5,"2,033,200",0.022588562,"1,315",0.029370983
서울특별시,종로구,2017,03,31,6,"1,922,000",0.021353146,"1,296",0.028946611
서울특별시,종로구,2017,05,01,2,"2,677,350",0.025864127,"1,682",0.031230197
서울특별시,종로구,2017,05,02,3,"2,269,150",0.021920774,"1,484",0.027553872
서울특별시,종로구,2017,05,03,4,"2,370,350",0.022898401,"1,573",0.029206361
서울특별시,종로구,2017,05,04,5,"2,408,050",0.023262596,"1,570",0.029150659
서울특별시,종로구,2017,05,05,6,"2,203,550",0.021287055,"1,413",0.026235593
서울특별시,종로구,2017,05,06,7,"2,128,450",0.020561563,"1,361",0.025270094
서울특별시,종로구,2017,05,07,1,"2,583,500",0.024957504,"1,546",0.028705044
서울특별시,종로구,2017,05,08,2,"2,484,850",0.02400451,"1,545",0.028686477
서울특별시,종로구,2017,05,09,3,"2,473,050",0.023890518,"1,584",0.029410602
서울특별시,종로구,2017,05,10,4,"2,351,800",0.022719201,"1,539",0.028575073
서울특별시,종로구,2017,05,11,5,"2,298,650",0.022205754,"1,573",0.029206361
서울특별시,종로구,2017,05,12,6,"2,130,250",0.020578952,"1,437",0.026681209
서울특별시,종로구,2017,05,13,7,"2,031,450",0.01962451,"1,324",0.024583104
서울특별시,종로구,2017,05,14,1,"2,670,150",0.025794573,"1,654",0.030710312
서울특별시,종로구,2017,05,15,2,"2,648,300",0.025583494,"1,695",0.031471572
서울특별시,종로구,2017,05,16,3,"2,199,050",0.021243584,"1,464",0.027182526
서울특별시,종로구,2017,05,17,4,"2,348,250",0.022684907,"1,594",0.029596275
서울특별시,종로구,2017,05,18,5,"2,153,850",0.020806936,"1,488",0.027628141
서울특별시,종로구,2017,05,19,6,"2,285,300",0.022076788,"1,502",0.027888083
서울특별시,종로구,2017,05,20,7,"2,279,350",0.022019309,"1,496",0.027776679
서울특별시,종로구,2017,05,21,1,"2,802,550",0.027073602,"1,701",0.031582975
서울특별시,종로구,2017,05,22,2,"2,828,900",0.027328152,"1,775",0.032956956
서울특별시,종로구,2017,05,23,3,"2,139,400",0.020667344,"1,438",0.026699776
서울특별시,종로구,2017,05,24,4,"2,506,300",0.024211725,"1,730",0.032121427
서울특별시,종로구,2017,05,25,5,"2,082,100",0.020113806,"1,519",0.028203727
서울특별시,종로구,2017,05,26,6,"2,244,450",0.021682163,"1,579",0.029317765
서울특별시,종로구,2017,05,27,7,"2,206,900",0.021319417,"1,505",0.027943785
서울특별시,종로구,2017,05,28,1,"2,811,350",0.027158613,"1,719",0.031917187
