"date","totaldisQuan_t"
2018-08-24,61.42905
2018-08-25,85.4282
2018-08-26,139.2405
2018-08-27,89.1748
2018-08-28,45.8556
2018-08-29,84.33425
2018-08-30,103.6986
2018-08-31,72.625
2018-09-01,74.1455
2018-09-02,156.684
2018-09-03,62.04195
2018-09-04,107.4762
2018-09-05,86.82685
2018-09-06,73.432
2018-09-07,73.997
2018-09-08,73.21
2018-09-09,141.2488
2018-09-10,105.2184
2018-09-11,75.8915
2018-09-12,100.1502
2018-09-13,74.0645
2018-09-14,75.4915
2018-09-15,88.59675
2018-09-16,159.6855
2018-09-17,144.2315
2018-09-18,119.76835
2018-09-19,139.5086
2018-09-20,102.4494
2018-09-21,166.2735
2018-09-22,279.654
2018-09-23,256.1504
2018-09-24,134.26
2018-09-25,119.41735
2018-09-26,167.32425
2018-09-27,126.09415
2018-09-28,102.2052
2018-09-29,120.4814
2018-09-30,244.1633
2018-10-01,124.77725
2018-10-02,88.2508
2018-10-03,176.2728
2018-10-04,120.4502
2018-10-05,58.0239
2018-10-06,137.8902
2018-10-07,220.6566
2018-10-08,106.7184
2018-10-09,137.417
2018-10-10,132.7333
2018-10-11,85.6504
2018-10-12,85.7021
2018-10-13,99.147
2018-10-14,177.6424
2018-10-15,124.0564
2018-10-16,101.526
2018-10-17,114.985
2018-10-18,87.08645
2018-10-19,100.2324
2018-10-20,79.44585
2018-10-21,191.54495
2018-10-22,122.2026
2018-10-23,102.069
2018-10-24,117.2236
2018-10-25,101.853
2018-10-26,84.66755
2018-10-27,102.1974
2018-10-28,194.88375
2018-10-29,142.5809
2018-10-30,104.0334
2018-10-31,130.781
2018-11-01,101.0808
2018-11-02,102.1614
2018-11-03,117.2288
2018-11-04,238.0909
2018-11-05,159.92775
2018-11-06,105.3978
2018-11-07,150.495
2018-11-08,82.984
2018-11-09,179.7256
2018-11-10,156.768
2018-11-11,268.547
2018-11-12,180.0032
2018-11-13,156.86025
2018-11-14,174.244
2018-11-15,156.1335
2018-11-16,153.61575
2018-11-17,177.2176
2018-11-18,297.47235
2018-11-19,205.1407
2018-11-20,156.96225
2018-11-21,174.8664
2018-11-22,156.3315
2018-11-23,157.1775
2018-11-24,154.878
2018-11-25,347.5047
2018-11-26,190.4072
2018-11-27,139.6759
2018-11-28,139.6598
2018-11-29,138.649
2018-11-30,157.842
2018-12-01,156.05625
2018-12-02,317.7636
2018-12-03,164.0445
2018-12-04,157.65675
2018-12-05,155.08125
2018-12-06,134.1585
2018-12-07,86.5997
2018-12-08,117.9841
2018-12-09,262.277
2018-12-10,161.991
2018-12-11,119.00655
2018-12-12,133.1764
2018-12-13,99.9546
2018-12-14,101.4852
2018-12-15,114.1127
2018-12-16,240.4678
2018-12-17,261.03
2018-12-18,120.9
2018-12-19,131.6623
2018-12-20,116.3188
2018-12-21,101.3394
2018-12-22,114.97915
2018-12-23,238.3436
2018-12-24,121.1691
2018-12-25,142.5403
2018-12-26,154.347
2018-12-27,84.0686
2018-12-28,99.198
2018-12-29,115.2372
2018-12-30,214.5636
2018-12-31,165.13875
2019-01-01,139.2748
2019-01-02,173.5432
2019-01-03,117.48295
2019-01-04,116.27915
2019-01-05,116.701
2019-01-06,237.6368
2019-01-07,142.534
2019-01-08,104.1246
2019-01-09,132.9342
2019-01-10,117.5785
2019-01-11,116.5528
2019-01-12,83.4625
2019-01-13,238.51555
2019-01-14,139.8495
2019-01-15,86.29775
2019-01-16,133.7245
2019-01-17,115.31715
2019-01-18,101.22
2019-01-19,115.167
2019-01-20,212.5683
2019-01-21,123.37845
2019-01-22,120.3748
2019-01-23,133.1113
2019-01-24,116.844
2019-01-25,101.7336
2019-01-26,114.9135
2019-01-27,189.56105
2019-01-28,140.9786
2019-01-29,122.64655
2019-01-30,150.43125
2019-01-31,117.8099
2019-02-01,139.2027
2019-02-02,203.62685
2019-02-03,243.5933
2019-02-04,363.1953
