"Qtr","gu","age_05","age0612","age1318","age1929","age3049","age5064","age65_"
2018-08-01,"노원구",0.0392531874473178,0.0592893542093686,0.0704739893693855,0.154694273839802,0.305093516129681,0.231502017695749,0.139693661308696
2018-09-01,"노원구",0.0392531874473178,0.0592893542093686,0.0704739893693855,0.154694273839802,0.305093516129681,0.231502017695749,0.139693661308696
2018-10-01,"노원구",0.0384458356015242,0.0593818505495152,0.0695169856846504,0.154423340052083,0.303399343818506,0.233165119392664,0.141667524901058
2018-11-01,"노원구",0.0384458356015242,0.0593818505495152,0.0695169856846504,0.154423340052083,0.303399343818506,0.233165119392664,0.141667524901058
2018-12-01,"노원구",0.0384458356015242,0.0593818505495152,0.0695169856846504,0.154423340052083,0.303399343818506,0.233165119392664,0.141667524901058
2019-01-01,"노원구",0.0374297360922735,0.0595187499769021,0.0684641169014032,0.154414291891333,0.300821916795707,0.235046399124866,0.144304789217516
2019-02-01,"노원구",0.0374297360922735,0.0595187499769021,0.0684641169014032,0.154414291891333,0.300821916795707,0.235046399124866,0.144304789217516
2019-03-01,"노원구",0.0374297360922735,0.0595187499769021,0.0684641169014032,0.154414291891333,0.300821916795707,0.235046399124866,0.144304789217516
2019-04-01,"노원구",0.0369183616606297,0.0590378006872852,0.0672647905637596,0.154665180644562,0.29869044302034,0.236725178787034,0.146698244636389
2019-05-01,"노원구",0.0369183616606297,0.0590378006872852,0.0672647905637596,0.154665180644562,0.29869044302034,0.236725178787034,0.146698244636389
2019-06-01,"노원구",0.0369183616606297,0.0590378006872852,0.0672647905637596,0.154665180644562,0.29869044302034,0.236725178787034,0.146698244636389
2019-07-01,"노원구",0.0360931247454613,0.0588699040879387,0.0660007248515736,0.155032300731203,0.296309235132136,0.238433199696609,0.149261510755079
2019-08-01,"노원구",0.0360931247454613,0.0588699040879387,0.0660007248515736,0.155032300731203,0.296309235132136,0.238433199696609,0.149261510755079
2019-09-01,"노원구",0.0360931247454613,0.0588699040879387,0.0660007248515736,0.155032300731203,0.296309235132136,0.238433199696609,0.149261510755079
2019-10-01,"노원구",0.0356329927473002,0.0587553128606412,0.0646813221868813,0.154671095223351,0.29505071260356,0.239485461761477,0.151723102616789
2019-11-01,"노원구",0.0356329927473002,0.0587553128606412,0.0646813221868813,0.154671095223351,0.29505071260356,0.239485461761477,0.151723102616789
2019-12-01,"노원구",0.0356329927473002,0.0587553128606412,0.0646813221868813,0.154671095223351,0.29505071260356,0.239485461761477,0.151723102616789
2020-01-01,"노원구",0.0350841843412041,0.0587586175727868,0.0636867110954604,0.153642778186831,0.293828866915111,0.239444709125729,0.155554132762877
2020-02-01,"노원구",0.0350841843412041,0.0587586175727868,0.0636867110954604,0.153642778186831,0.293828866915111,0.239444709125729,0.155554132762877
2020-03-01,"노원구",0.0350841843412041,0.0587586175727868,0.0636867110954604,0.153642778186831,0.293828866915111,0.239444709125729,0.155554132762877
2020-04-01,"노원구",0.0345177703365747,0.0581296193704893,0.0630210233944113,0.153569666110152,0.292328985208561,0.240442665446494,0.157990270133318
2020-05-01,"노원구",0.0345177703365747,0.0581296193704893,0.0630210233944113,0.153569666110152,0.292328985208561,0.240442665446494,0.157990270133318
2020-06-01,"노원구",0.0345177703365747,0.0581296193704893,0.0630210233944113,0.153569666110152,0.292328985208561,0.240442665446494,0.157990270133318
2018-01-01,"도봉구",0.0388087300684534,0.0508281781829954,0.0568101942186484,0.147753754436929,0.296793744403709,0.250786761982261,0.158218636707004
2018-02-01,"도봉구",0.0388087300684534,0.0508281781829954,0.0568101942186484,0.147753754436929,0.296793744403709,0.250786761982261,0.158218636707004
2018-03-01,"도봉구",0.0388087300684534,0.0508281781829954,0.0568101942186484,0.147753754436929,0.296793744403709,0.250786761982261,0.158218636707004
2018-04-01,"도봉구",0.0380050770922533,0.0510926276877003,0.0556491425095342,0.147797197070728,0.295035797009897,0.25177230294097,0.160647855688917
2018-05-01,"도봉구",0.0380050770922533,0.0510926276877003,0.0556491425095342,0.147797197070728,0.295035797009897,0.25177230294097,0.160647855688917
2018-06-01,"도봉구",0.0380050770922533,0.0510926276877003,0.0556491425095342,0.147797197070728,0.295035797009897,0.25177230294097,0.160647855688917
2018-07-01,"도봉구",0.0372158790879968,0.051153498632934,0.0547999859186332,0.147373238362337,0.292898297328061,0.253854774170079,0.162704326499959
2018-08-01,"도봉구",0.0372158790879968,0.051153498632934,0.0547999859186332,0.147373238362337,0.292898297328061,0.253854774170079,0.162704326499959
2018-09-01,"도봉구",0.0372158790879968,0.051153498632934,0.0547999859186332,0.147373238362337,0.292898297328061,0.253854774170079,0.162704326499959
2018-10-01,"도봉구",0.0366544593165259,0.0509791905436739,0.0539077760722188,0.147127540783647,0.290684210681382,0.255874112069956,0.164772710532596
2018-11-01,"도봉구",0.0366544593165259,0.0509791905436739,0.0539077760722188,0.147127540783647,0.290684210681382,0.255874112069956,0.164772710532596
2018-12-01,"도봉구",0.0366544593165259,0.0509791905436739,0.0539077760722188,0.147127540783647,0.290684210681382,0.255874112069956,0.164772710532596
2019-01-01,"도봉구",0.0356639630572494,0.0505417086022142,0.0525131726955183,0.147220413237819,0.288547155289799,0.257699366526553,0.167814220590847
2019-02-01,"도봉구",0.0356639630572494,0.0505417086022142,0.0525131726955183,0.147220413237819,0.288547155289799,0.257699366526553,0.167814220590847
2019-03-01,"도봉구",0.0356639630572494,0.0505417086022142,0.0525131726955183,0.147220413237819,0.288547155289799,0.257699366526553,0.167814220590847
2019-04-01,"도봉구",0.0351798941484654,0.0502794789395838,0.0516367783592418,0.146941769775882,0.287049522123684,0.258685825279627,0.170226731373516
2019-05-01,"도봉구",0.0351798941484654,0.0502794789395838,0.0516367783592418,0.146941769775882,0.287049522123684,0.258685825279627,0.170226731373516
2019-06-01,"도봉구",0.0351798941484654,0.0502794789395838,0.0516367783592418,0.146941769775882,0.287049522123684,0.258685825279627,0.170226731373516
2019-07-01,"도봉구",0.0344249582438559,0.050193867811978,0.0506054640897161,0.146841445955619,0.28488725841088,0.259997613934622,0.173049391553329
2019-08-01,"도봉구",0.0344249582438559,0.050193867811978,0.0506054640897161,0.146841445955619,0.28488725841088,0.259997613934622,0.173049391553329
2019-09-01,"도봉구",0.0344249582438559,0.050193867811978,0.0506054640897161,0.146841445955619,0.28488725841088,0.259997613934622,0.173049391553329
2019-10-01,"도봉구",0.0340920680821449,0.0497477216959342,0.0495227410442702,0.146567395204012,0.28331663476941,0.260776573214704,0.175976865989525
2019-11-01,"도봉구",0.0340920680821449,0.0497477216959342,0.0495227410442702,0.146567395204012,0.28331663476941,0.260776573214704,0.175976865989525
2019-12-01,"도봉구",0.0340920680821449,0.0497477216959342,0.0495227410442702,0.146567395204012,0.28331663476941,0.260776573214704,0.175976865989525
2020-01-01,"도봉구",0.0330336495208883,0.0490493240509845,0.0488591284816356,0.146163785556005,0.280816210700463,0.261035871488175,0.181042030201849
2020-02-01,"도봉구",0.0330336495208883,0.0490493240509845,0.0488591284816356,0.146163785556005,0.280816210700463,0.261035871488175,0.181042030201849
2020-03-01,"도봉구",0.0330336495208883,0.0490493240509845,0.0488591284816356,0.146163785556005,0.280816210700463,0.261035871488175,0.181042030201849
2020-04-01,"도봉구",0.0323734676538415,0.048768054375531,0.0481854594004127,0.145736739895618,0.278683699478092,0.261970506129385,0.18428207306712
2020-05-01,"도봉구",0.0323734676538415,0.048768054375531,0.0481854594004127,0.145736739895618,0.278683699478092,0.261970506129385,0.18428207306712
2020-06-01,"도봉구",0.0323734676538415,0.048768054375531,0.0481854594004127,0.145736739895618,0.278683699478092,0.261970506129385,0.18428207306712
2018-01-01,"동대문구",0.0391745966310534,0.0471704054874208,0.0480063439715094,0.166494898485005,0.308089136235071,0.230501448578332,0.160563170611609
2018-02-01,"동대문구",0.0391745966310534,0.0471704054874208,0.0480063439715094,0.166494898485005,0.308089136235071,0.230501448578332,0.160563170611609
2018-03-01,"동대문구",0.0391745966310534,0.0471704054874208,0.0480063439715094,0.166494898485005,0.308089136235071,0.230501448578332,0.160563170611609
2018-04-01,"동대문구",0.0389535200327885,0.0474286549556754,0.047078987569611,0.166559186937344,0.307412088746729,0.230668695883956,0.161898865873896
2018-05-01,"동대문구",0.0389535200327885,0.0474286549556754,0.047078987569611,0.166559186937344,0.307412088746729,0.230668695883956,0.161898865873896
2018-06-01,"동대문구",0.0389535200327885,0.0474286549556754,0.047078987569611,0.166559186937344,0.307412088746729,0.230668695883956,0.161898865873896
2018-07-01,"동대문구",0.0390950375974167,0.0475672931001038,0.0457672953821929,0.166991864352628,0.306915300265863,0.231306838279761,0.162356371022034
2018-08-01,"동대문구",0.0390950375974167,0.0475672931001038,0.0457672953821929,0.166991864352628,0.306915300265863,0.231306838279761,0.162356371022034
2018-09-01,"동대문구",0.0390950375974167,0.0475672931001038,0.0457672953821929,0.166991864352628,0.306915300265863,0.231306838279761,0.162356371022034
2018-10-01,"동대문구",0.0384942479859331,0.0476911495983359,0.0448352545022008,0.166975049705216,0.306043349844276,0.232218174295795,0.163742774068243
2018-11-01,"동대문구",0.0384942479859331,0.0476911495983359,0.0448352545022008,0.166975049705216,0.306043349844276,0.232218174295795,0.163742774068243
2018-12-01,"동대문구",0.0384942479859331,0.0476911495983359,0.0448352545022008,0.166975049705216,0.306043349844276,0.232218174295795,0.163742774068243
2019-01-01,"동대문구",0.0377880317231435,0.0472472963229993,0.044620043258832,0.168438356164384,0.303394376351839,0.233041095890411,0.165470800288392
2019-02-01,"동대문구",0.0377880317231435,0.0472472963229993,0.044620043258832,0.168438356164384,0.303394376351839,0.233041095890411,0.165470800288392
2019-03-01,"동대문구",0.0377880317231435,0.0472472963229993,0.044620043258832,0.168438356164384,0.303394376351839,0.233041095890411,0.165470800288392
2019-04-01,"동대문구",0.0376160530561239,0.0472495028874376,0.0436477816802837,0.169047131177111,0.302483975515222,0.232882444783709,0.167073110900113
2019-05-01,"동대문구",0.0376160530561239,0.0472495028874376,0.0436477816802837,0.169047131177111,0.302483975515222,0.232882444783709,0.167073110900113
2019-06-01,"동대문구",0.0376160530561239,0.0472495028874376,0.0436477816802837,0.169047131177111,0.302483975515222,0.232882444783709,0.167073110900113
2019-07-01,"동대문구",0.0371835602840563,0.0472917406096072,0.0426373030232202,0.16973547904926,0.300905205871574,0.23320665645172,0.169040054710562
2019-08-01,"동대문구",0.0371835602840563,0.0472917406096072,0.0426373030232202,0.16973547904926,0.300905205871574,0.23320665645172,0.169040054710562
2019-09-01,"동대문구",0.0371835602840563,0.0472917406096072,0.0426373030232202,0.16973547904926,0.300905205871574,0.23320665645172,0.169040054710562
2019-10-01,"동대문구",0.0369763774068875,0.0468927826594337,0.0414680785917722,0.170364015551974,0.300181401179685,0.233201615279294,0.170915729330953
2019-11-01,"동대문구",0.0369763774068875,0.0468927826594337,0.0414680785917722,0.170364015551974,0.300181401179685,0.233201615279294,0.170915729330953
2019-12-01,"동대문구",0.0369763774068875,0.0468927826594337,0.0414680785917722,0.170364015551974,0.300181401179685,0.233201615279294,0.170915729330953
2020-01-01,"동대문구",0.036393995770693,0.0462248234899872,0.0411606327782849,0.171830041946406,0.298483920544494,0.23212077791516,0.173785807554975
2020-02-01,"동대문구",0.036393995770693,0.0462248234899872,0.0411606327782849,0.171830041946406,0.298483920544494,0.23212077791516,0.173785807554975
2020-03-01,"동대문구",0.036393995770693,0.0462248234899872,0.0411606327782849,0.171830041946406,0.298483920544494,0.23212077791516,0.173785807554975
2020-04-01,"동대문구",0.035761719710758,0.0461901716759309,0.0405592705870779,0.173481523063256,0.296828928826683,0.231781315015061,0.175397071121232
2020-05-01,"동대문구",0.035761719710758,0.0461901716759309,0.0405592705870779,0.173481523063256,0.296828928826683,0.231781315015061,0.175397071121232
2020-06-01,"동대문구",0.035761719710758,0.0461901716759309,0.0405592705870779,0.173481523063256,0.296828928826683,0.231781315015061,0.175397071121232
2018-01-01,"동작구",0.0432860913952728,0.0499172061579346,0.0479494260218637,0.173042933615314,0.325360780823273,0.214663004972702,0.14578055701364
2018-02-01,"동작구",0.0432860913952728,0.0499172061579346,0.0479494260218637,0.173042933615314,0.325360780823273,0.214663004972702,0.14578055701364
2018-03-01,"동작구",0.0432860913952728,0.0499172061579346,0.0479494260218637,0.173042933615314,0.325360780823273,0.214663004972702,0.14578055701364
2018-04-01,"동작구",0.042926836681966,0.0499812557625865,0.0472886713881881,0.174030112364104,0.324662857027063,0.214413811969969,0.146696454806124
2018-05-01,"동작구",0.042926836681966,0.0499812557625865,0.0472886713881881,0.174030112364104,0.324662857027063,0.214413811969969,0.146696454806124
2018-06-01,"동작구",0.042926836681966,0.0499812557625865,0.0472886713881881,0.174030112364104,0.324662857027063,0.214413811969969,0.146696454806124
2018-07-01,"동작구",0.0419505806383102,0.0501450015549426,0.0466963159238761,0.175058721205118,0.322694829247079,0.21531782773259,0.148136723698083
2018-08-01,"동작구",0.0419505806383102,0.0501450015549426,0.0466963159238761,0.175058721205118,0.322694829247079,0.21531782773259,0.148136723698083
2018-09-01,"동작구",0.0419505806383102,0.0501450015549426,0.0466963159238761,0.175058721205118,0.322694829247079,0.21531782773259,0.148136723698083
2018-10-01,"동작구",0.0412061493729225,0.0499743818194209,0.0458249937532023,0.175152636401037,0.321163645908789,0.217095781707862,0.149582411036767
2018-11-01,"동작구",0.0412061493729225,0.0499743818194209,0.0458249937532023,0.175152636401037,0.321163645908789,0.217095781707862,0.149582411036767
2018-12-01,"동작구",0.0412061493729225,0.0499743818194209,0.0458249937532023,0.175152636401037,0.321163645908789,0.217095781707862,0.149582411036767
2019-01-01,"동작구",0.0403398464724257,0.0495555121012018,0.0451808286076724,0.177216046690032,0.318985875663723,0.217774000591648,0.150947889873297
