"Qtr","gu","mem1","mem2","mem3","mem4","mem5","mem6","mem7","mem8","mem9","mem10_"
2018-01-01,"종로구",0.482626899758027,0.185489790924662,0.148622930317283,0.133384084173894,0.036812484706778,0.00903999347489193,0.00278676490579375,0.000788450558712379,0.000271879503004268,0.000176721676952775
2018-01-01,"중구",0.477313284864508,0.203205551883675,0.152775941837409,0.123942498347654,0.0314606741573034,0.00827825512227363,0.0020158625247852,0.000528750826173166,0.000198281559814937,0.000280898876404494
2018-01-01,"용산구",0.460506209540744,0.20235416145732,0.156678613434094,0.133896405782606,0.0346456255382991,0.00849239203919281,0.00217634910491855,0.0007408848016744,0.00025930968058604,0.00025004862056511
2018-01-01,"성동구",0.390796574422253,0.21123895731538,0.184698985986955,0.163082719746609,0.0373330931525973,0.00930700352014891,0.00249187513603987,0.000713036560011409,0.000202652496003242,0.000135101664002162
2018-01-01,"광진구",0.425113098303991,0.198246278150463,0.170494529703431,0.159268475825819,0.035502628100507,0.0083776521474715,0.00212233854402611,0.000583332816194312,0.000161347374692044,0.000130319033405112
2018-01-01,"동대문구",0.438954706011066,0.198168234816042,0.165846644368729,0.146347410209121,0.0380482010565472,0.00946516207683411,0.00222562595730049,0.00065018286393048,0.000187552749210716,0.000106279891219405
2018-01-01,"중랑구",0.387981069738369,0.220778640950085,0.183978480221448,0.158501875167426,0.0380112063577105,0.00808107866773819,0.00195888025716582,0.000530181266184481,0.000106036253236896,7.25511206357711e-05
2018-01-01,"성북구",0.371137108896485,0.204842221259341,0.188783506919369,0.176838433927645,0.0437950347439539,0.0105649436447183,0.00296353355907542,0.000657968642177395,0.000176528172291496,0.000240720234942949
2018-01-01,"강북구",0.385409367379544,0.228312358101858,0.184467584157861,0.151617288449141,0.0385472433220282,0.00875213723126944,0.00194102643159458,0.000574599882277097,0.000217226784763293,0.000161168259663088
2018-01-01,"도봉구",0.301195265497348,0.23220014695291,0.21178678733295,0.19365047032206,0.046908532726122,0.0104613011879906,0.00266988702085713,0.000778413927061888,0.000225521791952509,0.00012367324074815
2018-01-01,"노원구",0.298194364577343,0.21481771132835,0.208956871765382,0.218120759056929,0.0475629672225417,0.00944450833812536,0.00196894767107533,0.000611845888441633,0.000193214491086832,0.000128809660724554
2018-01-01,"은평구",0.349329340078519,0.223201927008162,0.195380500371905,0.173327290908285,0.0446630444955642,0.0104625903285076,0.00267475826194898,0.000645291588057672,0.000172406149481057,0.000142850809570019
2018-01-01,"서대문구",0.402398556208884,0.207574081620772,0.176966292134831,0.160177854107236,0.0398352448040985,0.00956948244745881,0.00249607032659952,0.000640391220818536,0.000189206497060022,0.000152820632240787
2018-01-01,"마포구",0.425441958652247,0.204828228745297,0.169701508379229,0.153084570660314,0.036111471465805,0.0079192857901006,0.00201077919167856,0.000524807472314932,0.000218178387366882,0.000159211255646103
2018-01-01,"양천구",0.268632889895273,0.201800169827342,0.218499858477215,0.240492499292386,0.0551089725445797,0.0115312765355222,0.00265496744975941,0.000854797622417209,0.000249080101896405,0.000175488253608831
2018-01-01,"강서구",0.361440912462762,0.216435162471593,0.192453970633833,0.175317819477752,0.0425774090108053,0.00868189792882571,0.00219794884274069,0.00057696157121943,0.000196245432387561,0.000121672168080288
2018-01-01,"구로구",0.354497632211258,0.216460214150745,0.192070823710547,0.178633914199734,0.0445389227144423,0.0103751137238435,0.00239111670982341,0.00072899899689738,0.000192455735180908,0.000110807847528402
2018-01-01,"금천구",0.42094069375694,0.210197436524816,0.17123713086522,0.148971410287779,0.0368146656377633,0.00890252395023621,0.00202330089778096,0.000508177899907775,0.000244678248103744,0.000159981931452448
2018-01-01,"영등포구",0.433835356917321,0.197910088529317,0.169135081678125,0.152293064210564,0.0358585437344359,0.00798908575309495,0.00210301809906228,0.000482562226697011,0.000202556984045659,0.000190641867337091
2018-01-01,"동작구",0.398048769210318,0.205873343390032,0.178668238748346,0.164640877591478,0.0404290858229443,0.00907992763800507,0.00241591963888359,0.000566411781365052,0.000161831937532872,0.000115594241094909
2018-01-01,"관악구",0.526220099800633,0.185727495113358,0.135776459067305,0.114805841341183,0.0283327676143435,0.00660135538466941,0.00180639925715244,0.000495491804877668,0.000124848328788074,0.000109242287689565
2018-01-01,"서초구",0.322970966962406,0.195360237511651,0.198225567024545,0.213904327913373,0.0522606184048515,0.0121460052243357,0.00349823362216775,0.0010184002485587,0.00035672777068158,0.000258915317430179
2018-01-01,"강남구",0.379468817083548,0.182018045879208,0.181275132709344,0.197567391294958,0.0452917877859892,0.0102582487117799,0.00278160512437317,0.000786105796018504,0.000362818059700848,0.000190047555081397
2018-01-01,"송파구",0.322866371918239,0.201073457187979,0.204009633976729,0.21024759621727,0.0478193516288431,0.010466961415094,0.00248764657326685,0.00070483319575894,0.00019599639668163,0.000128151490137989
2018-01-01,"강동구",0.337000530061239,0.209210659869853,0.197571868409478,0.194944118011932,0.0476773167623408,0.0102346930719868,0.00240783137285861,0.000592089681850478,0.000208641125985406,0.000152251632475837
2018-02-01,"종로구",0.482628788908523,0.186257985591953,0.148457251597118,0.133206470028544,0.0364142993067827,0.00894386298763083,0.00282723936387114,0.000801957319559603,0.000285442435775452,0.000176702460241946
2018-02-01,"중구",0.477813112755195,0.203924928735026,0.15251528283544,0.123317240356572,0.0311259042001022,0.00830463510685627,0.00196081662245217,0.000543755870091779,0.000197729407306102,0.000296594110959152
2018-02-01,"용산구",0.46168267454747,0.20197635759143,0.157028075360177,0.133247137052087,0.0342168452161064,0.00845031400073883,0.00215182859253786,0.000720354636128556,0.00027705947543406,0.000249353527890654
