"Month","gu","FW_t","TotalHouses","age_05","age1929","age65_","mem1","AvgMem","IncLv","nBusiness","Suv1yr","NO2","pm10","avg_temp","search","Holidays"
2020-02-01,"노원구",1369.487847,217148,0.0350841843412041,0.153642778186831,0.155554132762877,0.321323271970074,2.45,0,4687,69.9930084681157,0.031037037037037,36.5555555555556,2.53448275862069,1.0010794431651,0
2020-03-01,"노원구",1697.722798,217148,0.0350841843412041,0.153642778186831,0.155554132762877,0.321637777000018,2.45,0,4687,70.8757245174984,0.0244838709677419,43.1290322580645,7.73548387096774,1.145774573422,0
2020-04-01,"노원구",1347.751287,217897,0.0345177703365747,0.153569666110152,0.157990270133318,0.322436056732106,2.43,0,4715,71.8,0.0198,45.7666666666667,11.1233333333333,2.80716557076691,0
2020-05-01,"노원구",1467.394609,217897,0.0345177703365747,0.153569666110152,0.157990270133318,0.323850187747898,2.43,0,4715,72.7176867674723,0.0170645161290323,32.3870967741936,18.0064516129032,2.17374975321955,0
2020-06-01,"노원구",2023.769293,217897,0.0345177703365747,0.153569666110152,0.157990270133318,0.325589613441213,2.43,0,4715,73.5806366717671,0.0158666666666667,35.1333333333333,23.8866666666667,1.0272504615253,0
2018-01-01,"도봉구",1858.68585,137479,0.0388087300684534,0.147753754436929,0.158218636707004,0.301195265497348,2.49,-1,3059,68.8,0.0317096774193548,54.0645161290323,-3.97741935483871,-1.01123273626956,0
2018-02-01,"도봉구",1549.44455,137479,0.0388087300684534,0.147753754436929,0.158218636707004,0.30237309330968,2.49,-1,3059,68.6102180005395,0.0297777777777778,58.0740740740741,-1.64642857142857,-1.285906237316,1
2018-03-01,"도봉구",1536.8205,137479,0.0388087300684534,0.147753754436929,0.158218636707004,0.302802609853141,2.49,-1,3059,68.2006447936847,0.02645,42.15,8.08064516129032,-1.33998229622417,0
2018-04-01,"도봉구",1862.7183,137560,0.0380050770922533,0.147797197070728,0.160647855688917,0.303392850649115,2.49,-1,3058,68.1,0.0152380952380952,50.3809523809524,12.9866666666667,-1.13630695247946,0
2018-05-01,"도봉구",1603.7144,137560,0.0380050770922533,0.147797197070728,0.160647855688917,0.30407945151698,2.49,-1,3058,68.6651946362121,0.023,35.8095238095238,18.1677419354839,-1.40969092227493,0
2018-06-01,"도봉구",1613.09185,137560,0.0380050770922533,0.147797197070728,0.160647855688917,0.30457255015993,2.49,-1,3058,69.5659053036986,0.0241428571428571,46.1428571428571,23.1366666666667,-1.68107127060619,0
