"Week","gu","pollutant"
2020-11-16,"강남구",33.7142857142857
2020-11-23,"강남구",28.7142857142857
2018-01-01,"강동구",53.5714285714286
2018-01-08,"강동구",45.8571428571429
2018-01-15,"강동구",91.8571428571429
2018-01-22,"강동구",37.4285714285714
2018-01-29,"강동구",46
2018-02-05,"강동구",53.4285714285714
2018-02-12,"강동구",56.5
2018-02-19,"강동구",66.4285714285714
2018-02-26,"강동구",68.4285714285714
2018-03-05,"강동구",39
2018-03-12,"강동구",51.1428571428571
2018-03-19,"강동구",21.5
2018-04-09,"강동구",55
2018-04-16,"강동구",78.3333333333333
2018-04-23,"강동구",44
2018-04-30,"강동구",52.4285714285714
2018-05-07,"강동구",33.5714285714286
2018-05-14,"강동구",48
2018-05-21,"강동구",38
2018-05-28,"강동구",51
2018-06-04,"강동구",45.5
2018-06-18,"강동구",47
2018-06-25,"강동구",48.3333333333333
2018-07-02,"강동구",11.2
2018-07-09,"강동구",28.2
2018-07-16,"강동구",39.4285714285714
2018-07-23,"강동구",45.1428571428571
2018-07-30,"강동구",28.8571428571429
2018-08-06,"강동구",22.2857142857143
2018-08-13,"강동구",27.1428571428571
2018-08-20,"강동구",23.5714285714286
2018-08-27,"강동구",20.2857142857143
2018-09-03,"강동구",26.1428571428571
2018-09-10,"강동구",20.5714285714286
2018-09-17,"강동구",30.4285714285714
2018-09-24,"강동구",16
2018-10-01,"강동구",23.5714285714286
2018-10-08,"강동구",27.7142857142857
2018-10-15,"강동구",41
2018-10-22,"강동구",40
2018-10-29,"강동구",39.8571428571429
2018-11-05,"강동구",64.1428571428571
2018-11-12,"강동구",45
2018-11-19,"강동구",41.2857142857143
2018-11-26,"강동구",73.7142857142857
2018-12-03,"강동구",31.2857142857143
2018-12-10,"강동구",44.8571428571429
2018-12-17,"강동구",61.5714285714286
2018-12-24,"강동구",33.2857142857143
2018-12-31,"강동구",50.4285714285714
2019-01-07,"강동구",66.8571428571429
2019-01-14,"강동구",87.4285714285714
2019-01-21,"강동구",50.5714285714286
2019-01-28,"강동구",59.1428571428571
2019-02-04,"강동구",59.8571428571429
2019-02-11,"강동구",48.4285714285714
2019-02-18,"강동구",60
2019-02-25,"강동구",90.7142857142857
2019-03-04,"강동구",119.6
2019-03-11,"강동구",53.5
2019-03-18,"강동구",45.5714285714286
2019-03-25,"강동구",54.4285714285714
2019-04-01,"강동구",41
2019-04-08,"강동구",30.5714285714286
2019-04-15,"강동구",38.2857142857143
2019-04-22,"강동구",41.4285714285714
2019-04-29,"강동구",49.1428571428571
2019-05-06,"강동구",47.1428571428571
2019-05-13,"강동구",44.4285714285714
2019-05-20,"강동구",52.2857142857143
2019-05-27,"강동구",30.2857142857143
2019-06-03,"강동구",34.1428571428571
2019-06-10,"강동구",21.7142857142857
2019-06-17,"강동구",20.4285714285714
2019-06-24,"강동구",28.1428571428571
2019-07-01,"강동구",30
2019-07-08,"강동구",17.4285714285714
2019-07-15,"강동구",34.2857142857143
2019-07-22,"강동구",25.7142857142857
2019-07-29,"강동구",19.7142857142857
2019-08-05,"강동구",27.8571428571429
2019-08-12,"강동구",17
2019-08-19,"강동구",22
2019-08-26,"강동구",26.2857142857143
2019-09-02,"강동구",15.4
2019-09-09,"강동구",15.8571428571429
2019-09-16,"강동구",17.8571428571429
2019-09-23,"강동구",22.8571428571429
2019-09-30,"강동구",24.5714285714286
2019-10-07,"강동구",26.4285714285714
2019-10-14,"강동구",31
2019-10-21,"강동구",33.5714285714286
2019-10-28,"강동구",77.8571428571429
2019-11-04,"강동구",50.8571428571429
2019-11-11,"강동구",37.1428571428571
2019-11-18,"강동구",61.5714285714286
2019-11-25,"강동구",49.5714285714286
2019-12-02,"강동구",38.7142857142857
2019-12-09,"강동구",60.2857142857143
2019-12-16,"강동구",41.8571428571429
2019-12-23,"강동구",54.5714285714286
2019-12-30,"강동구",52.2857142857143
2020-01-06,"강동구",44.8571428571429
2020-01-13,"강동구",50.8571428571429
2020-01-20,"강동구",53.8571428571429
2020-01-27,"강동구",36.2857142857143
2020-02-03,"강동구",36.8571428571429
2020-02-10,"강동구",60.5714285714286
2020-02-17,"강동구",50.6
2020-02-24,"강동구",26.5714285714286
2020-03-02,"강동구",49.1428571428571
2020-03-09,"강동구",39.4285714285714
2020-03-16,"강동구",47.7142857142857
2020-03-23,"강동구",46.1428571428571
2020-03-30,"강동구",54.4285714285714
2020-04-06,"강동구",44.5714285714286
2020-04-13,"강동구",38.2857142857143
2020-04-20,"강동구",43.1428571428571
2020-04-27,"강동구",38.5714285714286
2020-05-04,"강동구",25.1428571428571
2020-05-11,"강동구",41.8571428571429
2020-05-18,"강동구",26.5714285714286
2020-05-25,"강동구",34
2020-06-01,"강동구",42.2857142857143
2020-06-08,"강동구",43.7142857142857
2020-06-15,"강동구",36.1428571428571
2020-06-22,"강동구",28.2857142857143
2020-06-29,"강동구",27.4285714285714
2020-07-06,"강동구",20.5714285714286
2020-07-13,"강동구",22.1428571428571
2020-07-20,"강동구",15.2857142857143
2020-07-27,"강동구",14.5714285714286
2020-08-03,"강동구",22.8571428571429
2020-08-10,"강동구",24
2020-08-17,"강동구",30
2020-08-24,"강동구",24.1428571428571
2020-08-31,"강동구",18.7142857142857
2020-09-07,"강동구",18.1428571428571
2020-09-14,"강동구",24.1428571428571
2020-09-21,"강동구",13.1428571428571
2020-09-28,"강동구",27
2020-10-05,"강동구",19.1428571428571
2020-10-12,"강동구",34.2857142857143
2020-10-19,"강동구",44.7142857142857
2020-10-26,"강동구",48.8571428571429
2020-11-02,"강동구",47.5714285714286
2020-11-09,"강동구",56.5714285714286
2020-11-16,"강동구",39
2020-11-23,"강동구",37.1428571428571
2018-01-01,"강북구",40.8571428571429
2018-01-08,"강북구",42
2018-01-15,"강북구",78.8571428571429
2018-01-22,"강북구",28.8571428571429
2018-01-29,"강북구",38.1428571428571
2018-02-05,"강북구",47
2018-02-12,"강북구",43
2018-02-19,"강북구",54.4285714285714
2018-02-26,"강북구",56.7142857142857
2018-03-05,"강북구",33.2857142857143
2018-03-12,"강북구",40.1428571428571
2018-03-19,"강북구",24
2018-04-09,"강북구",40.2857142857143
2018-04-16,"강북구",55.5
2018-04-23,"강북구",34.2857142857143
2018-04-30,"강북구",42.8571428571429
