"date","gu","disq_t"
2017-06-19,"강남구",6.75238484538641
2017-06-20,"강남구",5.48214705948985
2017-06-21,"강남구",5.19184102727155
2017-06-22,"강남구",4.97435665336506
2017-06-23,"강남구",5.36317398526784
2017-06-24,"강남구",5.12906451354895
2017-06-25,"강남구",5.47449701787389
2017-06-26,"강남구",6.61828765468155
2017-06-27,"강남구",5.59618103282386
2017-06-28,"강남구",5.37423808261333
2017-06-29,"강남구",5.184385752271
2017-06-30,"강남구",5.43978569663621
2017-07-01,"강남구",5.38576992063364
2017-07-02,"강남구",5.09299208198738
2017-07-03,"강남구",7.23896524229288
2017-07-04,"강남구",5.96752200896582
2017-07-05,"강남구",5.52286155405105
2017-07-06,"강남구",5.11378849414597
2017-07-07,"강남구",5.11026765517556
2017-07-08,"강남구",5.61260008410104
2017-07-09,"강남구",5.2487737905373
2017-07-10,"강남구",6.15764430538896
2017-07-11,"강남구",6.65520457623965
2017-07-12,"강남구",5.90235264825394
2017-07-13,"강남구",5.48885936377217
2017-07-14,"강남구",5.73644533168683
2017-07-15,"강남구",5.17069343360951
2017-07-16,"강남구",6.00206037143307
2017-07-17,"강남구",7.03782772817678
2017-07-18,"강남구",5.81283670862156
2017-07-19,"강남구",5.57533799699672
2017-07-20,"강남구",5.19202000199922
2017-07-21,"강남구",5.54670279256401
2017-07-22,"강남구",5.46007977636587
2017-07-23,"강남구",5.41797033172135
2017-07-24,"강남구",7.1293966132148
2017-07-25,"강남구",5.82912491282893
2017-07-26,"강남구",5.65895438816892
2017-07-27,"강남구",5.19547496623793
2017-07-28,"강남구",5.27767971304548
2017-07-29,"강남구",5.3733033532583
2017-07-30,"강남구",5.32871834221255
2017-07-31,"강남구",6.6248585839689
2017-08-01,"강남구",5.71594789756282
2017-08-02,"강남구",5.53018718517324
2017-08-03,"강남구",5.11763133722725
2017-08-04,"강남구",5.4871406047908
2017-08-05,"강남구",4.30428369530476
2017-08-06,"강남구",5.32798213944621
2017-08-07,"강남구",7.03660152569383
2017-08-08,"강남구",5.47574833697828
