"Month","gu","pollutant"
2018-05-01,"관악구",43.4285714285714
2018-06-01,"관악구",52.5714285714286
2018-07-01,"관악구",26.5555555555556
2018-08-01,"관악구",24.5483870967742
2018-09-01,"관악구",24.4333333333333
2018-10-01,"관악구",33.8387096774194
2018-11-01,"관악구",60.8928571428571
2018-12-01,"관악구",46.8387096774194
2019-01-01,"관악구",71
2019-02-01,"관악구",61.6785714285714
2019-03-01,"관악구",80.125
2019-04-01,"관악구",48.7666666666667
2019-05-01,"관악구",61.2903225806452
2019-06-01,"관악구",34.8333333333333
2019-07-01,"관악구",25.6774193548387
2019-08-01,"관악구",23
2019-09-01,"관악구",20.5
2019-10-01,"관악구",31.7096774193548
2019-11-01,"관악구",43.5666666666667
2019-12-01,"관악구",42.6451612903226
2020-01-01,"관악구",43.4838709677419
2020-02-01,"관악구",40.7407407407407
2020-03-01,"관악구",45.8064516129032
2020-04-01,"관악구",42.8333333333333
2020-05-01,"관악구",34.2903225806452
2020-06-01,"관악구",37.3666666666667
2020-07-01,"관악구",22.741935483871
2020-08-01,"관악구",24.3870967741935
2020-09-01,"관악구",20.2
2020-10-01,"관악구",33.2258064516129
2020-11-01,"관악구",38.3448275862069
2018-01-01,"광진구",53.258064516129
2018-02-01,"광진구",53.4074074074074
2018-03-01,"광진구",40.9
2018-04-01,"광진구",51.9047619047619
2018-05-01,"광진구",39
2018-06-01,"광진구",50
2018-07-01,"광진구",25.1481481481481
2018-08-01,"광진구",22.4193548387097
2018-09-01,"광진구",20.5333333333333
2018-10-01,"광진구",28.4838709677419
2018-11-01,"광진구",52.75
2018-12-01,"광진구",39.7096774193548
2019-01-01,"광진구",65.1612903225806
2019-02-01,"광진구",55.1071428571429
2019-03-01,"광진구",72.9166666666667
2019-04-01,"광진구",42.3333333333333
2019-05-01,"광진구",55.8064516129032
2019-06-01,"광진구",31.8666666666667
2019-07-01,"광진구",26.1935483870968
2019-08-01,"광진구",27.4838709677419
2019-09-01,"광진구",22.6785714285714
2019-10-01,"광진구",33.3225806451613
2019-11-01,"광진구",40.1
2019-12-01,"광진구",36.9032258064516
2020-01-01,"광진구",39.9677419354839
2020-02-01,"광진구",40.3703703703704
2020-03-01,"광진구",46.0645161290323
2020-04-01,"광진구",46.4666666666667
2020-05-01,"광진구",35.3225806451613
2020-06-01,"광진구",35.3666666666667
2020-07-01,"광진구",19.6129032258065
2020-08-01,"광진구",23
2020-09-01,"광진구",17.7666666666667
2020-10-01,"광진구",29.9677419354839
2020-11-01,"광진구",38.0344827586207
2018-01-01,"구로구",57.9032258064516
2018-02-01,"구로구",58.4814814814815
2018-03-01,"구로구",46.1
2018-04-01,"구로구",54.1428571428571
2018-05-01,"구로구",39.3809523809524
2018-06-01,"구로구",54.7142857142857
2018-07-01,"구로구",21.3703703703704
2018-08-01,"구로구",21.0645161290323
2018-09-01,"구로구",21.9
2018-10-01,"구로구",32.0645161290323
2018-11-01,"구로구",60.8928571428571
2018-12-01,"구로구",43.2258064516129
2019-01-01,"구로구",66.4193548387097
2019-02-01,"구로구",54.9285714285714
2019-03-01,"구로구",77.2083333333333
2019-04-01,"구로구",46.4333333333333
2019-05-01,"구로구",59.9677419354839
2019-06-01,"구로구",31.5
2019-07-01,"구로구",22.1935483870968
2019-08-01,"구로구",22.0967741935484
2019-09-01,"구로구",18.8571428571429
2019-10-01,"구로구",26.3870967741935
2019-11-01,"구로구",40.5
2019-12-01,"구로구",40.1935483870968
2020-01-01,"구로구",40.4516129032258
2020-02-01,"구로구",39.3703703703704
2020-03-01,"구로구",53.9677419354839
2020-04-01,"구로구",52
2020-05-01,"구로구",41.5483870967742
2020-06-01,"구로구",33.6666666666667
2020-07-01,"구로구",17.6451612903226
2020-08-01,"구로구",18.1935483870968
2020-09-01,"구로구",18.5666666666667
2020-10-01,"구로구",37.6129032258064
2020-11-01,"구로구",44.9655172413793
2018-01-01,"금천구",50.0645161290323
2018-02-01,"금천구",50.8518518518519
2018-03-01,"금천구",41.95
2018-04-01,"금천구",45.3809523809524
2018-05-01,"금천구",36.8571428571429
2018-06-01,"금천구",46.4285714285714
2018-07-01,"금천구",27.7777777777778
2018-08-01,"금천구",24.1290322580645
2018-09-01,"금천구",21.6666666666667
2018-10-01,"금천구",26.1935483870968
2018-11-01,"금천구",50.1428571428571
2018-12-01,"금천구",41.1935483870968
2019-01-01,"금천구",63.7741935483871
2019-02-01,"금천구",56.5
2019-03-01,"금천구",71.8333333333333
2019-04-01,"금천구",37.5333333333333
2019-05-01,"금천구",44.741935483871
2019-06-01,"금천구",25.1666666666667
2019-07-01,"금천구",24.8064516129032
2019-08-01,"금천구",23.5806451612903
2019-09-01,"금천구",18.1428571428571
2019-10-01,"금천구",27.8064516129032
2019-11-01,"금천구",35.3666666666667
2019-12-01,"금천구",36.7741935483871
2020-01-01,"금천구",42.8064516129032
2020-02-01,"금천구",40.4444444444444
2020-03-01,"금천구",42.9032258064516
2020-04-01,"금천구",39.5
2020-05-01,"금천구",30.8709677419355
2020-06-01,"금천구",33.6666666666667
2020-07-01,"금천구",21.6129032258065
2020-08-01,"금천구",24.5483870967742
2020-09-01,"금천구",21.1666666666667
2020-10-01,"금천구",33.4193548387097
2020-11-01,"금천구",43.2758620689655
2018-01-01,"노원구",52.0645161290323
2018-02-01,"노원구",54.2962962962963
2018-03-01,"노원구",41.25
2018-04-01,"노원구",47.0476190476191
2018-05-01,"노원구",35.7619047619048
2018-06-01,"노원구",42
2018-07-01,"노원구",26.6666666666667
2018-08-01,"노원구",22.8064516129032
2018-09-01,"노원구",21.0333333333333
2018-10-01,"노원구",28.2258064516129
2018-11-01,"노원구",49.6785714285714
2018-12-01,"노원구",44.741935483871
2019-01-01,"노원구",68.2903225806452
2019-02-01,"노원구",58.2857142857143
2019-03-01,"노원구",71.9583333333333
2019-04-01,"노원구",37.2
2019-05-01,"노원구",47.5483870967742
2019-06-01,"노원구",26.3666666666667
2019-07-01,"노원구",26.4838709677419
2019-08-01,"노원구",25.258064516129
2019-09-01,"노원구",20.1785714285714
2019-10-01,"노원구",27.5161290322581
2019-11-01,"노원구",35.0666666666667
2019-12-01,"노원구",38.3225806451613
2020-01-01,"노원구",37.4193548387097
2020-02-01,"노원구",36.5555555555556
2020-03-01,"노원구",43.1290322580645
2020-04-01,"노원구",45.7666666666667
2020-05-01,"노원구",32.3870967741936
2020-06-01,"노원구",35.1333333333333
2020-07-01,"노원구",20.6774193548387
2020-08-01,"노원구",21.3225806451613
2020-09-01,"노원구",18.1666666666667
2020-10-01,"노원구",33.3870967741936
2020-11-01,"노원구",41.7586206896552
2018-01-01,"도봉구",54.0645161290323
2018-02-01,"도봉구",58.0740740740741
2018-03-01,"도봉구",42.15
2018-04-01,"도봉구",50.3809523809524
2018-05-01,"도봉구",35.8095238095238
2018-06-01,"도봉구",46.1428571428571
2018-07-01,"도봉구",25.8888888888889
2018-08-01,"도봉구",23.4193548387097
2018-09-01,"도봉구",21.1
2018-10-01,"도봉구",27.1935483870968
2018-11-01,"도봉구",53.3928571428571
2018-12-01,"도봉구",40.258064516129
2019-01-01,"도봉구",62.3225806451613
2019-02-01,"도봉구",52.3928571428571
2019-03-01,"도봉구",69.5833333333333
2019-04-01,"도봉구",38.8333333333333
2019-05-01,"도봉구",53.4516129032258
2019-06-01,"도봉구",31.8333333333333
2019-07-01,"도봉구",22.8387096774194
2019-08-01,"도봉구",20.0967741935484
2019-09-01,"도봉구",16.3214285714286
2019-10-01,"도봉구",24.9677419354839
2019-11-01,"도봉구",32.6333333333333
2019-12-01,"도봉구",37.5806451612903
2020-01-01,"도봉구",38
2020-02-01,"도봉구",37.6666666666667
2020-03-01,"도봉구",40.7096774193548
2020-04-01,"도봉구",42.7
2020-05-01,"도봉구",34.5161290322581
2020-06-01,"도봉구",36.8666666666667
2020-07-01,"도봉구",23.741935483871
2020-08-01,"도봉구",18.8709677419355
2020-09-01,"도봉구",12.6333333333333
2020-10-01,"도봉구",27.2903225806452
2020-11-01,"도봉구",35.9655172413793
2018-01-01,"동대문구",54.8709677419355
2018-02-01,"동대문구",50.6296296296296
2018-03-01,"동대문구",37.5
2018-04-01,"동대문구",43.4285714285714
2018-05-01,"동대문구",32.4761904761905
2018-06-01,"동대문구",41.5714285714286
2018-07-01,"동대문구",21.962962962963
2018-08-01,"동대문구",17.3870967741935
2018-09-01,"동대문구",15.4666666666667
2018-10-01,"동대문구",23.5483870967742
2018-11-01,"동대문구",48.5357142857143
2018-12-01,"동대문구",40.5806451612903
2019-01-01,"동대문구",62.0645161290323
2019-02-01,"동대문구",54.75
2019-03-01,"동대문구",68.5416666666667
2019-04-01,"동대문구",33.3
2019-05-01,"동대문구",42.5161290322581
2019-06-01,"동대문구",22.1333333333333
2019-07-01,"동대문구",21.8709677419355
2019-08-01,"동대문구",21.5806451612903
2019-09-01,"동대문구",19.2857142857143
2019-10-01,"동대문구",31.3548387096774
2019-11-01,"동대문구",42.4
2019-12-01,"동대문구",43.4516129032258
2020-01-01,"동대문구",39.4193548387097
2020-02-01,"동대문구",38.8148148148148
2020-03-01,"동대문구",39.6129032258064
2020-04-01,"동대문구",39.3666666666667
2020-05-01,"동대문구",30.8387096774194
2020-06-01,"동대문구",34.0666666666667
2020-07-01,"동대문구",20.5161290322581
2020-08-01,"동대문구",22.9354838709677
2020-09-01,"동대문구",18.2666666666667
2020-10-01,"동대문구",30.0322580645161
2020-11-01,"동대문구",38.5862068965517
2018-01-01,"동작구",52.4838709677419
2018-02-01,"동작구",52.9259259259259
2018-03-01,"동작구",41.8
2018-04-01,"동작구",45.2857142857143
2018-05-01,"동작구",37.8571428571429
2018-06-01,"동작구",45.5714285714286
2018-07-01,"동작구",28.4814814814815
2018-08-01,"동작구",25.0967741935484
2018-09-01,"동작구",21.3666666666667
2018-10-01,"동작구",28.5483870967742
2018-11-01,"동작구",53.3928571428571
2018-12-01,"동작구",44.0967741935484
2019-01-01,"동작구",64
2019-02-01,"동작구",58.4642857142857
2019-03-01,"동작구",74.6666666666667
2019-04-01,"동작구",38.7666666666667
2019-05-01,"동작구",48.3548387096774
2019-06-01,"동작구",29.2
2019-07-01,"동작구",30.0645161290323
2019-08-01,"동작구",29.2258064516129
2019-09-01,"동작구",28.6071428571429
2019-10-01,"동작구",34.8064516129032
2019-11-01,"동작구",44.5666666666667
2019-12-01,"동작구",46.4516129032258
2020-01-01,"동작구",50.7741935483871
2020-02-01,"동작구",47.6296296296296
2020-03-01,"동작구",51.5161290322581
2020-04-01,"동작구",49.1
2020-05-01,"동작구",38.8387096774194
2020-06-01,"동작구",39.8333333333333
2020-07-01,"동작구",24.741935483871
2020-08-01,"동작구",27.2258064516129
2020-09-01,"동작구",23.3666666666667
2020-10-01,"동작구",38.0322580645161
2020-11-01,"동작구",44.4137931034483
2018-01-01,"마포구",51.6129032258064
2018-02-01,"마포구",53.5925925925926
2018-03-01,"마포구",42.9
2018-04-01,"마포구",54.2380952380952
2018-05-01,"마포구",41.3333333333333
2018-06-01,"마포구",55.7142857142857
2018-07-01,"마포구",23.8888888888889
2018-08-01,"마포구",21.7096774193548
2018-09-01,"마포구",22.6333333333333
2018-10-01,"마포구",33.9677419354839
2018-11-01,"마포구",64.1071428571429
2018-12-01,"마포구",49.741935483871
2019-01-01,"마포구",73.3225806451613
2019-02-01,"마포구",60.2857142857143
2019-03-01,"마포구",82.125
2019-04-01,"마포구",49.6666666666667
2019-05-01,"마포구",63.9032258064516
2019-06-01,"마포구",35.6
2019-07-01,"마포구",25.0967741935484
2019-08-01,"마포구",22.0322580645161
2019-09-01,"마포구",20.5
2019-10-01,"마포구",31.2903225806452
2019-11-01,"마포구",40.8666666666667
2019-12-01,"마포구",39.8387096774194
2020-01-01,"마포구",41.258064516129
2020-02-01,"마포구",37.3333333333333
2020-03-01,"마포구",41.7741935483871
2020-04-01,"마포구",40.6333333333333
2020-05-01,"마포구",31.9032258064516
