"Month","gu","pollutant"
2020-10-01,"강서구",0.0250322580645161
2020-11-01,"강서구",0.0302413793103448
2018-01-01,"관악구",0.0385483870967742
2018-02-01,"관악구",0.0391851851851852
2018-03-01,"관악구",0.03615
2018-04-01,"관악구",0.0373809523809524
2018-05-01,"관악구",0.0253333333333333
2018-06-01,"관악구",0.0335714285714286
2018-07-01,"관악구",0.0221111111111111
2018-08-01,"관악구",0.019741935483871
2018-09-01,"관악구",0.0214
2018-10-01,"관악구",0.0316451612903226
2018-11-01,"관악구",0.04425
2018-12-01,"관악구",0.0415161290322581
2019-01-01,"관악구",0.0119354838709677
2019-02-01,"관악구",0.0165714285714286
2019-03-01,"관악구",0.0333333333333333
2019-04-01,"관악구",0.0325666666666667
2019-05-01,"관악구",0.0467741935483871
2019-06-01,"관악구",0.0447
2019-07-01,"관악구",0.0426451612903226
2019-08-01,"관악구",0.0331935483870968
2019-09-01,"관악구",0.00146428571428571
2019-10-01,"관악구",0.0135483870967742
2019-11-01,"관악구",0.0111666666666667
2019-12-01,"관악구",0.0110645161290323
2020-01-01,"관악구",0.0393870967741935
2020-02-01,"관악구",0.0374074074074074
2020-03-01,"관악구",0.0314193548387097
2020-04-01,"관악구",0.0227666666666667
2020-05-01,"관악구",0.0221290322580645
2020-06-01,"관악구",0.0214
2020-07-01,"관악구",0.0194838709677419
2020-08-01,"관악구",0.0147741935483871
2020-09-01,"관악구",0.0185333333333333
2020-10-01,"관악구",0.0304838709677419
2020-11-01,"관악구",0.0363103448275862
2018-01-01,"광진구",0.0375806451612903
2018-02-01,"광진구",0.0378148148148148
2018-03-01,"광진구",0.03205
2018-04-01,"광진구",0.0323333333333333
2018-05-01,"광진구",0.022952380952381
2018-06-01,"광진구",0.0292857142857143
2018-07-01,"광진구",0.0160740740740741
2018-08-01,"광진구",0.0146129032258065
2018-09-01,"광진구",0.0154666666666667
2018-10-01,"광진구",0.0228709677419355
2018-11-01,"광진구",0.03575
2018-12-01,"광진구",0.0336451612903226
2019-01-01,"광진구",0.00954838709677419
2019-02-01,"광진구",0.0156785714285714
2019-03-01,"광진구",0.0253333333333333
2019-04-01,"광진구",0.0262
2019-05-01,"광진구",0.0374516129032258
2019-06-01,"광진구",0.0340666666666667
2019-07-01,"광진구",0.0266774193548387
2019-08-01,"광진구",0.0316774193548387
2019-09-01,"광진구",0.0244285714285714
2019-10-01,"광진구",0.0214516129032258
2019-11-01,"광진구",0.0115666666666667
2019-12-01,"광진구",0.00974193548387097
2020-01-01,"광진구",0.0288709677419355
2020-02-01,"광진구",0.0288518518518519
2020-03-01,"광진구",0.0246129032258065
2020-04-01,"광진구",0.0185333333333333
2020-05-01,"광진구",0.0205806451612903
2020-06-01,"광진구",0.019
2020-07-01,"광진구",0.0144193548387097
2020-08-01,"광진구",0.013258064516129
2020-09-01,"광진구",0.0116
