"Week","disq_t"
2017-01-02,2365.87329321933
2017-01-09,2163.51194874817
2017-01-16,2107.07916643288
2017-01-23,2346.62936240541
2017-01-30,2381.30662072418
2017-02-06,2169.53963934223
2017-02-13,2153.72251346135
2017-02-20,2131.27140494187
2017-02-27,2166.95572817681
2017-03-06,2062.53471945253
2017-03-13,2129.0135863047
2017-03-20,2110.78586202966
2017-03-27,1514.28217127648
2017-05-01,2391.97730637482
2017-05-08,2374.80956100072
2017-05-15,2396.36158111314
2017-05-22,2398.16728504643
2017-05-29,2452.67960765718
2017-06-05,2507.69993592343
2017-06-12,2547.76761663557
2017-06-19,2635.10776465371
2017-06-26,2657.37236754257
2017-07-03,2734.51041296321
2017-07-10,2823.69112600222
2017-07-17,2750.16939290293
2017-07-24,2732.99074472344
2017-07-31,2617.28965634997
2017-08-07,2584.52502692876
2017-08-14,2442.39274827227
2017-08-21,2494.609915173
2017-08-28,2373.69042392187
2017-09-04,2368.89745976994
2017-09-11,2387.71023240446
2017-09-18,2440.28890141836
2017-09-25,2674.87596064094
2017-10-02,2803.15281165258
2017-10-09,2570.0553049624
2017-10-16,2523.9360146262
2017-10-23,2519.37229964702
2017-10-30,2544.87865726729
2017-11-06,2732.27892323241
2017-11-13,2810.87488910496
2017-11-20,2894.73375741524
2017-11-27,2837.58866915457
2017-12-04,2617.9036314894
2017-12-11,2392.76201707096
2017-12-18,2396.8876190068
2017-12-25,2625.72803623794
2018-01-01,2568.76706593958
2018-01-08,2393.20443295612
2018-01-15,2467.15428607046
2018-01-22,2243.16171678216
2018-01-29,2342.97261976401
2018-02-05,2406.66229700975
2018-02-12,2817.48504696313
2018-02-19,2544.1091242665
2018-02-26,2575.0047861767
2018-03-05,2497.69804223198
2018-03-12,2475.23391440187
2018-03-19,2417.13741691956
2018-03-26,2512.9283983126
2018-04-02,2371.16906632598
2018-04-09,2422.45211921557
2018-04-16,2411.96522286715
2018-04-23,2423.29132408948
2018-04-30,2412.1330652893
2018-05-07,2584.16467166612
2018-05-14,2560.55423831431
2018-05-21,2703.42756755777
2018-05-28,2733.90449230909
2018-06-04,2841.36840621468
2018-06-11,2851.95624050447
2018-06-18,2942.79100768601
2018-06-25,2880.804207751
2018-07-02,3039.47859383726
2018-07-09,3020.61964461899
2018-07-16,3187.67674858422
2018-07-23,3103.27596893573
2018-07-30,2935.66580265176
2018-08-06,2809.52063754565
2018-08-13,2741.7477220522
2018-08-20,2609.37066457212
2018-08-27,2535.05143518045
2018-09-03,2527.49917789976
2018-09-10,2590.17895140741
2018-09-17,3106.6614224104
2018-09-24,2850.73566636915
2018-10-01,2684.19122848408
