"Month","gu","type","FW"
2020-05-01,"강서구","FW_t",6.06041795981645
2020-05-01,"강서구","pred",6.08822557152773
2020-06-01,"강서구","FW_t",6.39403141604215
2020-06-01,"강서구","pred",6.13033521327638
2018-01-01,"관악구","FW_t",4.25746243514665
2018-01-01,"관악구","pred",3.97179165181034
2018-02-01,"관악구","FW_t",4.10841835765175
2018-02-01,"관악구","pred",4.04000964914073
2018-03-01,"관악구","FW_t",4.06492065306239
2018-03-01,"관악구","pred",4.13249620436325
2018-04-01,"관악구","FW_t",4.2604015261805
2018-04-01,"관악구","pred",4.21782362725247
2018-05-01,"관악구","FW_t",4.13145841466192
2018-05-01,"관악구","pred",4.28946053124298
2018-06-01,"관악구","FW_t",4.20541909065769
2018-06-01,"관악구","pred",4.35847962447308
2018-07-01,"관악구","FW_t",4.46099087639663
2018-07-01,"관악구","pred",4.44772634218528
2018-08-01,"관악구","FW_t",4.1651446885287
2018-08-01,"관악구","pred",4.50721484891251
2018-09-01,"관악구","FW_t",4.32843662590849
2018-09-01,"관악구","pred",4.53681781677601
2018-10-01,"관악구","FW_t",4.49224669857733
2018-10-01,"관악구","pred",4.56953475745005
2018-11-01,"관악구","FW_t",4.46978506484145
2018-11-01,"관악구","pred",4.60404668071354
2018-12-01,"관악구","FW_t",4.84240516907773
2018-12-01,"관악구","pred",4.63088057440424
2019-01-01,"관악구","FW_t",4.88766996351562
2019-01-01,"관악구","pred",4.71717779990226
2019-02-01,"관악구","FW_t",4.90852982317574
2019-02-01,"관악구","pred",4.78596911284284
2019-03-01,"관악구","FW_t",4.83011569679767
2019-03-01,"관악구","pred",4.86499599118961
2019-04-01,"관악구","FW_t",5.07376093008151
2019-04-01,"관악구","pred",4.94476539090368
2019-05-01,"관악구","FW_t",4.9589503300337
2019-05-01,"관악구","pred",5.0250342510976
2019-06-01,"관악구","FW_t",5.04122979929448
2019-06-01,"관악구","pred",5.08870262087537
2019-07-01,"관악구","FW_t",5.3182376241804
2019-07-01,"관악구","pred",5.16687431704796
2019-08-01,"관악구","FW_t",5.01563577084702
2019-08-01,"관악구","pred",5.22467157837928
2019-09-01,"관악구","FW_t",5.32947148297759
2019-09-01,"관악구","pred",5.2618718253005
2019-10-01,"관악구","FW_t",5.22115602915395
2019-10-01,"관악구","pred",5.28922349861147
2019-11-01,"관악구","FW_t",5.42474071804676
2019-11-01,"관악구","pred",5.30935715253704
2019-12-01,"관악구","FW_t",5.58530045476725
2019-12-01,"관악구","pred",5.34392525061075
2020-01-01,"관악구","FW_t",5.42336835321276
2020-01-01,"관악구","pred",5.41170537724938
2020-02-01,"관악구","FW_t",5.44830057164613
2020-02-01,"관악구","pred",5.4749332280256
2020-03-01,"관악구","FW_t",5.71050729229845
2020-03-01,"관악구","pred",5.55052563131222
2020-04-01,"관악구","FW_t",5.46368432381181
2020-04-01,"관악구","pred",5.63251604078031
2020-05-01,"관악구","FW_t",5.56058816126275
2020-05-01,"관악구","pred",5.71368422568255
2020-06-01,"관악구","FW_t",5.90408882829939
2020-06-01,"관악구","pred",5.79347157531118
2018-01-01,"광진구","FW_t",5.17663238444026
2018-01-01,"광진구","pred",5.02190572132344
2018-02-01,"광진구","FW_t",5.05652856791498
2018-02-01,"광진구","pred",5.04710761503027
2018-03-01,"광진구","FW_t",5.00008954935275
2018-03-01,"광진구","pred",5.09770607572792
2018-04-01,"광진구","FW_t",5.21289726825717
2018-04-01,"광진구","pred",5.13828189785895
2018-05-01,"광진구","FW_t",5.0840781165155
2018-05-01,"광진구","pred",5.17315925735693
2018-06-01,"광진구","FW_t",5.19795627734997
2018-06-01,"광진구","pred",5.20665081951695
2018-07-01,"광진구","FW_t",5.47837198076822
2018-07-01,"광진구","pred",5.24843619347332
2018-08-01,"광진구","FW_t",5.10597607949283
2018-08-01,"광진구","pred",5.26935318678872
2018-09-01,"광진구","FW_t",5.17424113269427
2018-09-01,"광진구","pred",5.25996398098707
2018-10-01,"광진구","FW_t",5.35708591398244
2018-10-01,"광진구","pred",5.25759063378044
2018-11-01,"광진구","FW_t",5.27566293171151
2018-11-01,"광진구","pred",5.25510810032076
2018-12-01,"광진구","FW_t",5.37437174679137
2018-12-01,"광진구","pred",5.2412841755152
2019-01-01,"광진구","FW_t",5.15925987598842
2019-01-01,"광진구","pred",5.27082312051304
2019-02-01,"광진구","FW_t",5.190463188742
2019-02-01,"광진구","pred",5.29575361728528
2019-03-01,"광진구","FW_t",5.08230085742494
2019-03-01,"광진구","pred",5.3349839431047
2019-04-01,"광진구","FW_t",5.43512974584439
2019-04-01,"광진구","pred",5.38400999036729
2019-05-01,"광진구","FW_t",5.33692346778918
2019-05-01,"광진구","pred",5.42708321869332
2019-06-01,"광진구","FW_t",5.44085262927798
2019-06-01,"광진구","pred",5.45443544271521
2019-07-01,"광진구","FW_t",5.74458190892198
2019-07-01,"광진구","pred",5.49226493950521
2019-08-01,"광진구","FW_t",5.44060828228564
2019-08-01,"광진구","pred",5.51385817335535
2019-09-01,"광진구","FW_t",5.68417941404527
2019-09-01,"광진구","pred",5.51432537169142
2019-10-01,"광진구","FW_t",5.35327182568531
2019-10-01,"광진구","pred",5.51737619150567
2019-11-01,"광진구","FW_t",5.49451100127712
2019-11-01,"광진구","pred",5.50343317314251
2019-12-01,"광진구","FW_t",5.63134528187041
2019-12-01,"광진구","pred",5.4992209563313
2020-01-01,"광진구","FW_t",5.44935419909522
2020-01-01,"광진구","pred",5.53823210466035
2020-02-01,"광진구","FW_t",5.42224790309597
2020-02-01,"광진구","pred",5.55964793805049
2020-03-01,"광진구","FW_t",5.71371923446019
2020-03-01,"광진구","pred",5.59533682370926
2020-04-01,"광진구","FW_t",5.4987785959828
2020-04-01,"광진구","pred",5.64204534953851
2020-05-01,"광진구","FW_t",5.58525811678839
2020-05-01,"광진구","pred",5.6840687082146
2020-06-01,"광진구","FW_t",5.97766455370339
2020-06-01,"광진구","pred",5.72235333810243
2018-01-01,"구로구","FW_t",4.62025828597205
2018-01-01,"구로구","pred",4.43484322461743
2018-02-01,"구로구","FW_t",4.5152531370741
2018-02-01,"구로구","pred",4.47219855745121
2018-03-01,"구로구","FW_t",4.44278948223082
2018-03-01,"구로구","pred",4.53502184628924
2018-04-01,"구로구","FW_t",4.65870668750418
2018-04-01,"구로구","pred",4.58331954137303
2018-05-01,"구로구","FW_t",4.54848818805582
2018-05-01,"구로구","pred",4.6278726081565
2018-06-01,"구로구","FW_t",4.66303193576266
2018-06-01,"구로구","pred",4.67159079620269
2018-07-01,"구로구","FW_t",4.93823984755364
2018-07-01,"구로구","pred",4.72080464607479
2018-08-01,"구로구","FW_t",4.56127994755125
2018-08-01,"구로구","pred",4.75183752611367
2018-09-01,"구로구","FW_t",4.59502540122999
2018-09-01,"구로구","pred",4.75452505181727
2018-10-01,"구로구","FW_t",4.74938870479711
2018-10-01,"구로구","pred",4.75686898349651
2018-11-01,"구로구","FW_t",4.7369709481853
2018-11-01,"구로구","pred",4.76645225566085
2018-12-01,"구로구","FW_t",4.88383926315044
2018-12-01,"구로구","pred",4.76455458036761
2019-01-01,"구로구","FW_t",4.76679741804184
2019-01-01,"구로구","pred",4.80277723094482
2019-02-01,"구로구","FW_t",4.84702518123911
2019-02-01,"구로구","pred",4.83765237243122
2019-03-01,"구로구","FW_t",4.72940525135247
2019-03-01,"구로구","pred",4.8868122094727
2019-04-01,"구로구","FW_t",4.99211993791099
2019-04-01,"구로구","pred",4.93866998030891
2019-05-01,"구로구","FW_t",4.88177601773802
2019-05-01,"구로구","pred",4.99107592615442
2019-06-01,"구로구","FW_t",4.97040340320838
2019-06-01,"구로구","pred",5.02911111655787
2019-07-01,"구로구","FW_t",5.26214262451109
2019-07-01,"구로구","pred",5.08084390530692
2019-08-01,"구로구","FW_t",4.94554693293547
2019-08-01,"구로구","pred",5.11323738412045
2019-09-01,"구로구","FW_t",5.22336825073215
2019-09-01,"구로구","pred",5.12473130519221
2019-10-01,"구로구","FW_t",4.9170499925005
2019-10-01,"구로구","pred",5.13514584383009
2019-11-01,"구로구","FW_t",5.11527943121624
2019-11-01,"구로구","pred",5.13140393662091
2019-12-01,"구로구","FW_t",5.27584397092311
2019-12-01,"구로구","pred",5.13745426880266
2020-01-01,"구로구","FW_t",5.19451391581299
2020-01-01,"구로구","pred",5.17038317438143
