"Week","Seoul","r_mem1","Households_m","pm10","NO2","avg_temp","googNav","Holiday"
2018-01-01,2568.76706593958,0.382166690693821,4.224387,43.7142857142857,0.0378571428571429,-2.72857142857143,-1.12598637234011,0
2018-01-08,2393.20443295612,0.382469779939704,4.2257356,42.9285714285714,0.032,-5.07142857142857,-1.00177818581623,0
2018-01-15,2467.15428607046,0.382772869185586,4.2270842,82.0714285714286,0.0491428571428571,2.62857142857143,-0.749071082755013,0
2018-01-22,2243.16171678216,0.383075958431469,4.2284328,30.0714285714286,0.027,-10.1,-0.953357868905448,0
2018-01-29,2342.97261976401,0.383379047677351,4.2297814,37.1428571428571,0.034,-5.65714285714286,-1.43794475512012,0
2018-02-05,2406.66229700975,0.383682136923233,4.23113,45.7142857142857,0.0345714285714286,-5.44285714285714,-1.36388754360251,0
2018-02-12,2817.48504696313,0.384036448655126,4.23275,43.1666666666667,0.0298333333333333,-1.18571428571429,-1.15455165378236,1
2018-02-19,2544.1091242665,0.384390760387018,4.23437,56.2857142857143,0.0382857142857143,1.65714285714286,-0.791108122157964,0
2018-02-26,2575.0047861767,0.38474507211891,4.23599,56.6428571428571,0.0467142857142857,4.1,-0.674501452070373,0
2018-03-05,2497.69804223198,0.385099383850803,4.23761,32.5714285714286,0.0294285714285714,5.21428571428571,-1.12132028507421,0
2018-03-12,2475.23391440187,0.38531425874602,4.2381695,40.5714285714286,0.0421428571428571,10.2428571428571,-1.57549529684149,0
2018-03-19,2417.13741691956,0.385529133641236,4.238729,21,0.0225,6.14285714285714,-1.16362440597134,0
2018-03-26,2512.9283983126,0.385744008536453,4.2392885,10.2756478644351,0.00844877342890129,14.0142857142857,-0.611644135094642,0
2018-04-02,2371.16906632598,0.38595888343167,4.239848,18.6843172756586,0.0125619269103499,10.1571428571429,-1.39512117272098,0
2018-04-09,2422.45211921557,0.386071458836583,4.240004,40.0714285714286,0.0307142857142857,11.7142857142857,-0.922535425530711,0
2018-04-16,2411.96522286715,0.386184034241496,4.24016,55.1666666666667,0.0483333333333333,14.7857142857143,-1.17922392310132,0
2018-04-23,2423.29132408948,0.386296609646409,4.240316,32.7142857142857,0.0327142857142857,14.0285714285714,-1.05380392316756,0
2018-04-30,2412.1330652893,0.386409185051321,4.240472,39.4285714285714,0.0228571428571429,16.4142857142857,-0.976955386729115,0
2018-05-07,2584.16467166612,0.386521760456234,4.240628,26.0714285714286,0.0278571428571429,16.2714285714286,-1.26154559999041,0
2018-05-14,2560.55423831431,0.386623125978185,4.24085775,37.6,0.0298,19.3571428571429,-0.978816064404215,0
2018-05-21,2703.42756755777,0.386724491500137,4.2410875,32,0.0245,19.0428571428571,-1.74560598236809,0
2018-05-28,2733.90449230909,0.386825857022088,4.24131725,39.8333333333333,0.0423333333333333,22.2857142857143,-1.12064263465269,0
2018-06-04,2841.36840621468,0.386927222544039,4.241547,33.5,0.032,22.6285714285714,-1.77335716829062,0
2018-06-11,2851.95624050447,0.387136649850044,4.242082,32.0355379946721,0.0315877518219678,21.7285714285714,-1.83579625718764,0
2018-06-18,2942.79100768601,0.387346077156049,4.242617,39.5,0.037,24.0428571428571,-1.630729970376,0
2018-06-25,2880.804207751,0.387555504462054,4.243152,38.8333333333333,0.0296666666666667,23.7142857142857,-1.79458097245577,0
2018-07-02,3039.47859383726,0.387764931768059,4.243687,5.7,0.0162,24.7857142857143,-1.33254502190938,0
2018-07-09,3020.61964461899,0.388056596401014,4.2448166,19.4,0.0194,25.9142857142857,-1.08891771337212,0
2018-07-16,3187.67674858422,0.388348261033968,4.2459462,29.7857142857143,0.0268571428571429,29.3714285714286,0.115085356051021,0
2018-07-23,3103.27596893573,0.388639925666922,4.2470758,30.6428571428571,0.0228571428571429,30.7142857142857,-0.162848072689673,0
2018-07-30,2935.66580265177,0.388931590299876,4.2482054,23.9285714285714,0.0214285714285714,32.2571428571429,-0.41877115426903,0
2018-08-06,2809.52063754565,0.389223254932831,4.249335,17.0714285714286,0.0198571428571429,30.4428571428571,-1.10895787346731,0
2018-08-13,2741.7477220522,0.389541793047688,4.25050575,18.5,0.0204285714285714,29.4142857142857,-0.829697313223484,0
2018-08-20,2609.37066457212,0.389860331162544,4.2516765,16.7142857142857,0.0202857142857143,26.9428571428571,-1.11948777673903,0
2018-08-27,2535.05143518045,0.390178869277401,4.25284725,13.2857142857143,0.0214285714285714,24.7285714285714,-1.14790895393172,0
2018-09-03,2527.49917789976,0.390497407392258,4.254018,18.5714285714286,0.0231428571428571,22.9285714285714,-1.64169799509858,0
2018-09-10,2590.17895140741,0.3908252069734,4.255143,14,0.0232857142857143,22.8285714285714,-1.88559238513001,0
2018-09-17,3106.6614224104,0.391153006554541,4.256268,21.7142857142857,0.0285714285714286,20.7142857142857,-1.28117580797463,0
2018-09-24,2850.73566636915,0.391480806135683,4.257393,9.21428571428571,0.0192857142857143,18.4285714285714,-1.26892228894239,0
2018-10-01,2684.19122848408,0.391808605716824,4.258518,15.0714285714286,0.0238571428571429,17.0285714285714,-0.984202056101502,0
2018-10-08,2569.85650279385,0.3919997085271,4.258907,19.2142857142857,0.0291428571428571,12.6285714285714,-1.19914110595189,0
2018-10-15,2492.70755811185,0.392190811337376,4.259296,30.6428571428571,0.0362857142857143,13.5285714285714,-0.931088099401297,0
2018-10-22,2557.08935424258,0.392381914147652,4.259685,31,0.0385714285714286,11.6714285714286,-0.830224433876858,0
2018-10-29,2671.97350812747,0.392573016957928,4.260074,28.4285714285714,0.0377142857142857,8.92857142857143,-1.44369967855127,0
