"date","강남구","강동구","강북구","강서구","관악구","광진구","구로구","금천구","노원구","도봉구","동대문구","동작구","마포구","서대문구","서초구","성동구","성북구","송파구","양천구","영등포구","용산구","은평구","종로구","중구","중랑구"
2017-01-23,5.4291955815212,6.77795,4.32779705891536,4.2814,2.13812704857126,4.8794,1.45685,9.85495,27.09545,73.75915,1.20995,12.15875,56.88645,13.6518,10.5108,6.3647,5.2978,56.31205,17.930265,27.96555,0.1798,1.8034,2.4568,5.3283,14.82475
2017-01-24,4.49462542376796,6.48545,3.58281929575633,3.8684,1.77007441479234,4.2844,1.3636,8.8925,25.0394,64.1157,1.24095,11.9969,29.43645,12.66755,10.22705,5.57555,4.9895,48.6192,11.7229,25.7951,0.2085,1.5138,2.29145,4.4159,14.09665
2017-01-25,4.95545000377218,7.60715,3.95015829323252,4.89565,1.95155645653479,4.7485,1.43245,10.10515,26.43535,56.16265,1.2812,13.74055,46.44905,14.49835,10.70805,6.37365,6.133,53.42645,12.3896,28.51135,0.16315,1.73335,2.45835,5.2434,14.99065
2017-01-26,5.82429560316043,7.71905,4.64274476819434,5.53305,2.29372542967088,6.1185,1.91955,13.19175,33.09185,65.7997,1.86075,16.2818,35.16545,17.2249,13.05575,8.06735,6.55845,70.40385,14.87505,38.5924,0.22555,2.395,2.9353,6.58625,19.65515
2017-01-27,6.95893521702258,9.8149,5.54720472180419,6.68615,2.74056946252102,6.17945,2.42475,17.13275,39.91145,81.17635,1.9658,17.24225,61.83895,20.87215,13.72485,9.111,8.70325,73.3425,15.49535,39.29705,0.27825,2.94125,3.2547,8.0136,23.2917
2017-01-28,3.16780981608237,5.72445,2.52516929983267,3.99565,1.24754758799783,3.59085,1.42245,11.40885,25.1951,10.67055,1.28065,10.35605,11.68205,13.46005,7.61615,5.9119,5.3838,41.45955,3.80935,23.08795,0.1914,1.72015,2.1481,5.59495,14.91715
2017-01-29,3.33687551019661,5.8603,2.65993733365363,4.45275,1.31412907841263,3.2482,1.3754,11.6857,24.5443,10.3211,1.5288,9.38805,22.48655,12.666,7.29425,5.30265,5.43255,42.2438,3.56305,26.24375,0.17595,1.9717,1.9242,5.2228,14.93645
2017-01-30,6.41391129959033,7.41535,5.11274755932323,4.95325,2.52592801840977,5.18765,1.5789,12.4099,31.1831,107.2725,1.1129,12.28195,71.5909,14.796,10.37775,7.45155,6.2533,57.62175,13.321,32.74915,0.19725,2.2866,2.45185,6.2851,17.6822
2017-01-31,5.87932732394066,6.8247,4.68661243068017,4.3312,2.31539803456471,5.06875,1.57045,9.8089,29.31715,111.6936,1.20285,15.1831,46.83975,13.83785,11.53015,6.457,5.9574,53.34605,12.22865,29.59435,0.22255,1.7684,2.5808,5.0789,16.47295
2017-02-01,4.69669917122839,7.1558,3.74389917523605,4.306,1.84965514434312,3.99625,1.4476,8.9366,23.92625,61.45185,1.09785,12.5194,47.3533,13.03485,9.9213,5.8839,5.2821,46.8473,12.0322,24.94525,0.17635,1.6477,2.2771,4.50385,13.53995
2017-02-02,4.29363154063078,6.0255,3.42260021297698,4.1373,1.69091895765692,4.38245,1.3402,9.11055,24.04645,53.9211,1.2008,11.2451,29.7022,12.12475,9.9351,5.6736,4.6282,49.6786,11.8733,24.5984,0.18545,1.7614,2.11085,4.62455,13.177
2017-02-03,4.56572351033261,5.41535,3.63949400664284,3.67745,1.79807427954265,3.90805,1.2333,9.0932,23.7595,63.0082,1.11695,10.63295,45.95035,11.5349,9.72095,5.36205,4.75155,46.1341,12.9228,23.53085,0.1578,1.57085,1.9895,4.8792,13.22435
2017-02-04,4.30117555100052,5.8681,3.42861380106757,4.1103,1.69388994155021,4.0376,1.3936,9.6139,24.46295,61.33435,1.14265,11.0894,24.4657,11.87005,9.18505,5.9731,4.73455,44.4686,14.12335,25.56175,0.17335,1.72255,2.0002,4.7671,13.88625
2017-02-05,4.52162353583874,8.2168,3.60434041214674,6.4337,1.78070681747744,5.0724,1.7079,13.98355,31.1731,12.69005,1.89565,14.88055,35.3677,16.57615,11.05265,7.2104,6.72945,57.95615,4.56935,33.99765,0.2317,2.88155,2.63705,6.57805,18.80045
2017-02-06,5.92114273867544,7.09295,4.71994492463607,4.42535,2.33186579078185,5.43405,1.6332,10.5897,29.5974,92.8676,1.2462,13.7118,54.23435,14.0486,11.7056,6.84185,5.39505,57.3266,21.18115,29.6742,0.20465,1.876,2.468,5.6823,16.4592
2017-02-07,4.69950561527741,5.3983,3.74613628755205,3.7984,1.85076037878189,4.4233,1.4168,8.63845,25.88925,85.46915,1.19455,12.1284,26.71475,11.9742,9.9145,5.532,5.1302,46.17765,11.5177,24.54055,0.22345,1.58095,2.34145,4.4998,13.96555
2017-02-08,4.4125700230987,6.96485,3.51741013589972,4.2821,1.73775933808937,3.8045,1.4648,8.8354,24.00075,54.4677,1.05565,11.86745,40.0457,13.0239,9.40435,5.5723,5.2229,45.0119,12.6072,24.3528,0.1726,1.3932,2.19785,4.48535,13.1578
2017-02-09,3.91776205268195,5.6605,3.12298181830769,3.57495,1.54289394974389,3.8858,1.32445,8.24685,22.0831,48.97595,1.0184,10.5716,24.56715,11.2843,9.4964,5.30385,4.3756,46.03205,11.5437,22.53485,0.1488,1.52785,1.9603,4.0934,12.2815
2017-02-10,4.27034151419927,5.12975,3.40403493818094,3.51245,1.68174687410836,3.9198,1.02605,7.8243,21.74185,58.3672,1.0241,9.8165,45.15495,10.54485,8.86755,5.21735,4.3452,42.85825,12.0906,22.0235,0.16415,1.51055,1.8981,4.55075,12.3465
2017-02-11,4.00312773381846,5.4703,3.19102971568172,3.84885,1.57651268185937,4.07555,1.23355,8.894,23.6312,55.0611,1.05255,11.12085,19.2876,11.58115,8.8476,5.53595,4.42345,43.60815,13.18525,24.01095,0.21465,1.75545,1.81105,4.7335,12.7846
2017-02-12,4.36429121431211,7.9176,3.47892544999418,6.24505,1.718746166545,5.0354,1.75905,13.2004,29.7595,12.634,1.6501,14.6496,35.31375,16.0079,10.80705,6.8891,6.2665,55.06685,4.4854,32.8667,0.20855,2.6005,2.54875,6.2224,18.04685
2017-02-13,5.5988791896427,6.721,4.46305765307664,4.3137,2.20495188602205,4.94855,1.70945,10.35165,28.8224,89.39345,1.24835,13.11425,44.40705,13.43525,11.18965,6.3775,5.5242,56.46005,19.89495,28.6146,0.18455,1.8118,2.45,5.46165,15.8345
2017-02-14,4.59161393427793,5.482,3.66013214703071,3.59855,1.80827045223624,4.27365,1.34905,8.51805,24.46285,82.8212,1.0607,11.4825,28.31325,11.32905,9.59065,5.1968,5.05535,45.1431,11.96,24.48505,0.1996,1.479,2.09995,3.97525,13.42005
2017-02-15,4.43392967925319,6.69255,3.53443664667776,4.3125,1.74617120277289,4.3372,1.41585,8.5198,23.887,54.908,1.045,11.7227,42.7285,12.5561,9.6736,5.6774,5.31545,44.99125,11.53435,24.3468,0.14985,1.46605,2.122,4.5965,12.8128
2017-02-16,4.12326263978102,6.0321,3.2867933485977,3.9142,1.62382423806677,4.3468,1.3911,8.905,23.4649,51.1425,1.06525,11.08255,24.93905,12.049,10.04595,5.2298,4.3394,48.5071,12.10445,24.38955,0.15675,1.5521,2.0176,4.43935,13.04055
2017-02-17,4.32230432975631,4.93275,3.44545627159286,3.5695,1.70221088204364,3.7428,1.2274,8.26285,22.28335,61.445149,1.03765,10.223,44.229,10.6152,9.005,5.167,4.58055,42.61945,12.10265,21.85025,0.1381,1.3949,2.06375,4.36295,12.53605
2017-02-18,4.00082963815559,5.33025,3.18919782521074,3.7778,1.57560764529857,4.16025,1.3279,8.40975,22.8624,58.5778,1.04285,11.04595,19.4259,11.29115,8.71725,5.2911,4.5381,42.9967,13.21165,23.0799,0.1743,1.58325,1.84455,4.6936,12.6321
2017-02-19,4.28762235135003,7.4264,3.41781008314923,6.0784,1.68855241735675,4.7351,1.4784,12.2639,28.90395,12.18615,1.8223,14.49255,39.87805,15.53425,10.4943,6.898,5.80345,53.5988,4.2118,31.50995,0.1814,2.5924,2.29825,5.7877,16.9078
2017-02-20,5.49692450643718,6.41955,4.38178609608553,4.20965,2.16480006930869,4.8515,1.5507,9.95565,27.9947,88.34305,1.2482,12.5244,47.94705,13.15705,10.83095,6.36415,5.0049,53.5983,20.14695,26.863,0.1625,1.673,2.428,5.29705,14.9193
2017-02-21,4.60954675079378,5.51785,3.67442700699845,3.921,1.81533275814765,4.3477,1.29895,8.53825,25.3395,79.7696,1.0617,11.88555,27.96635,11.95705,10.01265,5.58815,5.007,46.0396,11.116,24.82965,0.20905,1.53065,2.2646,4.3726,13.91455
2017-02-22,4.10411159192557,5.86975,3.27152739485934,3.78515,1.61628216800991,3.52525,1.2283,7.5436,21.8805,52.67905,0.94585,10.9914,43.0094,11.44975,8.41,5.29815,4.6506,38.99205,12.0581,21.5419,0.12695,1.28375,1.863,4.07115,11.67805
2017-02-23,4.13008849525611,6.2699,3.29223447091611,3.897,1.62651239803481,4.31645,1.4377,8.83035,23.7042,49.9797,1.14365,11.42535,25.472,11.67055,10.0149,5.7301,4.557,49.84805,11.2268,23.80055,0.17505,1.60945,2.0759,4.3594,13.06485
2017-02-24,4.34339779484315,4.9215,3.46227059238762,3.7976,1.71051791529987,3.83805,1.1843,8.12935,22.8131,59.6488,1.0013,10.59135,45.20085,10.78275,9.46825,5.4027,4.5502,43.7855,11.42905,21.76705,0.1514,1.5195,1.86505,4.52655,12.4176
2017-02-25,4.04683211400461,5.43005,3.22586796845624,3.81205,1.59372435088361,4.011,1.3425,8.74555,24.52635,57.1068,1.0819,11.29425,19.59055,11.42195,8.78695,6.07775,4.58525,43.329047,12.83125,23.74405,0.16385,1.72375,2.01545,4.64965,12.80325
2017-02-26,4.30064984657774,7.36515,3.42819474413352,6.114,1.69368290851391,4.8107,1.51095,12.7305,29.8301,12.025,1.6514,14.7385,37.1553,15.5066,10.7538,7.43415,6.0684,53.487446,4.27645,31.86115,0.1835,2.59565,2.32795,6.11025,17.41255
2017-02-27,5.57051241722171,6.2489,4.44044553081817,4.0923,2.19378047720407,4.71355,1.53675,9.72495,27.9637,90.9942,1.198,12.6953,52.4528,12.5402,10.5908,6.6587,5.0924,52.538798,20.24335,26.7352,0.1702,1.7774,2.27555,5.12415,15.01525
2017-02-28,4.4171043553442,5.34815,3.52102460685799,3.4417,1.7395450498538,4.0168,1.21635,7.973,24.16415,80.76885,0.8716,11.72705,26.2093,11.15295,9.3397,5.6861,4.57155,42.963937,11.714,22.339,0.20395,1.26645,1.9824,4.15495,12.5806
2017-03-01,3.80776388425746,6.6229,3.03529852478003,4.54555,1.4995744458376,4.21475,1.5537,8.94325,25.1295,10.468,1.0684,12.4378,41.8347,13.19465,9.4053,6.2511,5.52235,45.30574,9.21105,25.24645,0.13895,1.6001,2.1719,4.57555,13.7359
2017-03-02,4.68182977037476,6.2704,3.73204626842584,4.0285,1.8437992734901,4.3933,1.4383,9.0483,25.2861,74.01775,1.20365,12.00415,27.37495,12.69695,10.3011,5.993,4.61475,51.190636,13.99125,25.6232,0.1865,1.54075,2.14965,4.52055,13.42035
2017-03-03,4.60643638058536,5.042,3.6719476247699,3.82975,1.81410783143911,3.91475,1.2245,8.13435,22.624,73.5189,1.04565,10.67235,47.5903,10.579,9.4456,5.5057,4.5089,44.297542,11.71505,22.54105,0.1485,1.4592,2.0247,4.4425,12.0169
2017-03-04,4.1899448332582,5.6936,3.3399480004203,4.02265,1.65008503478901,4.048,1.32425,9.1146,25.0534,61.0899,1.1666,11.3861,19.9931,11.85905,9.1287,6.0985,4.5362,44.267738,13.0276,24.65995,0.18095,1.74235,2.07585,4.7213,13.39835
2017-03-05,4.27752721415623,7.7091,3.40976290481486,6.1201,1.68457674811275,4.8735,1.71295,12.6587,30.8549,12.45015,1.69725,14.74155,30.4523,15.9037,10.8152,7.5864,6.22355,54.814276,4.4444,32.1483,0.1852,2.57715,2.5967,6.3262,17.5205
2017-03-06,5.40285516397488,5.74765,4.30680021327296,3.9266,2.12775365929456,4.8107,1.45465,8.84745,26.215,94.05645,1.12215,11.89395,49.4717,12.12615,10.5368,6.24895,4.8579,50.521645,19.4853,25.3134,0.17335,1.647,2.2703,4.71935,13.7885
2017-03-07,4.20727172256158,4.8801,3.35375985513088,3.30965,1.6569087143067,3.7813,1.21715,7.61015,23.3258,76.717,0.89095,10.8549,24.8369,10.7293,8.86775,5.1661,4.15235,41.49965,10.52785,21.989,0.16735,1.2595,1.8925,3.85775,12.2078
2017-03-08,4.11950943446251,6.11575,3.28380154056738,4.0325,1.6223461498878,3.7405,1.3249,7.92925,22.20875,51.1128,0.86895,11.3915,40.03535,11.6181,8.66715,5.50725,4.6983,41.82115,11.01225,22.35265,0.1479,1.39735,1.9718,4.1223,11.82905
2017-03-09,3.85338679832477,5.3966,3.07166610637751,3.8283,1.51754167231476,3.94695,1.2869,7.9317,22.61805,47.8491,1.07175,10.8674,22.1875,11.00395,9.45195,5.281,4.0306,46.15855,10.4144,23.1682,0.1513,1.5193,1.98685,4.18545,11.87525
2017-03-10,4.15116088945274,4.9272,3.30903199538528,3.40315,1.63481113314823,3.73165,1.15545,7.56205,22.03495,59.37185,0.9192,10.0196,41.33145,10.0252,8.7069,5.2354,4.19515,41.75055,11.173,21.06745,0.1424,1.33635,1.82665,4.2806,11.8138
