"Month","gu","FW_t","month_int","TotalHouses","age_05","mem1","nBusiness","Suv1yr","NO2","avg_temp","Holidays"
2019-07-01,"성동구",6.31170567987204,0.404063443854954,-0.706229271438593,1.24746853469448,0.0810401680895453,-0.910750393924646,0.567127364148001,0.776687229794898,1.32145383029042,0
2019-08-01,"성동구",6.01420513378361,0.519510142099226,-0.710186439497692,1.23553602856285,0.0922651630390562,-0.901529027159858,0.758832217760394,0.838903475787597,1.45353492328188,0
2019-09-01,"성동구",6.24088959441,0.634956840343498,-0.714467330231635,1.22181777735649,0.0977419180975654,-0.891583808733451,1.16392067240052,0.142303721547886,0.996097316457157,1
2019-10-01,"성동구",5.90969793770268,0.750403538587771,-0.718188155803982,1.19114098123066,0.109098316166487,-0.880509950439592,1.47665750992556,-0.395052069734323,0.365082869489862,0
2019-11-01,"성동구",6.03218017597161,0.865850236832043,-0.72064102246976,1.13320899320002,0.116456812732926,-0.868157136332742,1.46875758916478,-1.48153206919946,-0.519308763483905,0
2019-12-01,"성동구",6.22625480150323,0.981296935076316,-0.721821612849787,1.05722977771706,0.119715636123548,-0.855392939508447,1.2217360768357,-1.73961427479882,-1.13940840104675,0
2020-01-01,"성동구",6.08593902326381,1.09674363332059,-0.721901503656293,0.977287452093732,0.126792273810629,-0.843339405322548,0.894558216627928,0.762861397352066,-1.11831436899652,1
2020-02-01,"성동구",6.06532336929786,1.21219033156486,-0.721017092783266,0.906490903070052,0.146382413478648,-0.833067684678814,0.63069923683661,0.518605024195536,-1.02689943646689,0
2020-03-01,"성동구",6.2665318221474,1.32763702980913,-0.719164062851528,0.854048095098483,0.150544402599221,-0.825445350672808,0.511674304179319,0.0750262333216505,-0.503666727409732,0
2020-04-01,"성동구",6.02426868434465,1.44308372805341,-0.716302917663579,0.828191762059629,0.158360951703006,-0.82128908194803,0.603508569979104,-0.652903844792962,-0.162841256739639,0
2020-05-01,"성동구",6.11571561542481,1.55853042629768,-0.712394161021942,0.837154637834074,0.182468767138566,-0.821415557147977,0.972227185559125,-0.84439162412605,0.529616319481674,0
2020-06-01,"성동구",6.4192010463311,1.67397712454195,-0.707398296729158,0.889169456302404,0.214835748060654,-0.826641454916147,1.68385530224249,-0.74933902608165,1.12117951778888,0
2018-01-01,"성북구",5.35059643739828,-1.67397712454195,0.260536081208016,0.606577168240384,-0.451118282007108,-0.428163316642336,0.276077717499181,1.00481346510147,-1.68201181009274,0
2018-02-01,"성북구",5.23003424313033,-1.55853042629768,0.257724531981784,0.57471412863416,-0.421116646545915,-0.422948323968718,0.164299367985853,1.12578949897616,-1.44750876038265,1
2018-03-01,"성북구",5.19403876540957,-1.44308372805341,0.253418873134429,0.522525941792024,-0.408143643324653,-0.415495707789367,-0.0042735672177668,0.638256082461133,-0.468942705419349,0
2018-04-01,"성북구",5.35173916905411,-1.32763702980913,0.25029104969754,0.455290387311343,-0.402712833362551,-0.411783076421266,-0.16049675247405,0.686983912159914,0.0246143747467709,0
2018-05-01,"성북구",5.22312361283911,-1.21219033156486,0.250143046050358,0.378641203291096,-0.402601795581086,-0.415902193652658,-0.244873670458644,-0.211036823650089,0.545842497981859,0
2018-06-01,"성북구",5.31863848685446,-1.09674363332059,0.251297003963064,0.299635961836963,-0.400003807043422,-0.424401445156738,-0.236499077100766,0.345123745686788,1.04572778776305,0
2018-07-01,"성북구",5.59209979394007,-0.981296935076316,0.251205104553493,0.225688193556129,-0.387346555362816,-0.431943372077968,-0.124115546642947,-0.906095802250508,1.51454535444255,0
2018-08-01,"성북구",5.1973712597012,-0.865850236832043,0.248449377429366,0.162431636547679,-0.365178193800072,-0.434565432765536,0.0853240067370484,-0.996475780997101,1.61157790187362,0
2018-09-01,"성북구",5.24901838745424,-0.750403538587771,0.246131246157639,0.108380858877624,-0.345098429476103,-0.433804754387647,0.312025309120809,-0.752910699462708,0.880740004773224,1
2018-10-01,"성북구",5.39508744381965,-0.634956840343498,0.248481982795132,0.0602706361037663,-0.324343252044237,-0.43257338131724,0.457983746654693,0.0715697752109371,0.0314726395261746,0
2018-11-01,"성북구",5.33105122006284,-0.519510142099226,0.25832624587705,0.0157728576191454,-0.315349088625047,-0.432876239998347,0.457828157029896,1.86053373736617,-0.497846938054335,0
2018-12-01,"성북구",5.4117659107431,-0.404063443854954,0.272862239852407,-0.0236921318423366,-0.308922795602582,-0.433089785159273,0.376721184116724,1.19491866119028,-1.342884679439,0
2019-01-01,"성북구",5.17512010664573,-0.288616745610681,0.287881555648619,-0.055766873711516,-0.297645163521155,-0.430683353599424,0.312458923330283,-1.49420574893872,-1.37209180073932,0
2019-02-01,"성북구",5.21338635682031,-0.173170047366409,0.300074709372703,-0.0796586586842406,-0.263798700726628,-0.424119818150591,0.344835648588995,-0.959812636037117,-1.18270911738723,1
2019-03-01,"성북구",5.09706571069441,-0.0577233491221362,0.309727917850017,-0.100833774516252,-0.256451284291798,-0.415836195774225,0.48163834782466,0.0632166681100665,-0.568246917840445,0
2019-04-01,"성북구",5.33053397834278,0.0577233491221362,0.318026323085579,-0.126323258228255,-0.252756285584677,-0.409263039464178,0.712652187472415,0.122149278897598,-0.0625742910608619,0
2019-05-01,"성북구",5.21296886802751,0.173170047366409,0.325949958521627,-0.159867762654884,-0.24481992200118,-0.407027242539866,1.01313808569652,1.35391573428274,0.671757643143248,0
2019-06-01,"성북구",5.28877909148822,0.288616745610681,0.333658423349646,-0.192046403886807,-0.241450159316424,-0.408541059622922,1.30025996757763,1.01863929754429,0.982012993519002,0
2019-07-01,"성북구",5.81831094885715,0.404063443854954,0.3411062081984,-0.210147913828599,-0.245610404875918,-0.412413085660538,1.47665750992556,0.0957649819858765,1.32145383029042,0
2019-08-01,"성북구",5.55371298708943,0.519510142099226,0.348289917228016,-0.20706574385066,-0.226181860624542,-0.417372987467702,1.47390838175662,0.199458725307049,1.45353492328188,0
2019-09-01,"성북구",5.79987315585066,0.634956840343498,0.355374608724136,-0.198112223186477,-0.213136381606428,-0.422634719330558,1.33934222091357,-0.485290315410245,0.996097316457157,1
2019-10-01,"성북구",5.43906013210666,0.750403538587771,0.362567454503804,-0.204204400535263,-0.209800952291404,-0.427533307403064,1.14922665744564,-0.726872048362067,0.365082869489862,0
2019-11-01,"성북구",5.59062825199637,0.865850236832043,0.370028351401578,-0.240388349771761,-0.203597154502145,-0.431513146962678,0.972923245594012,-1.47438872243734,-0.519308763483905,0
2019-12-01,"성북구",5.69599234691662,0.981296935076316,0.377728096322246,-0.298226245472452,-0.192106064462183,-0.434456109780928,0.852169236367216,-1.64628990580977,-1.13940840104675,0
2020-01-01,"성북구",5.54494706638207,1.09674363332059,0.385590211188127,-0.363409287389315,-0.176392476694884,-0.436353436752872,0.821795804965719,1.2744171977365,-1.11831436899652,1
2020-02-01,"성북구",5.59309176389941,1.21219033156486,0.393547672918016,-0.422802870239229,-0.144876853823396,-0.437174494948845,0.918015341751555,1.06626160929178,-1.02689943646689,0
2020-03-01,"성북구",5.89067768411483,1.32763702980913,0.40157127841668,-0.467969168598724,-0.128742403130597,-0.436801156140389,1.18256509773326,0.48980120660633,-0.503666727409732,0
2020-04-01,"성북구",5.67495824258525,1.44308372805341,0.409641279585399,-0.491644552009195,-0.115252202417833,-0.435093418274328,1.65856353908108,-0.127867857776774,-0.162841256739639,0
2020-05-01,"성북구",5.7743974839881,1.55853042629768,0.417737928325415,-0.48656539001208,-0.0858660890077086,-0.43191127929749,2.38912913196518,-0.229142080420451,0.529616319481674,0
2020-06-01,"성북구",6.08539606790766,1.67397712454195,0.425841476538008,-0.445468052148818,-0.0623087458515593,-0.4271147371567,3.41738034255574,-0.31359487359202,1.12117951778888,0
2018-01-01,"송파구",7.47490544067684,-1.67397712454195,1.77093555943285,1.84986207203029,-1.18324048384477,1.56203587021774,-0.16049675247405,0.579669117484671,-1.68201181009274,0
2018-02-01,"송파구",7.31415684847344,-1.55853042629768,1.78249739752531,1.80004183424497,-1.1608318148082,1.57396255136486,-0.0813270638880113,0.701157219227619,-1.44750876038265,1
2018-03-01,"송파구",7.25767783175343,-1.44308372805341,1.79379779398887,1.75190500889758,-1.13669714071443,1.58584938095293,-0.073226136322986,0.215012786805227,-0.468942705419349,0
2018-04-01,"송파구",7.45245567486524,-1.32763702980913,1.80473654629363,1.70550821819743,-1.11400057128835,1.59038628598497,-0.0877343408118407,0.39614765113054,0.0246143747467709,0
2018-05-01,"송파구",7.3259046999786,-1.21219033156486,1.81498513403743,1.66052417300642,-1.10191738669091,1.58332983262377,-0.0890512368953503,-0.359006149436966,0.545842497981859,0
2018-06-01,"송파구",7.4212456890492,-1.09674363332059,1.82330176532927,1.61508993879683,-1.09201630716354,1.57270314367122,-0.0920131381456881,0.498195462018035,1.04572778776305,0
2018-07-01,"송파구",7.6973958481696,-0.981296935076316,1.82821633040593,1.5669586696935,-1.08726967266848,1.569595981089,-0.124115546642947,-0.842599386587174,1.51454535444255,0
2018-08-01,"송파구",7.3198769164921,-0.865850236832043,1.82993567485669,1.51580307655833,-1.07074062343434,1.58150838238732,-0.203407459166225,-1.21077618386085,1.61157790187362,0
2018-09-01,"송파구",7.3324402622665,-0.750403538587771,1.83537446568096,1.46897409720152,-1.05558453585728,1.60158148727053,-0.310151851290986,-0.988641142612834,0.880740004773224,1
2018-10-01,"송파구",7.48906251934394,-0.634956840343498,1.85312432523065,1.43574222617025,-1.03317377682657,1.61936671099148,-0.415165193291768,-0.343205198073732,0.0314726395261746,0
2018-11-01,"송파구",7.43263483142374,-0.519510142099226,1.88808255953137,1.42212133252759,-1.01657757061952,1.62735427160991,-0.49417900712167,0.0351535201160106,-0.497846938054335,0
2018-12-01,"송파구",7.52495553547537,-0.404063443854954,1.93036920930332,1.42109878339952,-0.999551889520102,1.62978959841298,-0.542585021447903,1.55784676281437,-1.342884679439,0
2019-01-01,"송파구",7.28025235816732,-0.288616745610681,1.96640999894037,1.4224053204278,-0.984888300787237,1.63385692349474,-0.560690016616174,-1.83639510189858,-1.37209180073932,0
2019-02-01,"송파구",7.30733858985177,-0.173170047366409,1.986034646308,1.41681003806255,-0.983178347176628,1.64461841413515,-0.552061592237234,-1.30039720487415,-1.18270911738723,1
2019-03-01,"송파구",7.22800154799877,-0.0577233491221362,1.9926888431583,1.39923544198725,-0.975596168525624,1.65864797835788,-0.53331062498165,0.0900042184680353,-0.568246917840445,0
2019-04-01,"송파구",7.48223696275639,0.0577233491221362,1.993222274715,1.36564239069371,-0.963086409739837,1.67039745937251,-0.524308810785075,-0.0600060635365897,-0.0625742910608619,0
2019-05-01,"송파구",7.36827700106594,0.173170047366409,1.99333112448199,1.31503621087461,-0.949635899597777,1.67681144534383,-0.536401681319343,1.61315009258566,0.671757643143248,0
2019-06-01,"송파구",7.44333434158611,0.288616745610681,1.99409756908411,1.25860010202595,-0.940100700478468,1.68480550425739,-0.546830111201551,1.43295340974754,0.982012993519002,0
2019-07-01,"송파구",7.71787712366533,0.404063443854954,1.99545028342638,1.2105617318446,-0.926211332889584,1.70378794905392,-0.524308810785075,0.600407866148908,1.32145383029042,0
2019-08-01,"송파구",7.40440227356956,0.519510142099226,1.99732543766591,1.18017885577011,-0.915682028644418,1.73916823412969,-0.449531999263685,0.413759128170799,1.45353492328188,0
2019-09-01,"송파구",7.61703067188728,0.634956840343498,1.99968918296812,1.15682958021274,-0.912073356324891,1.78036037970307,-0.351111931192622,-0.527385037401334,0.996097316457157,1
2019-10-01,"송파구",7.28909515317687,0.750403538587771,2.00251516575052,1.12492209932541,-0.903530792160758,1.81277954744797,-0.269640369967353,-0.643917053705131,0.365082869489862,0
2019-11-01,"송파구",7.42072542581389,0.865850236832043,2.00578619614176,1.0730753253891,-0.889480385162369,1.8259634506985,-0.231918797174314,-1.75655091954128,-0.519308763483905,0
2019-12-01,"송파구",7.54793434131448,0.981296935076316,2.00952173911511,1.00675104319659,-0.871282240180994,1.82594000942958,-0.209587567163064,-1.90898072222339,-1.13940840104675,0
2020-01-01,"송파구",7.36400243217886,1.09674363332059,2.01375042335495,0.935621755668738,-0.862442053899368,1.82285969527632,-0.16049675247405,1.13270241519758,-1.11831436899652,1
2020-02-01,"송파구",7.35229876254995,1.21219033156486,2.01849904480344,0.868517822100753,-0.842893228500163,1.8260484695418,-0.0452544820095373,1.06626160929178,-1.02689943646689,0
