"(Intercept)","month_int","age_05","mem1","nBusiness"
"강동구",6.05081948473954,0.478803074819207,6.04375476363311,0.271891191600168,5.60910712793058
"강서구",-0.684053523304588,0.0862869979709271,0.0225332876273475,0.169603828024114,0.172596239000702
"관악구",-1.93129712383971,6.23473829932668,0.354495505139177,6.18473606761316,0.168340202533429
"광진구",-0.505950174613866,0.132541934152631,-0.0102481802333051,0.184322702375916,0.0810089175821035
"구로구",4.96383996854843,0.508701374760275,5.89948446541025,0.489997760153401,5.82699270731739
"금천구",0.60651188694849,-0.0849452403965861,0.0463291314833267,0.00816847411607389,0.261905427853663
"노원구",0.903511667220265,6.04702933363671,0.611504238062443,5.69476281802614,-0.118552811690046
"도봉구",1.21773152921048,0.05999546416736,0.191215880971298,-0.143481600736073,-0.200060904221314
"동대문구",5.7954223307931,0.80526242800055,6.35697062531907,0.0936322574184027,4.84131562940167
"동작구",0.418521289874365,-0.030437259279271,0.0749901493310867,0.0104420383454373,0.173094588266725
"마포구",1.33874216336873,5.79820155674737,0.411890449054515,5.77760739289773,0.401472224371653
"서대문구",0.591185206353135,0.0204024961930705,0.0463062394840246,0.0230657687864091,0.0712263727747579
"서초구",5.91772507925222,0.310810815655713,5.83956271151309,0.421925447502227,6.07588099016666
"성동구",0.20287685742623,0.0906495650162352,0.171502182893987,-0.0290242213442293,-0.0789218375833
"성북구",-0.16644802350601,5.9585162897682,0.341329865587383,5.99419345036549,0.398311281276998
"송파구",0.574436023726234,-0.0282597154151141,-0.00929625774513609,0.0617200951485173,0.200528139336806
"양천구",6.368272390627,0.201945562479498,5.7945300191785,0.400834465324541,6.23291095537182
"영등포구",0.802895507571482,-0.0923991687269226,0.0701642690478204,-0.0297621598949966,0.22780198435965
"은평구",-0.417441109074824,5.88220188018177,0.217587479334499,6.10434626634112,0.66198294513789
"종로구",0.324009760191098,0.207560559611034,0.206234914523244,-0.052512694470616,-0.336224254724128
"중구",6.28399395661075,0.381086448660251,5.97548863947589,0.290702695307468,5.79645542098515
"중랑구",0.372630984806787,-0.00731881350179794,0.0926493679582167,0.00394699466197199,0.126257043073921
