기간	자치구	행정동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2019.10	합계	합계	4,319,322	1,744,681	913,949	766,297	683,929	161,354	36,032	9,098	2,582	792	608
2019.10	종로구	소계	73,906	36,589	14,095	10,873	8,956	2,513	602	188	53	25	12
2019.10	종로구	사직동	4,581	2,252	892	693	512	169	30	24	5	2	2
2019.10	종로구	삼청동	1,392	738	253	179	152	47	16	6	1	-	-
2019.10	종로구	부암동	4,261	1,621	938	737	695	186	54	20	6	2	2
2019.10	종로구	평창동	7,528	2,425	1,696	1,494	1,364	419	84	28	11	7	-
2019.10	종로구	무악동	3,185	740	697	743	759	188	40	11	3	2	2
2019.10	종로구	교남동	4,588	1,631	1,104	905	753	145	32	11	5	2	-
2019.10	종로구	가회동	2,055	928	439	338	244	69	29	6	1	-	1
2019.10	종로구	종로1.2.3.4가동	5,261	4,177	516	293	202	54	14	3	2	-	-
2019.10	종로구	종로5·6가동	3,261	2,204	500	295	190	54	13	3	1	1	-
2019.10	종로구	이화동	4,462	2,688	790	491	355	105	23	8	1	1	-
2019.10	종로구	창신1동	2,939	1,728	568	331	210	81	16	5	-	-	-
2019.10	종로구	창신2동	4,112	1,898	888	645	479	154	35	9	3	1	-
2019.10	종로구	창신3동	2,906	921	663	643	476	162	36	1	4	-	-
2019.10	종로구	숭인1동	2,973	1,354	646	483	355	99	27	8	-	-	1
2019.10	종로구	숭인2동	5,719	3,747	904	549	397	96	20	4	2	-	-
2019.10	종로구	청운효자동	5,351	1,931	1,156	993	934	242	63	22	5	5	-
2019.10	종로구	혜화동	9,332	5,606	1,445	1,061	879	243	70	19	3	2	4
2019.10	중구	소계	62,608	30,891	13,088	9,191	7,080	1,738	445	114	26	12	23
2019.10	중구	소공동	1,097	618	206	148	99	17	6	1	-	-	2
2019.10	중구	회현동	3,172	2,127	438	289	228	67	13	8	2	-	-
2019.10	중구	명동	1,474	1,002	215	137	78	26	8	4	1	-	3
2019.10	중구	필동	2,295	1,407	427	226	168	52	9	4	1	-	1
2019.10	중구	장충동	2,692	1,687	445	243	222	69	19	2	2	-	3
2019.10	중구	광희동	2,958	1,902	509	285	188	48	20	4	1	-	1
2019.10	중구	을지로동	1,343	1,069	155	67	39	10	3	-	-	-	-
2019.10	중구	신당5동	5,287	2,631	1,095	784	584	140	38	11	2	2	-
2019.10	중구	황학동	6,779	3,660	1,432	903	588	153	33	7	-	1	2
2019.10	중구	중림동	5,828	2,476	1,256	1,046	815	171	46	13	5	-	-
2019.10	중구	신당동	4,415	2,725	814	441	335	69	24	4	2	1	-
2019.10	중구	다산동	6,939	3,104	1,634	1,057	887	189	44	16	3	2	3
2019.10	중구	약수동	7,787	2,864	1,995	1,539	1,041	260	67	14	3	1	3
2019.10	중구	청구동	6,389	2,481	1,512	1,154	942	234	50	8	1	4	3
2019.10	중구	동화동	4,153	1,138	955	872	866	233	65	18	3	1	2
2019.10	용산구	소계	109,909	51,975	22,651	16,869	13,653	3,527	881	227	71	31	24
2019.10	용산구	후암동	8,563	4,031	1,754	1,379	1,010	285	75	16	4	5	4
2019.10	용산구	용산2가동	5,432	2,773	1,209	763	521	128	27	9	2	-	-
2019.10	용산구	남영동	5,406	4,168	599	302	246	67	12	8	1	1	2
2019.10	용산구	원효로2동	6,009	2,074	1,292	1,173	1,082	282	76	16	10	2	2
2019.10	용산구	효창동	4,234	1,487	973	789	716	192	61	12	2	1	1
2019.10	용산구	용문동	5,369	1,916	1,292	1,031	846	218	51	9	3	2	1
2019.10	용산구	이촌1동	10,277	2,214	2,281	2,605	2,439	547	135	36	13	6	1
2019.10	용산구	이촌2동	3,861	1,317	1,045	771	535	138	33	13	9	-	-
2019.10	용산구	이태원1동	3,771	2,173	714	436	324	82	33	8	-	-	1
2019.10	용산구	이태원2동	4,882	2,597	1,009	642	459	122	40	9	3	1	-
2019.10	용산구	서빙고동	5,274	1,713	1,116	949	1,070	338	68	18	1	-	1
2019.10	용산구	보광동	7,646	4,033	1,680	1,007	693	184	35	10	2	2	-
2019.10	용산구	청파동	10,696	6,215	1,962	1,207	952	270	64	18	4	1	3
2019.10	용산구	원효로1동	7,769	3,675	1,657	1,209	941	228	44	6	4	3	2
2019.10	용산구	한강로동	9,677	5,460	1,822	1,225	892	195	57	17	6	2	1
2019.10	용산구	한남동	11,043	6,129	2,246	1,381	927	251	70	22	7	5	5
2019.10	성동구	소계	136,196	55,578	29,600	24,789	20,174	4,577	1,089	273	80	20	16
2019.10	성동구	왕십리2동	7,620	2,931	1,677	1,441	1,197	264	89	14	2	3	2
2019.10	성동구	마장동	10,877	4,825	2,292	1,758	1,497	371	90	28	9	2	5
2019.10	성동구	사근동	7,467	5,292	959	565	477	137	26	8	2	1	-
2019.10	성동구	행당1동	7,306	3,050	1,538	1,327	1,082	235	51	17	5	-	1
2019.10	성동구	행당2동	9,467	2,372	2,335	2,199	2,022	404	99	25	8	1	2
2019.10	성동구	응봉동	6,166	1,625	1,385	1,414	1,335	316	70	12	7	1	1
2019.10	성동구	금호1가동	6,613	2,094	1,626	1,454	1,111	254	60	12	2	-	-
2019.10	성동구	금호4가동	6,441	2,127	1,580	1,487	976	211	41	14	4	-	1
2019.10	성동구	성수1가1동	7,621	3,106	1,664	1,313	1,216	250	54	11	4	1	2
2019.10	성동구	성수1가2동	6,878	3,107	1,431	1,135	922	220	44	13	5	1	-
2019.10	성동구	성수2가1동	8,533	4,137	1,788	1,306	1,008	224	59	7	4	-	-
2019.10	성동구	성수2가3동	5,679	2,901	1,079	797	659	178	50	15	-	-	-
2019.10	성동구	송정동	5,535	2,764	1,134	820	620	157	33	5	-	2	-
2019.10	성동구	용답동	6,889	4,064	1,217	792	614	148	39	13	-	1	1
2019.10	성동구	왕십리도선동	11,781	4,421	2,493	2,313	1,992	432	94	25	8	3	-
2019.10	성동구	금호2.3가동	10,327	3,572	2,554	2,125	1,607	345	85	25	11	2	1
2019.10	성동구	옥수동	10,996	3,190	2,848	2,543	1,839	431	105	29	9	2	-
2019.10	광진구	소계	164,232	73,500	33,368	26,732	23,707	5,282	1,185	317	96	28	17
2019.10	광진구	화양동	16,013	12,576	1,964	729	594	109	30	9	1	-	1
2019.10	광진구	군자동	10,666	5,931	2,011	1,371	1,034	235	56	20	5	2	1
