기간	자치구	행정동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2018.04	합계	합계	4,239,848	1,636,407	876,814	774,389	725,873	173,577	38,878	9,778	2,681	832	619
2018.04	종로구	소계	73,857	35,885	13,774	10,877	9,746	2,643	646	200	53	20	13
2018.04	종로구	사직동	4,467	2,116	856	679	600	149	33	23	6	2	3
2018.04	종로구	삼청동	1,419	739	252	199	149	56	18	6	-	-	-
2018.04	종로구	부암동	4,297	1,609	917	746	736	200	56	23	5	3	2
2018.04	종로구	평창동	7,591	2,491	1,624	1,457	1,454	422	100	26	8	7	2
2018.04	종로구	무악동	3,020	721	646	676	749	181	32	10	3	1	1
2018.04	종로구	교남동	4,516	1,597	1,077	838	791	163	33	13	4	-	-
2018.04	종로구	가회동	2,079	927	436	327	273	82	23	7	3	-	1
2018.04	종로구	종로1.2.3.4가동	5,368	4,215	541	303	230	53	17	6	3	-	-
2018.04	종로구	종로5·6가동	3,196	2,093	472	315	233	65	13	2	2	1	-
2018.04	종로구	이화동	4,486	2,615	782	531	411	114	21	11	-	1	-
2018.04	종로구	창신1동	3,043	1,786	549	364	247	79	14	4	-	-	-
2018.04	종로구	창신2동	4,271	1,969	857	663	556	170	42	10	2	2	-
2018.04	종로구	창신3동	2,875	841	662	636	509	180	37	7	3	-	-
2018.04	종로구	숭인1동	3,009	1,318	654	480	395	122	31	7	2	-	-
2018.04	종로구	숭인2동	5,652	3,588	917	569	444	98	27	5	3	1	-
2018.04	종로구	청운효자동	5,426	1,942	1,117	1,010	999	249	83	21	3	2	-
2018.04	종로구	혜화동	9,142	5,318	1,415	1,084	970	260	66	19	6	-	4
2018.04	중구	소계	60,943	29,195	12,485	9,313	7,462	1,820	489	111	39	11	18
2018.04	중구	소공동	1,070	599	196	149	98	18	7	1	-	-	2
2018.04	중구	회현동	3,282	2,251	437	289	227	57	14	5	2	-	-
2018.04	중구	명동	1,437	946	217	138	94	28	7	2	2	-	3
2018.04	중구	필동	2,250	1,374	375	243	185	54	12	4	2	-	1
2018.04	중구	장충동	2,643	1,597	448	275	218	78	20	3	1	-	3
2018.04	중구	광희동	2,922	1,820	515	294	213	51	22	5	1	-	1
2018.04	중구	을지로동	1,170	919	126	69	37	15	2	2	-	-	-
2018.04	중구	신당5동	4,426	2,030	908	706	589	143	35	10	3	2	-
2018.04	중구	황학동	6,327	3,294	1,295	891	642	152	44	6	2	1	-
2018.04	중구	중림동	5,644	2,421	1,194	995	807	159	54	8	5	1	-
2018.04	중구	신당동	4,415	2,628	793	511	354	91	30	6	-	2	-
2018.04	중구	다산동	6,864	2,931	1,612	1,114	920	212	53	13	5	1	3
2018.04	중구	약수동	7,815	2,760	1,976	1,561	1,148	279	69	14	5	-	3
2018.04	중구	청구동	6,462	2,431	1,520	1,197	990	252	52	10	6	2	2
2018.04	중구	동화동	4,216	1,194	873	881	940	231	68	22	5	2	-
2018.04	용산구	소계	108,545	50,169	21,973	17,091	14,353	3,685	915	234	71	27	27
2018.04	용산구	후암동	8,560	3,942	1,678	1,379	1,157	304	73	17	3	2	5
2018.04	용산구	용산2가동	5,549	2,776	1,210	792	578	149	34	9	1	-	-
2018.04	용산구	남영동	5,475	4,185	604	336	250	75	16	5	-	1	3
2018.04	용산구	원효로2동	6,030	1,966	1,287	1,202	1,156	308	73	20	11	3	4
2018.04	용산구	효창동	3,868	1,369	860	687	676	204	51	15	3	2	1
2018.04	용산구	용문동	5,310	1,826	1,220	1,038	922	226	59	13	4	1	1
2018.04	용산구	이촌1동	10,101	2,204	2,167	2,581	2,429	526	139	35	14	3	3
2018.04	용산구	이촌2동	3,859	1,253	1,005	803	590	155	39	9	4	1	-
2018.04	용산구	이태원1동	3,900	2,257	717	460	318	111	29	6	2	-	-
2018.04	용산구	이태원2동	4,913	2,586	999	673	480	124	41	7	2	-	1
2018.04	용산구	서빙고동	5,324	1,683	1,102	964	1,161	325	64	20	4	-	1
2018.04	용산구	보광동	7,830	3,982	1,683	1,093	809	202	45	14	2	-	-
2018.04	용산구	청파동	10,561	5,893	1,948	1,275	1,060	271	85	18	7	1	3
2018.04	용산구	원효로1동	7,069	3,156	1,502	1,197	926	221	47	9	5	6	-
2018.04	용산구	한강로동	9,267	5,172	1,736	1,202	874	214	50	15	2	1	1
2018.04	용산구	한남동	10,929	5,919	2,255	1,409	967	270	70	22	7	6	4
2018.04	성동구	소계	135,147	53,277	28,734	24,735	21,817	4,935	1,204	315	89	25	16
