기간	자치구	행정동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2018.07	합계	합계	4,243,687	1,645,553	881,821	772,910	719,520	171,747	38,346	9,640	2,720	821	609
2018.07	종로구	소계	73,554	35,704	13,829	10,862	9,604	2,626	644	194	54	24	13
2018.07	종로구	사직동	4,482	2,115	882	679	590	152	31	22	7	1	3
2018.07	종로구	삼청동	1,414	736	251	197	154	55	15	5	-	1	-
2018.07	종로구	부암동	4,289	1,600	933	742	733	189	57	23	6	4	2
2018.07	종로구	평창동	7,590	2,485	1,633	1,466	1,434	424	104	25	9	8	2
2018.07	종로구	무악동	3,013	711	653	673	756	173	34	8	3	1	1
2018.07	종로구	교남동	4,517	1,584	1,074	869	775	160	37	13	5	-	-
2018.07	종로구	가회동	2,065	924	433	323	272	79	23	7	3	-	1
2018.07	종로구	종로1.2.3.4가동	5,299	4,147	551	294	223	56	18	7	3	-	-
2018.07	종로구	종로5·6가동	3,148	2,058	479	312	218	65	11	2	1	2	-
2018.07	종로구	이화동	4,490	2,642	767	536	399	114	20	11	-	1	-
2018.07	종로구	창신1동	3,014	1,759	568	357	235	77	15	3	-	-	-
2018.07	종로구	창신2동	4,218	1,953	841	660	546	163	41	11	1	2	-
2018.07	종로구	창신3동	2,871	840	671	629	503	189	31	5	3	-	-
2018.07	종로구	숭인1동	2,996	1,317	655	485	376	122	31	8	2	-	-
2018.07	종로구	숭인2동	5,675	3,655	891	552	439	100	30	5	2	1	-
2018.07	종로구	청운효자동	5,408	1,924	1,115	1,004	1,012	247	80	20	3	3	-
2018.07	종로구	혜화동	9,065	5,254	1,432	1,084	939	261	66	19	6	-	4
2018.07	중구	소계	61,075	29,305	12,627	9,265	7,381	1,844	482	104	36	12	19
2018.07	중구	소공동	1,068	593	198	150	102	16	6	1	-	-	2
2018.07	중구	회현동	3,266	2,228	440	295	222	60	14	5	2	-	-
2018.07	중구	명동	1,404	923	210	135	96	27	8	1	1	-	3
2018.07	중구	필동	2,247	1,375	388	241	176	51	10	4	1	-	1
2018.07	중구	장충동	2,658	1,603	464	268	220	77	18	4	1	-	3
2018.07	중구	광희동	2,902	1,808	517	283	211	54	22	5	1	-	1
2018.07	중구	을지로동	1,206	948	135	69	36	12	3	3	-	-	-
2018.07	중구	신당5동	4,437	2,053	908	703	584	138	35	11	3	2	-
2018.07	중구	황학동	6,438	3,388	1,328	881	636	154	42	6	2	1	-
2018.07	중구	중림동	5,701	2,422	1,229	991	823	169	52	10	4	1	-
2018.07	중구	신당동	4,411	2,625	805	504	353	90	27	5	-	2	-
2018.07	중구	다산동	6,891	2,971	1,620	1,109	901	220	51	11	5	-	3
2018.07	중구	약수동	7,802	2,763	1,985	1,566	1,111	288	69	11	6	-	3
2018.07	중구	청구동	6,454	2,436	1,513	1,190	993	253	48	10	5	3	3
2018.07	중구	동화동	4,190	1,169	887	880	917	235	77	17	5	3	-
2018.07	용산구	소계	108,552	50,252	22,064	17,037	14,285	3,636	913	240	77	28	20
2018.07	용산구	후암동	8,529	3,916	1,678	1,397	1,134	299	76	18	5	2	4
2018.07	용산구	용산2가동	5,556	2,788	1,221	794	563	148	32	9	1	-	-
2018.07	용산구	남영동	5,425	4,161	581	342	245	70	16	7	-	1	2
2018.07	용산구	원효로2동	6,031	1,964	1,302	1,192	1,170	297	71	18	11	4	2
2018.07	용산구	효창동	3,647	1,285	818	651	633	188	53	14	2	2	1
2018.07	용산구	용문동	5,353	1,857	1,235	1,049	914	222	57	13	3	2	1
2018.07	용산구	이촌1동	10,154	2,194	2,206	2,595	2,436	519	151	34	15	3	1
2018.07	용산구	이촌2동	3,855	1,259	1,011	792	587	151	38	9	8	-	-
2018.07	용산구	이태원1동	3,860	2,237	713	448	312	110	31	7	2	-	-
2018.07	용산구	이태원2동	4,915	2,577	1,004	677	473	130	42	8	3	-	1
2018.07	용산구	서빙고동	5,329	1,712	1,081	963	1,164	322	62	19	5	-	1
2018.07	용산구	보광동	7,790	3,986	1,666	1,088	795	196	42	15	2	-	-
2018.07	용산구	청파동	10,603	5,920	1,979	1,267	1,046	280	82	17	8	1	3
2018.07	용산구	원효로1동	7,227	3,275	1,545	1,173	950	221	42	11	5	5	-
2018.07	용산구	한강로동	9,358	5,212	1,753	1,206	900	215	50	17	2	2	1
2018.07	용산구	한남동	10,920	5,909	2,271	1,403	963	268	68	24	5	6	3
2018.07	성동구	소계	136,000	53,766	29,062	24,912	21,726	4,897	1,187	315	98	23	14
2018.07	성동구	왕십리2동	7,697	2,919	1,648	1,470	1,260	281	95	15	2	4	3
2018.07	성동구	마장동	10,564	4,388	2,226	1,783	1,623	410	94	22	12	4	2
2018.07	성동구	사근동	6,920	4,695	906	605	533	134	30	13	2	2	-
2018.07	성동구	행당1동	6,702	2,810	1,369	1,181	1,015	245	54	19	8	-	1
2018.07	성동구	행당2동	9,455	2,301	2,205	2,214	2,144	437	101	39	10	2	2
2018.07	성동구	응봉동	6,223	1,640	1,369	1,396	1,387	329	73	21	7	-	1
2018.07	성동구	금호1가동	6,499	2,012	1,570	1,383	1,188	256	67	19	3	1	-
2018.07	성동구	금호4가동	6,465	2,150	1,555	1,409	1,060	229	47	11	4	-	-
2018.07	성동구	성수1가1동	7,653	3,054	1,614	1,339	1,291	268	69	11	4	2	1
2018.07	성동구	성수1가2동	7,252	3,210	1,506	1,199	1,039	235	49	7	5	1	1
2018.07	성동구	성수2가1동	8,570	4,043	1,730	1,335	1,140	244	57	16	4	1	-
2018.07	성동구	성수2가3동	5,639	2,772	1,074	824	711	188	54	12	3	1	-
2018.07	성동구	송정동	5,487	2,607	1,126	833	691	178	38	12	1	1	-
2018.07	성동구	용답동	8,079	4,399	1,525	994	896	203	51	9	1	-	1
2018.07	성동구	왕십리도선동	11,560	4,175	2,429	2,291	2,084	438	107	29	6	-	1
2018.07	성동구	금호2.3가동	10,279	3,481	2,476	2,123	1,685	385	84	29	13	2	1
2018.07	성동구	옥수동	10,956	3,110	2,734	2,533	1,979	437	117	31	13	2	-
2018.07	광진구	소계	161,293	69,362	32,190	27,246	25,069	5,659	1,292	331	96	28	20
2018.07	광진구	화양동	15,152	11,603	1,900	834	639	127	38	9	2	-	-
2018.07	광진구	군자동	10,353	5,485	1,976	1,404	1,141	256	65	16	5	3	2
2018.07	광진구	중곡1동	7,806	3,577	1,797	1,257	906	208	39	16	5	1	-
2018.07	광진구	중곡2동	10,223	4,238	2,245	1,815	1,502	322	77	16	4	2	2
2018.07	광진구	중곡3동	8,416	3,733	1,914	1,398	1,039	268	52	9	2	1	-
2018.07	광진구	중곡4동	13,181	4,685	2,936	2,638	2,202	541	135	34	4	3	3
2018.07	광진구	능동	6,124	3,315	1,264	771	558	141	61	10	4	-	-
2018.07	광진구	구의1동	11,538	5,872	2,358	1,667	1,227	305	86	16	5	2	-
2018.07	광진구	구의2동	10,644	3,724	2,328	2,104	1,864	465	109	31	14	2	3
2018.07	광진구	구의3동	12,108	3,917	2,452	2,509	2,532	553	103	27	10	4	1
2018.07	광진구	광장동	11,951	2,112	1,780	2,955	4,137	747	164	36	17	3	-
2018.07	광진구	자양1동	11,345	5,362	2,403	1,678	1,456	345	78	17	2	2	2
2018.07	광진구	자양2동	11,285	3,829	2,454	2,298	2,058	487	110	36	7	3	3
2018.07	광진구	자양3동	11,040	2,723	2,310	2,506	2,715	601	123	45	11	2	4
2018.07	광진구	자양4동	10,127	5,187	2,073	1,412	1,093	293	52	13	4	-	-
2018.07	동대문구	소계	161,336	71,640	32,274	26,417	23,135	5,943	1,447	351	95	22	12
2018.07	동대문구	회기동	5,858	3,678	855	612	527	147	30	6	3	-	-
2018.07	동대문구	휘경1동	6,838	3,801	1,217	859	719	176	47	14	3	2	-
2018.07	동대문구	휘경2동	11,100	4,878	2,045	1,825	1,770	447	96	28	8	1	2
2018.07	동대문구	청량리동	10,492	4,786	2,297	1,628	1,299	367	91	18	4	1	1
2018.07	동대문구	용신동	16,267	9,159	2,997	1,938	1,599	434	100	33	6	1	-
