기간	자치구	행정동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2019.07	광진구	중곡1동	8,022	3,857	1,813	1,234	857	194	45	15	6	1	-
2019.07	광진구	중곡2동	10,366	4,444	2,309	1,786	1,419	309	75	16	5	2	1
2019.07	광진구	중곡3동	8,496	3,966	1,930	1,317	981	245	44	10	2	1	-
2019.07	광진구	중곡4동	13,222	4,925	3,055	2,579	2,021	487	115	27	9	2	2
2019.07	광진구	능동	6,229	3,466	1,281	744	517	154	54	9	2	2	-
2019.07	광진구	구의1동	11,756	6,237	2,402	1,574	1,160	300	65	16	2	-	-
2019.07	광진구	구의2동	11,626	4,060	2,602	2,301	2,031	481	104	33	6	4	4
2019.07	광진구	구의3동	12,182	4,022	2,546	2,490	2,439	542	98	30	11	3	1
2019.07	광진구	광장동	12,041	2,214	1,883	2,999	4,032	698	162	34	15	4	-
2019.07	광진구	자양1동	11,431	5,535	2,429	1,699	1,357	314	70	20	4	1	2
2019.07	광진구	자양2동	11,263	3,959	2,521	2,207	1,978	456	99	32	7	2	2
2019.07	광진구	자양3동	11,052	2,867	2,356	2,490	2,621	541	122	34	12	6	3
2019.07	광진구	자양4동	9,746	5,044	2,020	1,392	962	259	50	14	4	1	-
2019.07	동대문구	소계	163,103	74,435	33,027	26,184	22,192	5,479	1,355	324	66	27	14
2019.07	동대문구	회기동	5,997	3,843	883	601	489	141	30	6	3	1	-
2019.07	동대문구	휘경1동	7,340	3,990	1,326	956	811	191	50	13	-	3	-
2019.07	동대문구	휘경2동	11,469	5,383	2,090	1,781	1,678	419	85	27	3	2	1
2019.07	동대문구	청량리동	10,539	4,982	2,330	1,574	1,216	333	90	11	2	-	1
2019.07	동대문구	용신동	17,006	10,043	3,040	1,919	1,499	377	100	24	4	-	-
2019.07	동대문구	제기동	13,026	6,901	2,595	1,728	1,300	364	111	22	1	3	1
2019.07	동대문구	전농1동	14,919	7,203	2,958	2,366	1,825	436	87	28	10	2	4
2019.07	동대문구	전농2동	7,764	2,194	1,843	1,729	1,478	389	98	27	4	-	2
2019.07	동대문구	답십리1동	12,651	4,791	2,630	2,433	2,123	505	126	34	6	2	1
2019.07	동대문구	답십리2동	12,721	4,317	3,067	2,502	2,198	492	112	26	6	1	-
2019.07	동대문구	장안1동	17,464	7,260	3,721	3,104	2,543	636	158	32	6	4	-
2019.07	동대문구	장안2동	13,088	4,449	2,846	2,677	2,376	558	140	30	8	2	2
2019.07	동대문구	이문1동	10,673	6,333	1,797	1,150	1,040	256	73	16	4	3	1
2019.07	동대문구	이문2동	8,446	2,746	1,901	1,664	1,616	382	95	28	9	4	1
2019.07	중랑구	소계	181,342	73,859	41,113	32,325	26,044	6,295	1,275	323	75	17	16
2019.07	중랑구	면목2동	12,227	5,400	2,721	2,017	1,600	386	84	12	6	1	-
2019.07	중랑구	면목4동	9,339	3,933	2,156	1,644	1,243	282	62	15	4	-	-
2019.07	중랑구	면목5동	4,571	1,895	1,089	805	610	136	27	7	2	-	-
2019.07	중랑구	면목7동	10,085	4,253	2,323	1,763	1,346	304	74	17	4	1	-
2019.07	중랑구	상봉1동	10,211	3,047	2,334	2,233	2,075	424	73	20	4	1	-
2019.07	중랑구	상봉2동	10,683	6,086	2,171	1,303	870	184	47	13	6	2	1
2019.07	중랑구	중화1동	8,976	3,179	2,182	1,803	1,381	345	57	19	6	2	2
2019.07	중랑구	중화2동	14,393	7,297	3,205	2,056	1,404	340	68	17	3	1	2
2019.07	중랑구	묵1동	14,553	4,635	3,275	3,050	2,727	654	156	41	11	2	2
2019.07	중랑구	묵2동	9,205	3,864	2,089	1,662	1,207	306	59	12	2	2	2
2019.07	중랑구	망우3동	8,469	3,677	2,000	1,452	1,037	241	51	8	1	2	-
2019.07	중랑구	신내1동	14,696	3,396	3,299	3,172	3,467	1,084	210	58	9	-	1
2019.07	중랑구	신내2동	9,067	2,755	2,235	2,002	1,645	341	69	12	6	-	2
2019.07	중랑구	면목본동	17,584	8,310	3,920	2,793	2,007	444	79	25	2	1	3
2019.07	중랑구	면목3.8동	12,544	5,504	2,888	2,142	1,549	362	71	24	4	-	-
2019.07	중랑구	망우본동	14,739	6,628	3,226	2,428	1,876	462	88	23	5	2	1
2019.07	성북구	소계	190,698	73,359	40,252	35,192	31,851	7,655	1,759	463	97	30	40
2019.07	성북구	돈암1동	6,311	1,772	1,557	1,345	1,244	297	73	20	-	1	2
2019.07	성북구	돈암2동	8,585	1,582	1,760	2,232	2,265	559	131	38	13	2	3
2019.07	성북구	안암동	9,078	5,835	1,416	900	724	154	35	8	2	2	2
2019.07	성북구	보문동	7,945	3,759	1,566	1,286	1,042	232	46	9	3	-	2
2019.07	성북구	정릉1동	7,426	2,184	1,610	1,645	1,505	356	91	29	3	1	2
2019.07	성북구	정릉2동	9,641	3,007	2,282	1,998	1,791	411	112	32	3	2	3
2019.07	성북구	정릉3동	7,724	3,942	1,505	1,093	872	246	50	11	1	1	3
2019.07	성북구	정릉4동	11,016	3,625	2,577	2,271	1,925	474	103	29	10	-	2
2019.07	성북구	길음1동	12,856	2,534	2,458	3,138	3,751	750	175	35	7	2	6
2019.07	성북구	길음2동	6,730	2,296	1,413	1,389	1,269	289	57	17	-	-	-
2019.07	성북구	월곡1동	10,765	3,137	2,418	2,281	2,234	536	121	27	8	2	1
2019.07	성북구	월곡2동	9,139	3,976	1,864	1,511	1,337	340	82	18	8	1	2
2019.07	성북구	장위1동	9,027	3,352	2,143	1,666	1,400	343	87	29	4	2	1
2019.07	성북구	장위2동	6,339	2,481	1,569	1,134	847	230	58	15	4	1	-
2019.07	성북구	장위3동	5,234	1,725	1,168	1,045	1,001	235	45	12	2	1	-
2019.07	성북구	성북동	8,036	3,703	1,714	1,206	976	317	80	28	5	1	6
2019.07	성북구	삼선동	12,667	6,153	2,510	1,795	1,669	417	94	19	7	3	-
2019.07	성북구	동선동	9,052	5,691	1,473	967	689	171	45	10	4	1	1
2019.07	성북구	종암동	17,140	6,296	3,543	3,283	3,046	763	155	42	4	5	3
2019.07	성북구	석관동	15,987	6,309	3,706	3,007	2,264	535	119	35	9	2	1
2019.07	강북구	소계	143,617	58,811	33,383	25,224	19,748	4,993	1,103	225	84	20	26
2019.07	강북구	번1동	10,259	5,440	2,130	1,419	984	217	60	5	4	-	-
2019.07	강북구	번2동	7,615	2,670	2,073	1,521	1,014	250	70	11	3	1	2
2019.07	강북구	번3동	7,609	2,219	2,138	1,570	1,245	340	76	17	3	1	-
2019.07	강북구	수유1동	10,350	4,668	2,305	1,703	1,247	329	70	15	8	1	4
2019.07	강북구	수유2동	9,558	3,399	2,466	1,799	1,400	381	82	20	8	1	2
2019.07	강북구	수유3동	12,673	6,757	2,578	1,817	1,164	281	55	13	3	3	2
2019.07	강북구	삼양동	11,580	4,580	2,729	2,107	1,610	439	82	18	10	3	2
2019.07	강북구	미아동	11,368	5,645	2,449	1,646	1,233	307	67	12	6	2	1
2019.07	강북구	송중동	13,001	5,589	2,831	2,203	1,780	462	96	29	6	2	3
2019.07	강북구	송천동	13,723	6,163	3,182	2,224	1,654	402	73	14	8	1	2
2019.07	강북구	삼각산동	11,811	2,544	2,468	2,753	3,171	696	138	27	13	-	1
2019.07	강북구	우이동	9,476	3,546	2,423	1,742	1,282	361	94	14	5	4	5
2019.07	강북구	인수동	14,594	5,591	3,611	2,720	1,964	528	140	30	7	1	2
2019.07	도봉구	소계	138,565	44,395	33,136	28,710	24,656	5,882	1,314	334	92	33	13
2019.07	도봉구	쌍문1동	9,313	3,102	2,278	1,880	1,503	416	103	20	8	2	1
2019.07	도봉구	쌍문2동	8,636	2,976	2,195	1,718	1,327	310	87	17	3	-	3
2019.07	도봉구	쌍문3동	7,812	3,104	1,886	1,409	1,071	274	50	14	3	-	1
2019.07	도봉구	쌍문4동	7,162	1,494	1,590	1,716	1,866	405	71	14	3	3	-
2019.07	도봉구	방학1동	12,854	4,669	2,953	2,393	2,111	560	121	35	6	4	2
2019.07	도봉구	방학2동	9,525	3,721	2,309	1,779	1,290	320	82	20	3	1	-
2019.07	도봉구	방학3동	10,093	1,796	2,341	2,545	2,602	616	140	35	13	5	-
2019.07	도봉구	창1동	10,962	3,571	2,563	2,298	2,020	395	86	24	2	2	1
2019.07	도봉구	창2동	12,426	3,763	2,998	2,735	2,224	518	133	36	13	6	-
2019.07	도봉구	창3동	6,688	2,572	1,679	1,195	943	236	45	17	1	-	-
2019.07	도봉구	창4동	10,610	2,770	2,294	2,372	2,488	547	101	22	14	2	-
2019.07	도봉구	창5동	10,056	2,749	2,299	2,332	2,082	455	97	29	9	4	-
2019.07	도봉구	도봉1동	10,250	4,060	2,674	1,813	1,226	370	69	24	7	3	4
