기간	자치구	동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2020.04	합계	합계	4,361,645	1,786,560	932,946	767,285	673,273	155,747	33,854	8,340	2,353	737	550
2020.04	종로구	계	74,299	37,124	14,336	10,709	8,873	2,445	565	175	40	18	14
2020.04	종로구	사직동	4,675	2,331	915	681	536	157	31	18	2	2	2
2020.04	종로구	삼청동	1,369	722	251	183	141	46	20	4	1	-	1
2020.04	종로구	부암동	4,351	1,668	966	756	695	183	54	21	3	2	3
2020.04	종로구	평창동	7,511	2,408	1,747	1,481	1,348	404	73	32	12	4	2
2020.04	종로구	무악동	3,199	757	706	738	755	194	35	10	1	2	1
2020.04	종로구	교남동	4,591	1,657	1,087	912	740	154	27	9	4	1	-
2020.04	종로구	가회동	2,070	951	436	343	247	61	23	6	2	-	1
2020.04	종로구	종로1.2.3.4가동	5,219	4,136	524	284	199	55	14	5	2	-	-
2020.04	종로구	종로5·6가동	3,411	2,350	513	292	183	58	12	2	1	-	-
2020.04	종로구	이화동	4,439	2,695	794	475	340	103	23	8	-	1	-
2020.04	종로구	창신1동	2,951	1,752	585	310	210	74	17	3	-	-	-
2020.04	종로구	창신2동	4,133	1,952	920	622	457	139	33	8	1	1	-
2020.04	종로구	창신3동	2,896	926	679	635	463	159	28	3	3	-	-
2020.04	종로구	숭인1동	2,975	1,381	654	460	357	94	24	4	-	1	-
2020.04	종로구	숭인2동	5,826	3,863	925	512	401	96	23	4	2	-	-
2020.04	종로구	청운효자동	5,396	2,008	1,154	988	920	240	60	20	3	3	-
2020.04	종로구	혜화동	9,287	5,567	1,480	1,037	881	228	68	18	3	1	4
2020.04	중구	계	63,091	31,395	13,361	9,111	6,930	1,686	434	118	26	12	18
2020.04	중구	소공동	1,128	620	223	161	100	16	5	1	-	-	2
2020.04	중구	회현동	3,105	2,047	448	294	227	62	14	12	1	-	-
2020.04	중구	명동	1,568	1,091	215	141	83	23	6	5	1	-	3
2020.04	중구	필동	2,301	1,441	425	211	158	52	9	3	1	-	1
2020.04	중구	장충동	2,734	1,759	428	237	218	69	17	2	2	1	1
2020.04	중구	광희동	3,015	1,961	513	281	189	51	15	3	1	-	1
2020.04	중구	을지로동	1,362	1,086	161	63	37	10	5	-	-	-	-
2020.04	중구	신당5동	5,336	2,631	1,171	752	582	150	37	9	3	1	-
2020.04	중구	황학동	6,921	3,781	1,485	892	579	139	34	8	1	1	1
2020.04	중구	중림동	5,846	2,491	1,302	1,029	789	173	45	14	3	-	-
2020.04	중구	신당동	4,471	2,796	829	431	319	70	20	4	1	1	-
2020.04	중구	다산동	6,973	3,166	1,634	1,045	873	183	48	17	3	2	2
2020.04	중구	약수동	7,815	2,880	2,056	1,521	1,025	244	66	14	3	2	4
2020.04	중구	청구동	6,343	2,475	1,508	1,164	910	220	53	6	2	3	2
2020.04	중구	동화동	4,173	1,170	963	889	841	224	60	20	4	1	1
2020.04	용산구	계	111,037	52,906	22,888	17,108	13,489	3,494	828	207	67	29	21
2020.04	용산구	후암동	8,557	4,065	1,746	1,377	979	290	70	16	7	3	4
2020.04	용산구	용산2가동	5,420	2,811	1,197	758	484	137	23	7	3	-	-
2020.04	용산구	남영동	5,474	4,244	601	302	245	65	12	3	-	1	1
2020.04	용산구	원효로2동	5,999	2,123	1,284	1,197	1,044	257	67	15	7	3	2
2020.04	용산구	효창동	4,311	1,499	999	828	727	187	56	12	1	2	-
2020.04	용산구	용문동	5,416	1,996	1,303	1,022	827	209	42	10	3	3	1
2020.04	용산구	이촌1동	10,331	2,201	2,286	2,656	2,421	571	140	38	12	5	1
2020.04	용산구	이촌2동	3,841	1,295	1,068	788	506	133	35	9	6	1	-
2020.04	용산구	이태원1동	3,776	2,184	717	452	305	81	30	5	1	-	1
2020.04	용산구	이태원2동	4,910	2,630	1,025	667	429	110	41	5	1	2	-
2020.04	용산구	서빙고동	5,291	1,722	1,116	952	1,073	346	62	18	1	-	1
2020.04	용산구	보광동	7,680	4,111	1,678	1,002	677	167	35	8	1	1	-
2020.04	용산구	청파동	10,939	6,489	2,008	1,194	920	245	57	18	3	1	4
2020.04	용산구	원효로1동	7,902	3,761	1,668	1,264	938	223	35	5	4	2	2
2020.04	용산구	한강로동	9,909	5,621	1,861	1,213	933	196	60	15	8	1	1
2020.04	용산구	한남동	11,281	6,154	2,331	1,436	981	277	63	23	9	4	3
2020.04	성동구	계	135,563	55,760	29,906	24,569	19,597	4,362	1,003	264	67	21	14
2020.04	성동구	왕십리2동	7,608	2,917	1,733	1,420	1,170	272	76	14	3	2	1
2020.04	성동구	마장동	10,885	4,879	2,322	1,738	1,464	352	88	26	9	2	5
2020.04	성동구	사근동	7,538	5,353	987	567	471	124	26	10	-	-	-
2020.04	성동구	행당1동	6,853	2,880	1,445	1,271	985	201	48	15	6	1	1
2020.04	성동구	행당2동	9,460	2,386	2,392	2,201	1,949	403	97	23	5	1	3
2020.04	성동구	응봉동	6,158	1,623	1,414	1,453	1,289	301	60	12	5	-	1
2020.04	성동구	금호1가동	6,634	2,144	1,643	1,434	1,094	246	60	11	2	-	-
2020.04	성동구	금호4가동	6,441	2,185	1,598	1,446	955	199	37	18	3	-	-
2020.04	성동구	성수1가1동	7,570	3,106	1,685	1,288	1,184	238	53	8	6	2	-
2020.04	성동구	성수1가2동	6,654	3,027	1,401	1,104	869	200	42	8	2	1	-
2020.04	성동구	성수2가1동	8,497	4,135	1,829	1,284	973	217	46	8	4	1	-
2020.04	성동구	성수2가3동	5,712	2,968	1,081	773	662	168	46	13	-	1	-
2020.04	성동구	송정동	5,547	2,777	1,171	800	608	154	31	4	-	2	-
2020.04	성동구	용답동	6,817	4,078	1,216	751	593	128	37	11	-	1	2
2020.04	성동구	왕십리도선동	11,821	4,450	2,541	2,332	1,961	410	87	28	9	3	-
2020.04	성동구	금호2.3가동	10,335	3,631	2,590	2,107	1,567	329	79	21	8	2	1
2020.04	성동구	옥수동	11,033	3,221	2,858	2,600	1,803	420	90	34	5	2	-
2020.04	광진구	계	165,579	75,638	33,795	26,478	23,116	5,024	1,125	280	82	24	17
2020.04	광진구	화양동	16,454	13,034	1,957	748	575	98	29	11	-	1	1
2020.04	광진구	군자동	10,855	6,174	2,022	1,371	986	229	49	16	6	1	1
2020.04	광진구	중곡1동	8,113	4,049	1,832	1,175	820	180	38	11	5	2	1
2020.04	광진구	중곡2동	10,574	4,665	2,445	1,727	1,339	311	65	16	5	1	-
2020.04	광진구	중곡3동	8,521	4,119	1,921	1,284	908	239	40	8	1	1	-
2020.04	광진구	중곡4동	13,243	4,958	3,160	2,577	1,959	446	102	27	11	1	2
2020.04	광진구	능동	6,442	3,675	1,317	734	516	148	42	7	1	2	-
2020.04	광진구	구의1동	12,053	6,649	2,414	1,551	1,097	259	68	12	2	-	1
2020.04	광진구	구의2동	11,614	4,185	2,613	2,264	1,955	452	100	30	10	2	3
2020.04	광진구	구의3동	12,161	4,095	2,598	2,456	2,342	524	107	26	10	2	1
2020.04	광진구	광장동	12,061	2,228	1,967	3,009	3,944	700	164	34	10	3	2
2020.04	광진구	자양1동	11,579	5,801	2,441	1,658	1,307	295	57	14	3	2	1
2020.04	광진구	자양2동	11,228	4,033	2,575	2,175	1,889	420	100	28	4	2	2
2020.04	광진구	자양3동	11,080	2,929	2,497	2,434	2,567	493	119	25	12	3	1
2020.04	광진구	자양4동	9,601	5,044	2,036	1,315	912	230	45	15	2	1	1
2020.04	동대문구	계	165,516	77,161	33,824	26,158	21,511	5,256	1,206	302	67	21	10
2020.04	동대문구	회기동	6,065	3,934	904	580	471	139	27	5	4	1	-
2020.04	동대문구	휘경1동	7,230	3,903	1,307	961	793	201	46	15	1	2	1
2020.04	동대문구	휘경2동	11,663	5,603	2,133	1,813	1,611	390	86	22	4	-	1
2020.04	동대문구	청량리동	10,448	5,024	2,351	1,532	1,143	310	74	12	1	-	1
2020.04	동대문구	용신동	17,717	10,767	3,176	1,915	1,418	345	70	21	5	-	-
2020.04	동대문구	제기동	13,090	7,053	2,609	1,689	1,263	356	94	19	3	3	1
2020.04	동대문구	전농1동	15,099	7,401	3,019	2,374	1,750	434	87	21	8	1	4
2020.04	동대문구	전농2동	7,725	2,269	1,835	1,697	1,430	372	93	22	6	-	1
2020.04	동대문구	답십리2동	13,006	4,645	3,185	2,482	2,094	471	98	22	8	1	-
2020.04	동대문구	장안1동	17,851	7,613	3,900	3,085	2,479	604	130	33	4	3	-
2020.04	동대문구	장안2동	13,806	4,698	3,058	2,860	2,463	551	134	34	5	3	-
2020.04	동대문구	이문1동	10,471	6,372	1,720	1,103	966	225	64	13	4	3	1
2020.04	동대문구	이문2동	8,590	2,940	1,934	1,648	1,558	376	93	33	5	3	-
