기간	자치구	동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2020.04	동대문구	답십리1동	12,755	4,939	2,693	2,419	2,072	482	110	30	9	1	-
2020.04	중랑구	계	182,433	76,233	42,158	31,631	24,901	5,935	1,175	294	72	20	14
2020.04	중랑구	면목2동	12,280	5,621	2,772	1,912	1,528	359	70	12	6	-	-
2020.04	중랑구	면목4동	9,147	3,892	2,157	1,600	1,145	278	57	15	3	-	-
2020.04	중랑구	면목5동	4,477	1,889	1,074	780	577	127	22	7	1	-	-
2020.04	중랑구	면목7동	10,485	4,395	2,529	1,792	1,376	303	70	14	4	2	-
2020.04	중랑구	상봉1동	10,311	3,205	2,412	2,213	2,013	373	73	17	4	1	-
2020.04	중랑구	상봉2동	11,302	6,660	2,262	1,323	825	167	45	12	6	1	1
2020.04	중랑구	중화1동	9,073	3,298	2,265	1,762	1,352	319	47	20	7	2	1
2020.04	중랑구	중화2동	13,980	7,338	3,117	1,915	1,227	307	55	15	2	2	2
2020.04	중랑구	묵1동	14,740	4,836	3,371	3,038	2,664	630	144	44	9	2	2
2020.04	중랑구	묵2동	9,192	3,916	2,158	1,624	1,125	295	60	9	1	2	2
2020.04	중랑구	망우3동	8,454	3,755	2,022	1,419	978	222	48	5	2	3	-
2020.04	중랑구	신내1동	14,861	3,564	3,499	3,144	3,334	1,058	193	51	16	1	1
2020.04	중랑구	신내2동	9,045	2,867	2,285	1,955	1,541	316	61	11	6	1	2
2020.04	중랑구	면목본동	17,720	8,514	4,018	2,712	1,938	439	72	22	1	2	2
2020.04	중랑구	면목3.8동	12,622	5,676	2,965	2,091	1,479	319	71	20	1	-	-
2020.04	중랑구	망우본동	14,744	6,807	3,252	2,351	1,799	423	87	20	3	1	1
2020.04	성북구	계	194,095	76,334	41,503	35,506	31,255	7,342	1,583	406	94	32	40
2020.04	성북구	돈암1동	6,251	1,772	1,582	1,348	1,178	282	73	13	-	2	1
2020.04	성북구	돈암2동	8,667	1,667	1,856	2,198	2,254	531	110	30	15	1	5
2020.04	성북구	안암동	9,332	6,118	1,449	886	693	136	40	6	2	-	2
2020.04	성북구	보문동	7,938	3,806	1,610	1,280	981	216	34	7	1	1	2
2020.04	성북구	정릉1동	7,510	2,232	1,660	1,694	1,466	349	76	26	2	3	2
2020.04	성북구	정릉2동	9,684	3,072	2,351	2,006	1,710	408	100	29	4	2	2
2020.04	성북구	정릉3동	7,859	4,149	1,560	1,049	830	210	44	12	-	2	3
2020.04	성북구	정릉4동	10,985	3,732	2,618	2,210	1,829	456	95	29	11	3	2
2020.04	성북구	길음1동	12,814	2,556	2,434	3,215	3,692	728	144	32	7	2	4
2020.04	성북구	길음2동	7,073	2,389	1,508	1,477	1,332	294	57	14	2	-	-
2020.04	성북구	월곡1동	10,825	3,259	2,479	2,281	2,144	521	102	28	9	2	-
2020.04	성북구	월곡2동	9,438	4,280	1,928	1,491	1,307	329	77	12	8	2	4
2020.04	성북구	장위1동	9,048	3,489	2,149	1,659	1,320	331	71	24	3	1	1
2020.04	성북구	장위2동	6,450	2,638	1,600	1,144	792	216	45	11	3	1	-
2020.04	성북구	장위3동	7,373	2,423	1,599	1,565	1,425	285	60	14	1	1	-
2020.04	성북구	성북동	8,161	3,824	1,799	1,226	929	269	82	18	7	1	6
2020.04	성북구	삼선동	11,834	5,838	2,316	1,660	1,517	395	82	18	5	2	1
2020.04	성북구	동선동	9,205	5,908	1,476	926	669	169	40	12	3	1	1
2020.04	성북구	종암동	17,185	6,500	3,606	3,174	2,990	720	144	42	2	4	3
2020.04	성북구	석관동	16,463	6,682	3,923	3,017	2,197	497	107	29	9	1	1
2020.04	강북구	계	145,049	60,687	34,364	25,028	18,986	4,638	1,020	214	74	19	19
2020.04	강북구	번1동	10,342	5,557	2,188	1,421	907	207	51	7	4	-	-
2020.04	강북구	번2동	7,677	2,849	2,112	1,465	935	241	60	11	2	-	2
2020.04	강북구	번3동	7,610	2,357	2,174	1,522	1,177	286	79	11	3	1	-
2020.04	강북구	수유1동	10,395	4,762	2,390	1,651	1,193	305	68	15	7	1	3
2020.04	강북구	수유2동	9,654	3,541	2,546	1,789	1,308	369	77	18	3	2	1
2020.04	강북구	수유3동	12,844	7,022	2,610	1,785	1,107	251	45	18	3	2	1
2020.04	강북구	삼양동	11,437	4,603	2,747	2,022	1,556	395	83	17	8	4	2
2020.04	강북구	미아동	11,504	5,886	2,455	1,657	1,150	284	55	8	7	1	1
2020.04	강북구	송중동	14,000	5,875	3,196	2,435	1,899	458	102	23	7	2	3
2020.04	강북구	송천동	13,739	6,332	3,253	2,107	1,601	362	67	14	2	1	-
2020.04	강북구	삼각산동	11,754	2,585	2,506	2,776	3,064	649	128	30	15	1	-
2020.04	강북구	우이동	9,518	3,634	2,475	1,709	1,254	341	77	15	6	3	4
2020.04	강북구	인수동	14,575	5,684	3,712	2,689	1,835	490	128	27	7	1	2
2020.04	도봉구	계	138,724	45,683	34,061	28,328	23,569	5,491	1,170	288	93	32	9
2020.04	도봉구	쌍문1동	9,377	3,187	2,352	1,896	1,437	390	87	20	6	1	1
2020.04	도봉구	쌍문2동	8,644	3,086	2,230	1,706	1,234	295	71	15	4	-	3
2020.04	도봉구	쌍문3동	7,888	3,219	1,934	1,403	1,027	245	45	12	3	-	-
2020.04	도봉구	쌍문4동	7,170	1,555	1,624	1,714	1,825	370	64	16	2	-	-
2020.04	도봉구	방학1동	12,773	4,722	3,000	2,363	2,003	528	113	35	4	3	2
2020.04	도봉구	방학2동	9,565	3,832	2,382	1,747	1,195	313	79	14	2	1	-
2020.04	도봉구	방학3동	10,066	1,820	2,466	2,508	2,515	580	134	26	13	4	-
2020.04	도봉구	창1동	10,948	3,663	2,655	2,259	1,899	371	76	18	5	1	1
2020.04	도봉구	창2동	12,402	3,816	3,148	2,660	2,119	503	106	31	12	7	-
2020.04	도봉구	창3동	6,650	2,638	1,663	1,182	887	225	40	13	2	-	-
2020.04	도봉구	창4동	10,617	2,872	2,384	2,348	2,378	505	97	17	13	3	-
2020.04	도봉구	창5동	10,138	2,896	2,400	2,267	2,040	409	87	24	10	5	-
2020.04	도봉구	도봉1동	10,335	4,285	2,687	1,774	1,184	310	59	22	7	5	2
2020.04	도봉구	도봉2동	12,151	4,092	3,136	2,501	1,826	447	112	25	10	2	-
2020.04	노원구	계	217,302	70,066	49,357	44,412	42,375	8,886	1,666	374	111	34	21
2020.04	노원구	월계1동	10,541	4,494	2,233	1,761	1,576	402	59	14	2	-	-
2020.04	노원구	월계2동	12,016	4,087	3,147	2,371	1,866	425	99	14	4	2	1
2020.04	노원구	월계3동	12,986	3,907	3,537	2,823	2,112	467	106	23	8	2	1
2020.04	노원구	공릉2동	16,320	5,606	3,143	3,288	3,391	706	133	31	15	6	1
2020.04	노원구	하계1동	11,792	4,318	2,407	2,160	2,301	477	89	25	8	2	5
2020.04	노원구	하계2동	8,255	1,697	1,774	1,990	2,269	432	71	16	4	2	-
2020.04	노원구	중계본동	8,827	1,993	1,417	1,918	2,699	656	108	26	7	2	1
2020.04	노원구	중계1동	9,083	1,425	1,352	2,354	3,316	547	64	18	7	-	-
2020.04	노원구	중계4동	8,436	2,574	1,978	1,667	1,737	377	79	17	4	2	1
2020.04	노원구	상계1동	15,582	4,432	3,705	3,333	3,127	778	161	31	11	-	4
2020.04	노원구	상계2동	8,746	3,213	1,742	1,623	1,696	353	94	18	5	2	-
2020.04	노원구	상계5동	10,899	3,944	2,647	2,129	1,674	401	76	20	6	1	1
2020.04	노원구	상계8동	9,253	2,371	2,294	2,277	1,922	329	47	10	2	-	1
2020.04	노원구	상계9동	8,432	2,071	2,176	2,044	1,758	317	50	12	1	3	-
2020.04	노원구	상계10동	6,579	1,757	1,747	1,493	1,334	188	42	12	3	3	-
2020.04	노원구	상계3.4동	12,154	4,644	2,985	2,174	1,758	455	102	24	10	2	-
2020.04	노원구	상계6.7동	13,935	4,262	3,318	3,014	2,729	507	74	22	6	-	3
2020.04	노원구	중계2.3동	15,373	4,974	4,078	3,053	2,635	528	83	17	2	2	1
2020.04	노원구	공릉1동	18,093	8,297	3,677	2,940	2,475	541	129	24	6	3	1
2020.04	은평구	계	208,771	78,438	48,854	39,134	31,988	7,910	1,846	418	117	33	33
2020.04	은평구	녹번동	17,244	6,764	4,218	3,214	2,339	551	115	29	9	2	3
2020.04	은평구	불광1동	17,943	6,725	4,412	3,477	2,582	572	128	34	10	3	-
2020.04	은평구	갈현1동	11,223	4,745	2,674	1,952	1,417	342	69	16	5	1	2
2020.04	은평구	갈현2동	12,631	4,358	3,089	2,573	1,998	460	116	25	7	3	2
2020.04	은평구	구산동	13,262	4,237	3,191	2,756	2,303	605	115	36	12	-	7
2020.04	은평구	대조동	13,961	6,977	3,049	2,056	1,426	327	100	17	6	2	1
2020.04	은평구	응암1동	11,499	4,917	2,550	1,929	1,608	372	93	15	3	5	7
2020.04	은평구	응암2동	10,554	2,940	2,530	2,456	2,026	462	98	25	12	2	3
2020.04	은평구	신사1동	11,766	3,843	2,927	2,437	1,959	458	109	25	4	4	-
2020.04	은평구	신사2동	9,156	3,213	2,199	1,776	1,491	359	94	20	3	-	1
2020.04	은평구	증산동	6,885	2,500	1,734	1,234	1,073	270	54	16	4	-	-
2020.04	은평구	수색동	3,776	1,369	901	731	576	153	41	5	-	-	-
2020.04	은평구	진관동	21,602	6,222	4,180	4,236	5,021	1,485	369	65	16	4	4
2020.04	은평구	불광2동	13,857	6,069	3,315	2,332	1,614	411	87	19	7	3	-
2020.04	은평구	응암3동	12,694	5,988	2,928	1,940	1,409	309	86	22	8	1	3
2020.04	은평구	역촌동	20,718	7,571	4,957	4,035	3,146	774	172	49	11	3	-
2020.04	서대문구	계	142,559	60,329	30,372	24,589	20,839	4,919	1,139	259	73	26	14
2020.04	서대문구	천연동	8,161	3,301	1,760	1,503	1,251	273	51	13	5	2	2
2020.04	서대문구	홍제1동	10,358	3,532	2,480	2,061	1,737	426	87	23	8	3	1
2020.04	서대문구	홍제3동	7,100	2,691	1,687	1,332	1,056	264	55	10	5	-	-
2020.04	서대문구	홍제2동	5,852	1,776	1,412	1,269	1,082	253	42	13	3	1	1
2020.04	서대문구	홍은1동	9,571	3,187	2,265	1,875	1,691	415	106	26	5	-	1
2020.04	서대문구	홍은2동	12,221	4,849	2,820	2,176	1,797	413	125	29	9	3	-
2020.04	서대문구	남가좌1동	5,957	1,410	1,199	1,486	1,457	317	68	17	2	1	-
2020.04	서대문구	남가좌2동	12,895	4,906	2,803	2,463	2,138	448	106	26	3	2	-
2020.04	서대문구	북가좌1동	6,993	1,616	1,682	1,624	1,592	369	89	13	5	2	1
2020.04	서대문구	북가좌2동	14,730	5,620	3,551	2,706	2,157	544	116	29	5	-	2
2020.04	서대문구	충현동	9,074	4,731	1,760	1,223	1,021	252	68	14	3	1	1
2020.04	서대문구	북아현동	7,535	2,868	1,683	1,509	1,182	236	39	11	3	4	-
2020.04	서대문구	신촌동	12,687	9,575	1,508	805	581	150	44	12	5	2	5
2020.04	서대문구	연희동	19,425	10,267	3,762	2,557	2,097	559	143	23	12	5	-
2020.04	마포구	계	176,385	79,798	36,448	28,632	24,453	5,483	1,138	283	96	29	25
2020.04	마포구	용강동	9,189	3,229	1,960	1,896	1,638	355	81	21	7	2	-
2020.04	마포구	대흥동	8,017	5,056	1,303	807	681	136	24	6	1	1	2
2020.04	마포구	염리동	5,657	2,428	1,200	968	835	177	36	9	2	-	2
2020.04	마포구	신수동	10,189	3,901	2,183	1,953	1,699	352	71	22	7	1	-
2020.04	마포구	서교동	14,186	8,950	2,407	1,448	1,050	252	55	16	3	4	1
2020.04	마포구	합정동	9,645	5,120	2,090	1,270	889	205	47	11	6	-	7
2020.04	마포구	망원1동	10,616	5,093	2,451	1,483	1,226	282	62	14	3	-	2
2020.04	마포구	망원2동	8,445	3,205	2,019	1,454	1,395	294	58	13	6	-	1
2020.04	마포구	연남동	8,699	4,997	1,686	1,037	715	212	33	12	4	2	1
2020.04	마포구	성산1동	9,439	4,318	2,074	1,484	1,157	304	68	20	8	5	1
2020.04	마포구	성산2동	18,983	8,250	3,989	3,174	2,777	626	126	25	13	1	2
2020.04	마포구	상암동	12,794	4,316	2,540	2,415	2,625	707	143	30	11	5	2
2020.04	마포구	도화동	9,583	3,623	2,054	1,800	1,615	379	85	18	5	2	2
2020.04	마포구	서강동	11,634	5,230	2,211	1,964	1,768	374	60	18	6	2	1
2020.04	마포구	공덕동	19,119	8,881	4,008	3,074	2,493	504	122	26	9	2	-
2020.04	마포구	아현동	10,190	3,201	2,273	2,405	1,890	324	67	22	5	2	1
2020.04	양천구	계	178,257	51,436	38,560	38,397	39,135	8,469	1,690	385	124	34	27
2020.04	양천구	목1동	10,518	1,556	1,790	2,961	3,394	643	124	38	8	3	1
2020.04	양천구	목2동	13,191	4,747	2,947	2,541	2,269	525	115	31	10	3	3
2020.04	양천구	목3동	9,995	3,673	2,421	1,950	1,520	318	80	24	6	2	1
2020.04	양천구	목4동	10,123	3,000	1,917	2,098	2,437	531	105	21	13	-	1
2020.04	양천구	신월1동	10,104	4,383	2,401	1,743	1,203	295	66	9	3	1	-
2020.04	양천구	신월2동	8,522	2,414	2,062	1,866	1,598	446	95	30	5	3	3
2020.04	양천구	신월3동	8,137	3,966	1,809	1,200	845	250	55	8	1	-	3
2020.04	양천구	신월4동	6,897	1,532	1,632	1,655	1,562	394	101	17	3	1	-
2020.04	양천구	신월5동	6,404	2,170	1,524	1,290	1,065	263	72	15	1	3	1
2020.04	양천구	신월6동	3,432	821	817	795	770	185	34	10	-	-	-
2020.04	양천구	신월7동	9,257	3,091	2,616	1,836	1,344	279	66	17	6	1	1
2020.04	양천구	신정1동	7,216	1,395	1,257	1,690	2,313	466	72	12	8	-	3
2020.04	양천구	신정2동	7,136	1,557	1,297	1,551	2,187	463	65	10	3	2	1
2020.04	양천구	신정3동	17,948	4,561	4,221	3,858	4,005	1,059	185	40	13	4	2
2020.04	양천구	신정6동	8,197	1,033	1,498	2,258	2,772	507	103	15	7	2	2
2020.04	양천구	신정7동	11,591	2,985	2,611	2,621	2,745	505	90	23	10	1	-
2020.04	양천구	목5동	13,577	1,676	2,100	3,731	5,028	827	145	41	20	7	2
2020.04	양천구	신정4동	16,012	6,876	3,640	2,753	2,078	513	117	24	7	1	3
2020.04	강서구	계	264,111	105,998	59,297	47,095	39,854	9,283	1,916	493	116	40	19
2020.04	강서구	염창동	15,766	3,906	3,163	3,818	3,975	745	117	35	6	1	-
2020.04	강서구	등촌1동	12,290	6,630	2,335	1,628	1,342	271	58	21	2	3	-
2020.04	강서구	등촌2동	8,738	2,731	2,051	1,837	1,599	387	98	24	9	2	-
2020.04	강서구	등촌3동	14,912	5,911	3,933	2,611	1,974	379	80	19	3	2	-
2020.04	강서구	화곡본동	16,598	7,196	3,827	2,779	2,132	529	91	29	10	4	1
2020.04	강서구	화곡2동	8,205	2,901	2,073	1,638	1,170	342	56	15	8	2	-
2020.04	강서구	화곡3동	9,467	3,349	2,181	1,850	1,578	380	105	17	3	2	2
2020.04	강서구	화곡4동	9,665	3,618	2,468	1,865	1,312	308	69	20	5	-	-
2020.04	강서구	화곡6동	11,955	5,517	2,509	1,902	1,564	350	86	16	4	3	4
2020.04	강서구	화곡8동	11,710	4,457	3,102	2,115	1,571	364	73	26	1	1	-
2020.04	강서구	가양1동	19,305	12,271	2,627	2,105	1,770	426	82	20	2	1	1
2020.04	강서구	가양2동	8,076	4,090	2,160	1,074	567	128	39	12	4	1	1
2020.04	강서구	가양3동	7,918	3,266	2,417	1,374	656	165	31	8	1	-	-
2020.04	강서구	발산1동	13,619	2,837	3,020	3,082	3,578	904	149	34	9	4	2
2020.04	강서구	공항동	12,754	5,661	2,694	2,102	1,748	439	85	22	2	1	-
2020.04	강서구	방화1동	17,496	4,976	3,930	3,631	3,717	989	194	49	6	3	1
2020.04	강서구	방화2동	11,581	5,540	2,589	1,707	1,287	343	84	24	5	-	2
2020.04	강서구	방화3동	11,316	4,692	2,859	1,966	1,349	336	92	12	9	1	-
2020.04	강서구	화곡1동	26,639	12,617	6,166	4,312	2,685	648	146	47	11	4	3
2020.04	강서구	우장산동	16,101	3,832	3,193	3,699	4,280	850	181	43	16	5	2
2020.04	구로구	계	177,432	67,254	40,800	32,688	27,985	6,760	1,470	328	103	29	15
2020.04	구로구	신도림동	13,376	3,007	2,935	3,283	3,286	662	148	38	10	6	1
2020.04	구로구	구로1동	8,258	2,195	1,886	1,839	1,879	373	61	16	7	2	-
2020.04	구로구	구로3동	13,170	7,655	2,253	1,610	1,262	299	62	20	7	2	-
2020.04	구로구	구로4동	10,573	5,134	2,505	1,577	1,059	225	55	9	7	1	1
2020.04	구로구	구로5동	14,554	7,049	2,958	2,186	1,796	421	108	27	7	1	1
2020.04	구로구	고척1동	9,573	3,013	2,222	1,906	1,906	412	92	15	5	2	-
2020.04	구로구	고척2동	11,595	3,786	2,761	2,332	2,098	479	117	18	4	-	-
2020.04	구로구	개봉2동	12,528	3,185	3,258	2,914	2,409	576	141	32	9	2	2
2020.04	구로구	개봉3동	8,867	2,649	2,391	1,906	1,487	343	70	10	8	3	-
2020.04	구로구	오류1동	11,498	5,770	2,467	1,639	1,221	312	62	14	10	1	2
2020.04	구로구	수궁동	9,887	2,906	2,603	2,108	1,664	474	111	16	5	-	-
2020.04	구로구	가리봉동	5,888	4,011	988	487	295	84	16	5	1	-	1
2020.04	구로구	구로2동	12,636	6,163	2,958	1,835	1,229	337	80	24	6	3	1
2020.04	구로구	개봉1동	13,863	4,899	3,453	2,624	2,166	554	129	30	4	2	2
2020.04	구로구	오류2동	15,561	4,424	3,926	3,047	2,994	934	172	47	10	3	4
2020.04	구로구	항동	5,605	1,408	1,236	1,395	1,234	275	46	7	3	1	-
2020.04	금천구	계	111,787	51,436	24,443	17,527	13,964	3,391	773	167	53	18	15
2020.04	금천구	가산동	14,267	10,345	1,889	1,109	707	158	50	5	3	1	-
2020.04	금천구	독산1동	20,813	10,274	4,073	3,073	2,600	606	137	34	8	4	4
2020.04	금천구	독산2동	9,256	4,069	2,220	1,539	1,103	260	50	11	3	-	1
2020.04	금천구	독산3동	12,445	5,921	2,833	1,878	1,407	321	67	10	4	4	-
2020.04	금천구	독산4동	7,632	3,433	1,802	1,205	883	243	52	10	2	1	1
2020.04	금천구	시흥1동	15,835	6,765	3,646	2,650	2,139	499	91	33	8	2	2
2020.04	금천구	시흥2동	8,364	2,078	2,030	1,831	1,805	447	137	21	8	2	5
2020.04	금천구	시흥3동	4,724	1,466	1,306	932	759	214	38	5	4	-	-
2020.04	금천구	시흥4동	9,101	3,192	2,275	1,761	1,414	346	75	23	11	3	1
2020.04	금천구	시흥5동	9,350	3,893	2,369	1,549	1,147	297	76	15	2	1	1
2020.04	영등포구	계	178,323	83,314	36,121	28,332	23,640	5,337	1,150	300	81	21	27
