기간	자치구	행정동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2018.01	합계	합계	4,224,387	1,614,420	870,433	776,034	733,217	176,204	39,788	10,023	2,745	879	644
2018.01	종로구	소계	73,562	35,503	13,645	10,933	9,812	2,708	665	205	58	20	13
2018.01	종로구	사직동	4,425	2,074	860	670	596	157	34	22	8	-	4
2018.01	종로구	삼청동	1,416	726	247	203	159	57	16	7	1	-	-
2018.01	종로구	부암동	4,327	1,625	905	748	746	210	58	26	4	3	2
2018.01	종로구	평창동	7,476	2,370	1,595	1,469	1,472	419	108	25	10	6	2
2018.01	종로구	무악동	3,022	713	635	681	758	190	32	9	2	1	1
2018.01	종로구	교남동	4,425	1,586	1,043	823	764	158	33	13	5	-	-
2018.01	종로구	가회동	2,085	933	441	315	278	84	24	7	2	1	-
2018.01	종로구	종로1.2.3.4가동	5,366	4,208	540	305	233	53	17	7	3	-	-
2018.01	종로구	종로5·6가동	3,159	2,049	467	319	238	68	13	2	2	1	-
2018.01	종로구	이화동	4,484	2,601	771	536	425	115	24	10	-	2	-
2018.01	종로구	창신1동	3,045	1,773	550	364	255	82	17	4	-	-	-
2018.01	종로구	창신2동	4,279	1,970	843	664	570	177	44	8	2	1	-
2018.01	종로구	창신3동	2,866	815	669	640	513	180	36	9	4	-	-
2018.01	종로구	숭인1동	3,005	1,299	652	496	391	124	33	8	1	1	-
2018.01	종로구	숭인2동	5,617	3,552	908	564	452	103	26	6	3	3	-
2018.01	종로구	청운효자동	5,442	1,938	1,108	1,027	999	264	78	21	6	1	-
2018.01	종로구	혜화동	9,123	5,271	1,411	1,109	963	267	72	21	5	-	4
2018.01	중구	소계	60,520	28,887	12,298	9,246	7,501	1,904	501	122	32	12	17
2018.01	중구	소공동	1,058	580	192	158	100	19	6	1	-	-	2
2018.01	중구	회현동	3,272	2,239	439	288	231	53	14	6	1	-	1
2018.01	중구	명동	1,428	929	219	137	101	29	6	2	2	-	3
2018.01	중구	필동	2,253	1,363	381	245	187	56	12	6	2	-	1
2018.01	중구	장충동	2,603	1,555	448	269	225	80	19	3	1	-	3
2018.01	중구	광희동	2,912	1,835	482	287	231	52	20	4	1	-	-
2018.01	중구	을지로동	1,169	917	126	72	36	14	2	2	-	-	-
2018.01	중구	신당5동	4,455	2,028	909	717	605	147	35	9	3	2	-
2018.01	중구	황학동	6,210	3,189	1,266	879	657	162	48	5	3	1	-
2018.01	중구	중림동	5,377	2,363	1,136	917	741	154	49	13	3	1	-
2018.01	중구	신당동	4,404	2,599	772	539	360	96	31	6	-	1	-
2018.01	중구	다산동	6,880	2,948	1,592	1,102	925	230	58	17	3	2	3
2018.01	중구	약수동	7,825	2,729	1,982	1,551	1,171	293	78	13	4	1	3
2018.01	중구	청구동	6,458	2,434	1,493	1,195	984	275	57	12	5	2	1
2018.01	중구	동화동	4,216	1,179	861	890	947	244	66	23	4	2	-
2018.01	용산구	소계	107,979	49,725	21,850	16,918	14,458	3,741	917	235	80	28	27
2018.01	용산구	후암동	8,507	3,889	1,679	1,368	1,163	309	71	15	6	3	4
2018.01	용산구	용산2가동	5,555	2,764	1,203	801	589	155	32	9	2	-	-
2018.01	용산구	남영동	5,468	4,159	624	333	250	73	20	5	1	2	1
2018.01	용산구	원효로2동	6,021	1,955	1,291	1,193	1,160	306	73	22	14	4	3
2018.01	용산구	효창동	3,889	1,356	869	697	685	204	56	17	2	1	2
2018.01	용산구	용문동	5,255	1,786	1,208	1,034	917	233	56	14	4	1	2
2018.01	용산구	이촌1동	10,029	2,187	2,146	2,513	2,438	551	137	36	15	3	3
2018.01	용산구	이촌2동	3,865	1,267	1,000	791	589	158	44	10	5	-	1
2018.01	용산구	이태원1동	3,902	2,261	703	472	320	112	27	6	1	-	-
2018.01	용산구	이태원2동	4,934	2,606	1,003	662	492	122	39	6	2	1	1
2018.01	용산구	서빙고동	5,310	1,684	1,073	963	1,169	327	68	21	4	-	1
2018.01	용산구	보광동	7,837	3,966	1,689	1,087	822	210	47	13	3	-	-
2018.01	용산구	청파동	10,552	5,849	1,941	1,279	1,088	284	83	17	8	-	3
2018.01	용산구	원효로1동	6,931	3,075	1,489	1,176	915	214	41	10	6	5	-
2018.01	용산구	한강로동	9,025	5,057	1,656	1,175	856	211	50	14	2	2	2
2018.01	용산구	한남동	10,899	5,864	2,276	1,374	1,005	272	73	20	5	6	4
2018.01	성동구	소계	133,233	52,067	28,144	24,608	21,728	4,974	1,240	332	95	27	18
2018.01	성동구	왕십리2동	7,629	2,892	1,598	1,456	1,274	284	99	16	4	2	4
2018.01	성동구	마장동	10,292	4,146	2,128	1,793	1,660	410	111	24	12	6	2
2018.01	성동구	사근동	6,575	4,341	894	605	546	140	32	12	3	2	-
2018.01	성동구	행당1동	6,250	2,626	1,256	1,100	954	231	58	18	5	1	1
2018.01	성동구	행당2동	9,452	2,237	2,181	2,252	2,176	445	107	40	10	2	2
2018.01	성동구	응봉동	6,241	1,627	1,352	1,403	1,412	342	72	20	11	1	1
2018.01	성동구	금호1가동	5,349	1,688	1,236	1,113	1,002	227	63	17	2	1	-
2018.01	성동구	금호4가동	6,053	2,041	1,410	1,342	964	226	54	11	4	1	-
2018.01	성동구	성수1가1동	7,586	2,966	1,588	1,325	1,349	279	60	15	2	1	1
2018.01	성동구	성수1가2동	7,374	3,239	1,530	1,233	1,060	239	57	9	5	-	2
2018.01	성동구	성수2가1동	8,655	4,052	1,729	1,373	1,161	254	65	18	3	-	-
2018.01	성동구	성수2가3동	5,620	2,735	1,064	810	745	191	57	13	4	1	-
2018.01	성동구	송정동	5,483	2,587	1,122	811	725	180	40	13	1	4	-
2018.01	성동구	용답동	8,135	4,403	1,487	1,070	906	200	56	11	1	-	1
2018.01	성동구	왕십리도선동	11,375	3,993	2,425	2,271	2,073	474	103	31	4	-	1
2018.01	성동구	금호2.3가동	10,244	3,411	2,411	2,136	1,726	421	92	31	13	2	1
2018.01	성동구	옥수동	10,920	3,083	2,733	2,515	1,995	431	114	33	11	3	2
2018.01	광진구	소계	161,143	68,504	31,946	27,474	25,665	5,721	1,350	342	94	26	21
