기간	자치구	행정동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2019.04	합계	합계	4,296,066	1,712,532	902,137	768,939	696,941	165,464	36,880	9,188	2,560	823	602
2019.04	종로구	소계	73,861	36,306	13,985	10,907	9,188	2,586	611	184	53	26	15
2019.04	종로구	사직동	4,546	2,205	884	687	539	163	29	27	7	2	3
2019.04	종로구	삼청동	1,398	743	246	182	148	55	17	6	1	-	-
2019.04	종로구	부암동	4,295	1,628	946	748	698	192	56	16	6	2	3
2019.04	종로구	평창동	7,523	2,418	1,663	1,493	1,404	420	84	24	8	8	1
2019.04	종로구	무악동	3,134	720	681	713	789	181	35	7	4	1	3
2019.04	종로구	교남동	4,570	1,588	1,130	894	750	156	30	14	6	2	-
2019.04	종로구	가회동	2,048	913	435	347	250	71	23	7	1	-	1
2019.04	종로구	종로1.2.3.4가동	5,280	4,180	518	297	209	56	12	6	2	-	-
2019.04	종로구	종로5·6가동	3,194	2,122	491	300	200	61	14	3	1	2	-
2019.04	종로구	이화동	4,494	2,693	781	512	369	106	23	8	1	1	-
2019.04	종로구	창신1동	2,963	1,727	570	340	217	86	18	5	-	-	-
2019.04	종로구	창신2동	4,148	1,923	874	650	496	158	36	8	2	1	-
2019.04	종로구	창신3동	2,896	879	674	637	484	182	34	1	4	1	-
2019.04	종로구	숭인1동	2,988	1,353	645	480	366	103	31	8	2	-	-
2019.04	종로구	숭인2동	5,758	3,741	920	557	404	102	25	7	2	-	-
2019.04	종로구	청운효자동	5,383	1,954	1,117	1,003	967	241	76	19	2	4	-
2019.04	종로구	혜화동	9,243	5,519	1,410	1,067	898	253	68	18	4	2	4
2019.04	중구	소계	61,879	30,210	12,847	9,235	7,185	1,762	456	118	32	15	19
2019.04	중구	소공동	1,110	631	194	156	103	18	6	-	-	-	2
2019.04	중구	회현동	3,252	2,203	444	293	221	68	12	9	2	-	-
2019.04	중구	명동	1,404	937	205	138	88	23	7	2	1	-	3
2019.04	중구	필동	2,318	1,430	414	232	173	52	10	5	1	-	1
2019.04	중구	장충동	2,683	1,652	465	246	226	70	18	2	1	1	2
2019.04	중구	광희동	2,925	1,849	520	280	197	50	23	4	1	-	1
2019.04	중구	을지로동	1,307	1,039	147	68	38	10	3	2	-	-	-
2019.04	중구	신당5동	4,532	2,149	923	717	554	132	40	12	4	1	-
2019.04	중구	황학동	6,674	3,573	1,399	893	608	153	38	7	1	1	1
2019.04	중구	중림동	5,848	2,456	1,257	1,075	829	164	48	14	5	-	-
2019.04	중구	신당동	4,446	2,736	809	456	340	73	23	5	2	2	-
2019.04	중구	다산동	6,952	3,110	1,607	1,080	888	200	46	12	4	2	3
2019.04	중구	약수동	7,789	2,802	2,005	1,553	1,066	277	62	17	3	1	3
2019.04	중구	청구동	6,444	2,479	1,525	1,173	963	235	50	8	3	6	2
2019.04	중구	동화동	4,195	1,164	933	875	891	237	70	19	4	1	1
2019.04	용산구	소계	109,378	51,264	22,500	16,904	13,861	3,610	901	217	67	30	24
2019.04	용산구	후암동	8,563	3,992	1,715	1,396	1,060	299	73	14	4	6	4
2019.04	용산구	용산2가동	5,499	2,788	1,228	778	528	137	30	9	1	-	-
2019.04	용산구	남영동	5,426	4,175	580	320	261	67	15	4	1	1	2
2019.04	용산구	원효로2동	6,033	2,034	1,309	1,194	1,102	284	74	21	9	2	4
2019.04	용산구	효창동	3,751	1,326	863	678	636	181	48	14	2	2	1
2019.04	용산구	용문동	5,374	1,900	1,285	1,031	867	225	48	11	4	2	1
2019.04	용산구	이촌1동	10,264	2,240	2,227	2,589	2,440	568	151	32	12	5	-
2019.04	용산구	이촌2동	3,864	1,294	1,046	772	564	142	29	9	8	-	-
2019.04	용산구	이태원1동	3,810	2,178	730	444	326	93	32	7	-	-	-
2019.04	용산구	이태원2동	4,923	2,616	1,008	669	452	125	42	7	3	1	-
2019.04	용산구	서빙고동	5,313	1,708	1,110	950	1,109	346	71	18	-	-	1
2019.04	용산구	보광동	7,728	4,026	1,675	1,036	750	189	38	10	4	-	-
2019.04	용산구	청파동	10,651	6,093	1,968	1,227	997	269	69	18	6	1	3
2019.04	용산구	원효로1동	7,564	3,490	1,643	1,200	944	221	50	6	4	4	2
2019.04	용산구	한강로동	9,567	5,329	1,830	1,226	901	200	59	16	3	2	1
2019.04	용산구	한남동	11,048	6,075	2,283	1,394	924	264	72	21	6	4	5
2019.04	성동구	소계	137,053	55,522	29,628	24,921	20,809	4,652	1,115	284	87	19	16
2019.04	성동구	왕십리2동	7,668	2,920	1,669	1,471	1,209	280	95	14	4	3	3
2019.04	성동구	마장동	10,806	4,696	2,300	1,759	1,550	371	86	28	9	4	3
2019.04	성동구	사근동	7,419	5,230	938	576	502	132	26	12	2	1	-
2019.04	성동구	행당1동	7,364	3,061	1,539	1,359	1,091	244	46	16	7	-	1
2019.04	성동구	행당2동	9,503	2,361	2,336	2,189	2,073	403	103	26	9	1	2
2019.04	성동구	응봉동	6,161	1,601	1,379	1,419	1,356	317	66	16	5	1	1
2019.04	성동구	금호1가동	6,630	2,074	1,644	1,424	1,161	251	59	15	2	-	-
2019.04	성동구	금호4가동	6,500	2,158	1,613	1,453	993	222	46	8	6	-	1
2019.04	성동구	성수1가1동	7,645	3,076	1,650	1,335	1,243	266	56	12	5	1	1
2019.04	성동구	성수1가2동	7,097	3,201	1,476	1,153	983	222	44	12	4	1	1
2019.04	성동구	성수2가1동	8,595	4,156	1,765	1,309	1,063	231	55	12	4	-	-
2019.04	성동구	성수2가3동	5,708	2,915	1,041	823	689	172	52	13	1	2	-
2019.04	성동구	송정동	5,579	2,758	1,156	814	642	165	35	7	1	1	-
2019.04	성동구	용답동	7,326	4,231	1,315	840	729	154	43	12	-	1	1
2019.04	성동구	왕십리도선동	11,760	4,382	2,468	2,321	2,027	420	107	27	8	-	-
2019.04	성동구	금호2.3가동	10,338	3,550	2,544	2,130	1,619	369	88	24	12	1	1
