기간	자치구	행정동	전체세대수	1인세대	2인세대	3인세대	4인세대	5인세대	6인세대	7인세대	8인세대	9인세대	10인세대 이상
2018.10	합계	합계	4,258,518	1,668,524	887,826	770,474	710,472	169,552	37,973	9,544	2,720	818	615
2018.10	종로구	소계	73,712	35,934	13,893	10,859	9,496	2,620	628	190	58	21	13
2018.10	종로구	사직동	4,520	2,158	868	700	567	162	33	20	8	1	3
2018.10	종로구	삼청동	1,413	744	252	190	148	57	15	5	1	1	-
2018.10	종로구	부암동	4,322	1,627	955	729	732	191	54	23	6	3	2
2018.10	종로구	평창동	7,588	2,468	1,636	1,467	1,451	427	96	25	9	7	2
2018.10	종로구	무악동	2,998	703	656	668	752	173	36	5	3	1	1
2018.10	종로구	교남동	4,552	1,582	1,116	862	779	153	38	16	5	1	-
2018.10	종로구	가회동	2,057	914	438	331	267	75	20	8	3	-	1
2018.10	종로구	종로1.2.3.4가동	5,292	4,150	543	305	218	53	15	5	3	-	-
2018.10	종로구	종로5·6가동	3,159	2,072	482	316	204	68	10	4	1	2	-
2018.10	종로구	이화동	4,497	2,654	781	527	387	119	17	11	-	1	-
2018.10	종로구	창신1동	3,005	1,757	567	344	239	77	18	3	-	-	-
2018.10	종로구	창신2동	4,173	1,932	844	660	528	158	40	8	2	1	-
2018.10	종로구	창신3동	2,878	858	673	621	496	190	32	5	3	-	-
2018.10	종로구	숭인1동	2,990	1,331	650	478	372	118	30	9	2	-	-
2018.10	종로구	숭인2동	5,700	3,690	884	561	431	98	28	6	2	-	-
2018.10	종로구	청운효자동	5,406	1,937	1,115	1,008	1,000	243	77	18	5	3	-
2018.10	종로구	혜화동	9,162	5,357	1,433	1,092	925	258	69	19	5	-	4
2018.10	중구	소계	61,361	29,659	12,719	9,242	7,289	1,807	467	113	36	9	20
2018.10	중구	소공동	1,077	603	200	148	99	18	6	1	-	-	2
2018.10	중구	회현동	3,255	2,225	438	287	221	64	12	6	2	-	-
2018.10	중구	명동	1,391	908	207	140	96	25	9	2	1	-	3
2018.10	중구	필동	2,289	1,421	395	231	173	52	11	4	1	-	1
2018.10	중구	장충동	2,667	1,628	460	269	215	72	17	2	1	-	3
2018.10	중구	광희동	2,899	1,818	515	277	209	50	23	5	1	-	1
2018.10	중구	을지로동	1,238	977	142	65	36	12	3	3	-	-	-
2018.10	중구	신당5동	4,487	2,100	930	700	570	132	38	13	3	1	-
2018.10	중구	황학동	6,498	3,423	1,354	894	619	158	42	5	2	1	-
2018.10	중구	중림동	5,771	2,438	1,251	1,029	822	168	43	14	6	-	-
2018.10	중구	신당동	4,449	2,691	814	476	349	85	27	5	-	2	-
2018.10	중구	다산동	6,907	3,018	1,609	1,109	898	207	46	13	4	-	3
2018.10	중구	약수동	7,786	2,780	1,995	1,549	1,091	280	67	15	5	-	4
2018.10	중구	청구동	6,452	2,446	1,512	1,185	992	251	49	7	4	3	3
2018.10	중구	동화동	4,195	1,183	897	883	899	233	74	18	6	2	-
2018.10	용산구	소계	108,874	50,638	22,169	17,052	14,153	3,605	903	235	74	22	23
2018.10	용산구	후암동	8,513	3,913	1,713	1,387	1,108	288	77	15	6	2	4
2018.10	용산구	용산2가동	5,502	2,768	1,195	800	548	150	32	8	1	-	-
2018.10	용산구	남영동	5,440	4,173	585	348	239	73	12	6	2	-	2
2018.10	용산구	원효로2동	6,039	2,010	1,295	1,195	1,139	293	68	23	9	3	4
2018.10	용산구	효창동	3,680	1,299	825	671	633	183	51	12	3	2	1
2018.10	용산구	용문동	5,370	1,878	1,253	1,042	899	225	55	13	3	1	1
2018.10	용산구	이촌1동	10,205	2,216	2,200	2,597	2,454	536	151	34	13	3	1
2018.10	용산구	이촌2동	3,862	1,281	1,014	800	572	146	33	9	7	-	-
2018.10	용산구	이태원1동	3,822	2,199	716	448	315	103	32	8	1	-	-
2018.10	용산구	이태원2동	4,950	2,620	1,015	670	472	123	38	7	4	-	1
2018.10	용산구	서빙고동	5,311	1,692	1,078	978	1,144	329	66	19	4	-	1
2018.10	용산구	보광동	7,735	3,968	1,661	1,071	782	195	44	12	2	-	-
2018.10	용산구	청파동	10,615	5,957	1,977	1,266	1,031	274	83	17	6	1	3
2018.10	용산구	원효로1동	7,372	3,374	1,575	1,176	960	222	44	11	6	3	1
2018.10	용산구	한강로동	9,472	5,290	1,783	1,220	895	206	56	17	2	2	1
2018.10	용산구	한남동	10,986	6,000	2,284	1,383	962	259	61	24	5	5	3
2018.10	성동구	소계	137,124	54,637	29,501	25,123	21,417	4,857	1,167	288	97	24	13
2018.10	성동구	왕십리2동	7,665	2,910	1,666	1,453	1,233	289	91	14	2	4	3
2018.10	성동구	마장동	10,659	4,509	2,280	1,753	1,586	403	88	21	13	4	2
2018.10	성동구	사근동	7,150	4,916	931	609	515	133	28	14	2	2	-
